geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	374	3	0.1262745627658856	23.757754010695187	1.5387411150968866e-4	0.08908730575241108	1869;3169;7157	E2F1;FOXA1;TP53
GO:0090559	regulation of membrane permeability	http://amigo.geneontology.org/amigo/term/GO:0090559	79	2	0.026672969140387602	74.98227848101266	2.780843676993827e-4	0.08908730575241108	1869;7157	E2F1;TP53
GO:0048144	fibroblast proliferation	http://amigo.geneontology.org/amigo/term/GO:0048144	84	2	0.0283611317442096	70.51904761904763	3.144257850085097e-4	0.08908730575241108	1869;7157	E2F1;TP53
GO:0008637	apoptotic mitochondrial changes	http://amigo.geneontology.org/amigo/term/GO:0008637	116	2	0.0391653724086704	51.06551724137931	5.990087235236974e-4	0.10130259114786552	1869;7157	E2F1;TP53
GO:0007006	mitochondrial membrane organization	http://amigo.geneontology.org/amigo/term/GO:0007006	126	2	0.0425416976163144	47.01269841269842	7.06266940589062e-4	0.10130259114786552	1869;7157	E2F1;TP53
GO:0042770	signal transduction in response to DNA damage	http://amigo.geneontology.org/amigo/term/GO:0042770	131	2	0.0442298602201364	45.21832061068703	7.631473393404642e-4	0.10130259114786552	1869;7157	E2F1;TP53
GO:0070585	protein localization to mitochondrion	http://amigo.geneontology.org/amigo/term/GO:0070585	137	2	0.0462556553447228	43.237956204379564	8.342566329824219e-4	0.10130259114786552	1869;7157	E2F1;TP53
GO:0010821	regulation of mitochondrion organization	http://amigo.geneontology.org/amigo/term/GO:0010821	176	2	0.0594233236545344	33.65681818181819	0.001371800843212645	0.13102183853567761	1869;7157	E2F1;TP53
GO:1905475	regulation of protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:1905475	177	2	0.0597609561752988	33.46666666666667	0.0013872900550836453	0.13102183853567761	1869;7157	E2F1;TP53
GO:0000075	cell cycle checkpoint	http://amigo.geneontology.org/amigo/term/GO:0000075	216	2	0.07292862448511041	27.424074074074074	0.00205717198644062	0.16188353413986015	1869;7157	E2F1;TP53
