geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0035690	cellular response to drug	http://amigo.geneontology.org/amigo/term/GO:0035690	349	10	0.6834357485312985	14.631953364292066	6.2520555399459e-10	3.7412941078507345e-7	60;388;1499;1958;2770;2771;4609;5970;5978;7157	MYC;ACTB;CTNNB1;RELA;RHOB;GNAI2;EGR1;REST;TP53;GNAI1
GO:1901652	response to peptide	http://amigo.geneontology.org/amigo/term/GO:1901652	487	11	0.9536768181511243	11.534305742406005	8.803044959648787e-10	3.7412941078507345e-7	207;1958;2770;2771;3727;5290;5566;5970;6772;6774;7157	STAT3;RELA;GNAI2;PRKACA;EGR1;JUND;AKT1;STAT1;TP53;GNAI1;PIK3CA
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	10	0.7911405226551421	12.639979515192898	2.5757497246203798e-9	7.297957553091076e-7	207;1499;2033;3169;3689;5970;6233;6469;6774;7329	STAT3;RPS27A;CTNNB1;RELA;UBE2I;SHH;EP300;AKT1;ITGB2;FOXA1
GO:0104004	cellular response to environmental stimulus	http://amigo.geneontology.org/amigo/term/GO:0104004	320	9	0.6266459585387264	14.362176724137932	6.286440146219263e-9	1.3358685310715934e-6	207;388;1958;2033;3265;4609;5879;5978;7157	MYC;RHOB;EGR1;REST;EP300;AKT1;HRAS;RAC1;TP53
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	9	0.7284759268012695	12.354560622914349	2.322451475578191e-8	3.948167508482925e-6	207;1499;2735;3265;4609;5828;6469;6772;6774	GLI1;STAT3;MYC;CTNNB1;PEX2;SHH;AKT1;HRAS;STAT1
GO:0033002	muscle cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0033002	182	7	0.35640488891890065	19.640583554376658	4.686166221734567e-8	6.638735480790635e-6	207;1499;2735;2771;6469;6772;6774	GLI1;STAT3;CTNNB1;GNAI2;SHH;AKT1;STAT1
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	434	9	0.8498885812681477	10.589623391069443	8.732806056066522e-8	1.0604121639509348e-5	207;1499;2735;3169;4089;5290;5970;6469;7392	GLI1;CTNNB1;RELA;USF2;SHH;AKT1;FOXA1;SMAD4;PIK3CA
GO:0009314	response to radiation	http://amigo.geneontology.org/amigo/term/GO:0009314	443	9	0.8675129988520494	10.374484315404375	1.0405522377077148e-7	1.0696593720648116e-5	207;388;1958;2033;3265;3727;4609;5970;7157	MYC;RELA;RHOB;EGR1;EP300;JUND;AKT1;HRAS;TP53
GO:2000027	regulation of animal organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:2000027	207	7	0.4053616044297387	17.268532400466434	1.1325805115980359e-7	1.0696593720648116e-5	1499;2735;4089;4609;5879;6469;6772	GLI1;MYC;CTNNB1;SHH;STAT1;RAC1;SMAD4
GO:0001655	urogenital system development	http://amigo.geneontology.org/amigo/term/GO:0001655	326	8	0.6383955702613275	12.531415273958114	1.4518224911164168e-7	1.2340491174489543e-5	1499;1958;2735;3169;4089;4609;6469;6772	GLI1;MYC;CTNNB1;EGR1;SHH;STAT1;FOXA1;SMAD4
