geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	284	6	0.2684853805118509	22.34758551307847	1.245482694756106e-7	1.05866029054269e-4	387;1499;2033;2099;3169;6233	RHOA;ESR1;FOXA1;EP300;CTNNB1;RPS27A
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	337	6	0.3185900465932879	18.832980076303517	3.4200404397388695e-7	1.4535171868890195e-4	387;1869;2033;2782;6233;7157	RHOA;E2F1;EP300;GNB1;RPS27A;TP53
GO:0048144	fibroblast proliferation	http://amigo.geneontology.org/amigo/term/GO:0048144	84	4	0.0794111688837869	50.37074829931972	9.233350852788647e-7	2.1057633427801203e-4	1499;1869;2099;7157	E2F1;ESR1;CTNNB1;TP53
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	6	0.3819299074886893	15.70968882602546	9.90947455425939e-7	2.1057633427801203e-4	1499;2033;2099;3169;4790;6233	NFKB1;ESR1;FOXA1;EP300;CTNNB1;RPS27A
GO:0009755	hormone-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0009755	237	5	0.22405294077925586	22.316154309825194	1.7910763536743701e-6	2.9925959072474306e-4	387;1499;2033;2099;3169	RHOA;ESR1;FOXA1;EP300;CTNNB1
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	460	6	0.43487068674454726	13.797204968944099	2.112420640409951e-6	2.9925959072474306e-4	387;1499;2099;2782;4790;6233	RHOA;NFKB1;ESR1;CTNNB1;GNB1;RPS27A
GO:0040029	regulation of gene expression, epigenetic	http://amigo.geneontology.org/amigo/term/GO:0040029	258	5	0.2439057330002026	20.49972314507198	2.718381939548209e-6	3.3008923551656826e-4	1499;2033;2099;7157;10664	ESR1;CTCF;EP300;CTNNB1;TP53
GO:0030323	respiratory tube development	http://amigo.geneontology.org/amigo/term/GO:0030323	172	4	0.16260382200013507	24.599667774086377	1.6062777270287043e-5	0.0015672737897228413	1499;2033;3169;6670	FOXA1;SP3;EP300;CTNNB1
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	374	5	0.3535687757444797	14.141520244461422	1.6594663655888908e-5	0.0015672737897228413	387;1869;2033;3169;7157	RHOA;E2F1;FOXA1;EP300;TP53
GO:0048545	response to steroid hormone	http://amigo.geneontology.org/amigo/term/GO:0048545	388	5	0.3668039705584442	13.631259204712812	1.981800262096378e-5	0.0016845302227819214	387;1499;2033;2099;3169	RHOA;ESR1;FOXA1;EP300;CTNNB1
