geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043620	regulation of DNA-templated transcription in response to stress	http://amigo.geneontology.org/amigo/term/GO:0043620	78	8	0.14747788506988993	54.24542124542125	1.1698420010475274e-12	9.943657008903983e-10	1958;2033;3725;6233;7157;7311;7314;7316	UBC;TP53;UBA52;UBB;EGR1;RPS27A;JUN;EP300
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	12	0.7638598149773786	15.70968882602546	2.963629341934393e-12	1.259542470322117e-9	367;1499;2033;2099;2353;3725;4790;6233;6774;7311;7314;7316	UBC;FOS;STAT3;UBA52;UBB;AR;CTNNB1;RPS27A;NFKB1;ESR1;JUN;EP300
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	337	11	0.6371800931865758	17.263565069944892	1.0953016271741944e-11	3.103354610326884e-9	387;1869;1958;2033;2782;4609;6233;7157;7311;7314;7316	UBC;MYC;GNB1;TP53;UBA52;RHOA;E2F1;UBB;EGR1;RPS27A;EP300
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	12	0.9170099263961106	13.086008836524298	2.5131008385415043e-11	5.340339281900697e-9	2033;2099;2353;2822;3725;4790;5566;5879;6233;7311;7314;7316	RAC1;PRKACA;UBC;FOS;UBA52;UBB;GPLD1;RPS27A;NFKB1;ESR1;JUN;EP300
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	284	10	0.5369707610237018	18.622987927565394	5.560130134085739e-11	9.452221227945756e-9	367;387;1499;2033;2099;6233;6774;7311;7314;7316	UBC;STAT3;UBA52;RHOA;UBB;AR;CTNNB1;RPS27A;ESR1;EP300
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	460	11	0.8697413734890945	12.647437888198757	3.074256405000142e-10	4.355196573750201e-8	387;1499;1958;2099;2782;4790;5879;6233;7311;7314;7316	RAC1;UBC;GNB1;UBA52;RHOA;UBB;EGR1;CTNNB1;RPS27A;NFKB1;ESR1
GO:0071824	protein-DNA complex subunit organization	http://amigo.geneontology.org/amigo/term/GO:0071824	242	9	0.45755959213991493	19.66956906729634	3.774933698963423e-10	4.583848063027014e-8	2099;4609;6233;6925;7157;7311;7314;7316;10664	CTCF;UBC;MYC;TCF4;TP53;UBA52;UBB;RPS27A;ESR1
GO:0070646	protein modification by small protein removal	http://amigo.geneontology.org/amigo/term/GO:0070646	288	9	0.5445337294888244	16.527901785714285	1.7549306452480096e-9	1.8646138105760102e-7	367;387;2099;4609;6233;7157;7311;7314;7316	UBC;MYC;TP53;UBA52;RHOA;UBB;AR;RPS27A;ESR1
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007178	328	9	0.6201634141400499	14.512304006968641	5.482198028872176e-9	5.17763147171261e-7	387;1958;2033;2353;3725;6233;7311;7314;7316	UBC;FOS;UBA52;RHOA;UBB;EGR1;RPS27A;JUN;EP300
GO:0071559	response to transforming growth factor beta	http://amigo.geneontology.org/amigo/term/GO:0071559	238	8	0.4499966236747924	17.777911164465785	9.319868876644932e-9	7.31969778728308e-7	387;2033;2353;3725;6233;7311;7314;7316	UBC;FOS;UBA52;RHOA;UBB;RPS27A;JUN;EP300
