geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	15	3.20996825825623	4.67294340416579	6.487301118518474e-7	5.514205950740703e-4	71;338;673;2033;2099;2243;2353;3662;3684;3984;5566;9572;9846;64332;94025	ACTG1;APOB;ITGAM;MUC16;IRF4;FGA;GAB2;FOS;NR1D1;LIMK1;BRAF;EP300;ESR1;NFKBIZ;PRKACA
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0098742	270	11	1.7869926386168704	6.155593348450491	1.6658219921250605e-6	7.079743466531507e-4	1004;2196;3684;5310;9752;22854;54798;56129;56147;57575;79633	PCDHA1;ITGAM;PCDHA9;FAT2;PCDH10;PCDHB7;NTNG1;CDH6;DCHS2;FAT4;PKD1
GO:0031349	positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	427	12	2.82609576551631	4.246140610811069	2.4457786850673457e-5	0.006929706274357479	338;1956;2033;2099;2243;3572;3662;3684;5566;9572;64332;94025	EGFR;APOB;ITGAM;MUC16;IRF4;FGA;IL6ST;NR1D1;EP300;ESR1;NFKBIZ;PRKACA
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	400	11	2.647396501654623	4.155025510204082	6.633315212734026e-5	0.014095794827059804	338;1278;1301;1634;2068;2243;3339;3684;4318;4629;5566	DCN;APOB;ITGAM;HSPG2;FGA;COL1A2;MMP9;ERCC2;COL11A1;MYH11;PRKACA
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	371	10	2.4554602552846627	4.072556246218164	1.7058744952069826e-4	0.028999866418518705	659;1301;1956;2068;2737;3572;4318;5566;6261;79633	EGFR;BMPR2;MMP9;ERCC2;GLI3;COL11A1;IL6ST;RYR1;FAT4;PRKACA
GO:0150076	neuroinflammatory response	http://amigo.geneontology.org/amigo/term/GO:0150076	48	4	0.31768758019855475	12.590986394557822	2.808106137517363e-4	0.03978150361482931	472;1956;3684;4318	EGFR;ATM;ITGAM;MMP9
GO:0071241	cellular response to inorganic substance	http://amigo.geneontology.org/amigo/term/GO:0071241	209	7	1.3832646721145405	5.060492139439508	4.7157767369188086e-4	0.046216714327302316	673;1956;2353;4318;5025;6261;143425	EGFR;MMP9;FOS;BRAF;RYR1;SYT9;P2RX4
GO:0032386	regulation of intracellular transport	http://amigo.geneontology.org/amigo/term/GO:0032386	422	10	2.793003309245627	3.5803752780733147	4.757794242036262e-4	0.046216714327302316	673;1778;2737;3684;4133;5023;5566;7157;9846;143425	TP53;ITGAM;GAB2;GLI3;BRAF;SYT9;MAP2;DYNC1H1;P2RX1;PRKACA
GO:0048511	rhythmic process	http://amigo.geneontology.org/amigo/term/GO:0048511	279	8	1.8465590599040995	4.332382415331724	5.225678325906369e-4	0.046216714327302316	1374;1956;2033;2099;5241;7157;8239;9572	TP53;PGR;EGFR;NR1D1;USP9X;CPT1A;EP300;ESR1
GO:0045088	regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045088	369	9	2.4422232727763897	3.6851667496266796	7.514112723625566e-4	0.046216714327302316	338;2033;2099;2243;3662;3684;5566;9572;94025	APOB;ITGAM;MUC16;IRF4;FGA;NR1D1;EP300;ESR1;PRKACA
