geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	27	3.340987370838117	8.081443298969074	0	0	25;60;71;409;998;2033;2099;2353;2822;3265;3689;3725;3845;4208;5290;5336;5566;5567;5568;5579;5879;5970;6233;6464;7311;7314;7316	EP300;GPLD1;ESR1;PIK3CA;HRAS;PRKCB;PRKACA;RAC1;RELA;KRAS;PRKACB;ITGB2;PRKACG;MEF2C;FOS;PLCG2;CDC42;ACTB;ACTG1;SHC1;JUN;RPS27A;ABL1;UBC;UBA52;UBB;ARRB2
GO:0070997	neuron death	http://amigo.geneontology.org/amigo/term/GO:0070997	325	21	2.2388059701492535	9.38	5.10702591327572e-15	2.170486013142181e-12	25;207;387;409;472;998;1499;2353;2475;2904;3265;3689;3725;3845;4208;4914;5290;6416;6774;7186;7314	CTNNB1;STAT3;PIK3CA;HRAS;RHOA;AKT1;KRAS;ITGB2;MEF2C;ATM;FOS;CDC42;MTOR;JUN;ABL1;GRIN2B;UBB;TRAF2;MAP2K4;NTRK1;ARRB2
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	22	2.78300803673938	7.905115511551155	3.552713678800501e-14	1.0066022089934752e-11	207;367;409;815;1499;2033;2099;2353;3169;3689;3725;3845;4914;5579;5728;5970;6233;6774;7186;7311;7314;7316	EP300;CTNNB1;STAT3;ESR1;AR;FOXA1;PRKCB;RELA;AKT1;KRAS;ITGB2;FOS;PTEN;CAMK2A;JUN;RPS27A;UBC;UBA52;UBB;TRAF2;NTRK1;ARRB2
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	21	2.5625717566016073	8.19489247311828	7.283063041541027e-14	1.5476508963274682e-11	207;367;405;1499;2064;2099;2475;2735;3265;3676;3725;3791;3915;4208;4609;5728;5828;6091;6667;6772;6774	STAT1;CTNNB1;STAT3;ESR1;AR;HRAS;AKT1;MEF2C;MTOR;MYC;PTEN;GLI1;SP1;ITGA4;PEX2;JUN;ROBO1;ERBB2;KDR;ARNT;LAMC1
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	417	20	2.87256027554535	6.962430055955236	6.24078566602293e-12	1.060933563223898e-9	25;409;815;999;1742;2475;2890;2904;2911;3265;3688;3845;4208;4914;5332;5566;5579;5728;6774;23236	STAT3;HRAS;PRKCB;PRKACA;KRAS;MEF2C;CDH1;PLCB4;MTOR;PTEN;CAMK2A;DLG4;ABL1;GRIN2B;GRM1;ITGB1;PLCB1;NTRK1;GRIA1;ARRB2
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	459	20	3.161882893226177	6.325344952795933	3.537881099191509e-11	5.011998223854637e-9	25;387;409;815;998;1277;1499;2099;2735;2782;3675;5336;5563;5728;5879;6233;7311;7314;7316;23236	CTNNB1;ESR1;RAC1;RHOA;PLCG2;CDC42;PTEN;GLI1;CAMK2A;GNB1;ITGA3;RPS27A;COL1A1;ABL1;PRKAA2;UBC;UBA52;UBB;PLCB1;ARRB2
GO:0071559	response to transforming growth factor beta	http://amigo.geneontology.org/amigo/term/GO:0071559	238	15	1.6394948335246842	9.149159663865547	8.012923657929605e-11	7.3105743680912375e-9	387;409;1277;2033;2353;3675;3688;3725;4089;4208;6233;6935;7311;7314;7316	EP300;RHOA;MEF2C;FOS;SMAD4;ITGA3;JUN;RPS27A;COL1A1;UBC;UBA52;ZEB1;UBB;ITGB1;ARRB2
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	283	16	1.949483352468427	8.207302709069493	9.01593244506671e-11	7.3105743680912375e-9	1742;2353;2475;2890;2904;3064;3675;3688;3725;3845;4208;4914;5728;7881;9369;23236	HTT;KRAS;MEF2C;FOS;MTOR;PTEN;DLG4;KCNAB1;ITGA3;JUN;NRXN3;GRIN2B;ITGB1;PLCB1;NTRK1;GRIA1
GO:0090130	tissue migration	http://amigo.geneontology.org/amigo/term/GO:0090130	283	16	1.949483352468427	8.207302709069493	9.01593244506671e-11	7.3105743680912375e-9	25;207;387;2475;2822;3675;3688;3689;3725;3791;4208;5290;5728;6091;6667;6772	STAT1;GPLD1;PIK3CA;RHOA;AKT1;ITGB2;MEF2C;MTOR;PTEN;SP1;ITGA3;JUN;ROBO1;ABL1;ITGB1;KDR
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	487	20	3.354764638346728	5.961670088980151	1.018096718041761e-10	7.3105743680912375e-9	25;207;387;998;1499;2064;2822;3688;3689;3725;3791;4854;5290;5579;5728;6091;6464;6667;6772;6774	STAT1;CTNNB1;GPLD1;STAT3;PIK3CA;PRKCB;RHOA;AKT1;ITGB2;CDC42;PTEN;SP1;SHC1;JUN;ROBO1;ABL1;ERBB2;ITGB1;NOTCH3;KDR
