geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	26	3.2754778145471737	7.9377731958762885	1.1102230246251565e-16	9.43689570931383e-14	25;60;71;998;2033;2099;2353;2822;3265;3689;3725;3845;4208;5290;5336;5566;5567;5568;5579;5879;5970;6233;6464;7311;7314;7316	EP300;GPLD1;ESR1;PIK3CA;HRAS;PRKCB;PRKACA;RAC1;RELA;KRAS;PRKACB;ITGB2;PRKACG;MEF2C;FOS;PLCG2;CDC42;ACTB;ACTG1;SHC1;JUN;RPS27A;ABL1;UBC;UBA52;UBB
GO:0070997	neuron death	http://amigo.geneontology.org/amigo/term/GO:0070997	325	20	2.1949078138718177	9.111999999999998	4.107825191113079e-14	1.3589129821411914e-11	25;207;387;472;998;1499;2353;2475;2904;3265;3689;3725;3845;4208;4914;5290;6416;6774;7186;7314	CTNNB1;STAT3;PIK3CA;HRAS;RHOA;AKT1;KRAS;ITGB2;MEF2C;ATM;FOS;CDC42;MTOR;JUN;ABL1;GRIN2B;UBB;TRAF2;MAP2K4;NTRK1
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	21	2.5123252515702035	8.358790322580644	4.796163466380676e-14	1.3589129821411914e-11	207;367;405;1499;2064;2099;2475;2735;3265;3676;3725;3791;3915;4208;4609;5728;5828;6091;6667;6772;6774	STAT1;CTNNB1;STAT3;ESR1;AR;HRAS;AKT1;MEF2C;MTOR;MYC;PTEN;GLI1;SP1;ITGA4;PEX2;JUN;ROBO1;ERBB2;KDR;ARNT;LAMC1
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	21	2.7284392517052747	7.696707920792079	2.4069635173873394e-13	5.114797474448096e-11	207;367;815;1499;2033;2099;2353;3169;3689;3725;3845;4914;5579;5728;5970;6233;6774;7186;7311;7314;7316	EP300;CTNNB1;STAT3;ESR1;AR;FOXA1;PRKCB;RELA;AKT1;KRAS;ITGB2;FOS;PTEN;CAMK2A;JUN;RPS27A;UBC;UBA52;UBB;TRAF2;NTRK1
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	417	19	2.8162355642601473	6.746594724220623	3.790856517582597e-11	6.2228588948443075e-9	25;815;999;1742;2475;2890;2904;2911;3265;3688;3845;4208;4914;5332;5566;5579;5728;6774;23236	STAT3;HRAS;PRKCB;PRKACA;KRAS;MEF2C;CDH1;PLCB4;MTOR;PTEN;CAMK2A;DLG4;ABL1;GRIN2B;GRM1;ITGB1;PLCB1;NTRK1;GRIA1
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	283	16	1.9112581886945366	8.371448763250882	6.620459735984241e-11	6.2228588948443075e-9	1742;2353;2475;2890;2904;3064;3675;3688;3725;3845;4208;4914;5728;7881;9369;23236	HTT;KRAS;MEF2C;FOS;MTOR;PTEN;DLG4;KCNAB1;ITGA3;JUN;NRXN3;GRIN2B;ITGB1;PLCB1;NTRK1;GRIA1
GO:0090130	tissue migration	http://amigo.geneontology.org/amigo/term/GO:0090130	283	16	1.9112581886945366	8.371448763250882	6.620459735984241e-11	6.2228588948443075e-9	25;207;387;2475;2822;3675;3688;3689;3725;3791;4208;5290;5728;6091;6667;6772	STAT1;GPLD1;PIK3CA;RHOA;AKT1;ITGB2;MEF2C;MTOR;PTEN;SP1;ITGA3;JUN;ROBO1;ABL1;ITGB1;KDR
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	487	20	3.2889849395556157	6.080903490759754	6.976874633579655e-11	6.2228588948443075e-9	25;207;387;998;1499;2064;2822;3688;3689;3725;3791;4854;5290;5579;5728;6091;6464;6667;6772;6774	STAT1;CTNNB1;GPLD1;STAT3;PIK3CA;PRKCB;RHOA;AKT1;ITGB2;CDC42;PTEN;SP1;SHC1;JUN;ROBO1;ABL1;ERBB2;ITGB1;NOTCH3;KDR
GO:1901652	response to peptide	http://amigo.geneontology.org/amigo/term/GO:1901652	487	20	3.2889849395556157	6.080903490759754	6.976874633579655e-11	6.2228588948443075e-9	207;815;1277;2475;2770;2822;3480;4914;5290;5566;5567;5568;5579;5728;5970;6464;6667;6772;6774;7157	STAT1;TP53;GPLD1;STAT3;PIK3CA;PRKCB;GNAI1;PRKACA;RELA;AKT1;PRKACB;PRKACG;MTOR;PTEN;CAMK2A;SP1;SHC1;COL1A1;NTRK1;IGF1R
GO:0001667	ameboidal-type cell migration	http://amigo.geneontology.org/amigo/term/GO:0001667	381	18	2.573107314108192	6.995433070866142	7.321010464522715e-11	6.2228588948443075e-9	25;207;387;2066;2475;2822;3675;3676;3688;3689;3725;3791;4208;5290;5728;6091;6667;6772	STAT1;GPLD1;PIK3CA;RHOA;AKT1;ITGB2;MEF2C;MTOR;PTEN;SP1;ITGA4;ITGA3;JUN;ROBO1;ABL1;ITGB1;KDR;ERBB4
