geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0007606	sensory perception of chemical stimulus	http://amigo.geneontology.org/amigo/term/GO:0007606	473	6	0.3194435064496522	18.782663847780128	1.9391311378846865e-7	1.6482614672019835e-4	2774;2782;23538;81392;219484;390142	GNB1;OR5M8;OR5D13;OR52A1;GNAL;OR2AE1
GO:0071825	protein-lipid complex subunit organization	http://amigo.geneontology.org/amigo/term/GO:0071825	48	3	0.032417100020260686	92.54375	3.7759686634109e-6	0.0016047866819496326	5566;5567;5568	PRKACA;PRKACG;PRKACB
GO:0030104	water homeostasis	http://amigo.geneontology.org/amigo/term/GO:0030104	68	3	0.045924225028702644	65.325	1.0863584715581354e-5	0.0030780156694147167	5566;5567;5568	PRKACA;PRKACG;PRKACB
GO:0097006	regulation of plasma lipoprotein particle levels	http://amigo.geneontology.org/amigo/term/GO:0097006	85	3	0.0574052812858783	52.26	2.1281257444050183e-5	0.004522267206860664	5566;5567;5568	PRKACA;PRKACG;PRKACB
GO:0050817	coagulation	http://amigo.geneontology.org/amigo/term/GO:0050817	326	4	0.22016613763760384	18.168098159509203	4.3622463127723776e-5	0.007075912058279731	2782;5566;5567;5568	PRKACA;GNB1;PRKACG;PRKACB
GO:0003014	renal system process	http://amigo.geneontology.org/amigo/term/GO:0003014	113	3	0.07631525629769703	39.31061946902655	4.99476145290334e-5	0.007075912058279731	5566;5567;5568	PRKACA;PRKACG;PRKACB
GO:0009593	detection of chemical stimulus	http://amigo.geneontology.org/amigo/term/GO:0009593	457	4	0.3086378064428986	12.960175054704596	1.6220018747248321e-4	0.018963757199159166	23538;81392;219484;390142	OR5M8;OR5D13;OR52A1;OR2AE1
GO:0050906	detection of stimulus involved in sensory perception	http://amigo.geneontology.org/amigo/term/GO:0050906	478	4	0.3228202877017627	12.390794979079498	1.9290035469410327e-4	0.018963757199159166	23538;81392;219484;390142	OR5M8;OR5D13;OR52A1;OR2AE1
GO:0050878	regulation of body fluid levels	http://amigo.geneontology.org/amigo/term/GO:0050878	483	4	0.3261970689538732	12.262525879917185	2.007927232852147e-4	0.018963757199159166	2782;5566;5567;5568	PRKACA;GNB1;PRKACG;PRKACB
GO:0071867	response to monoamine	http://amigo.geneontology.org/amigo/term/GO:0071867	38	2	0.02566353751603971	77.93157894736842	2.8487823336909024e-4	0.02421464983637267	2782;5566	PRKACA;GNB1
