geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0098742	270	12	1.9511042074694402	6.150363447559709	5.636867330682804e-7	4.7913372310803837e-4	1004;2196;3684;5310;9752;22854;54798;56129;56147;57575;57689;79633	NTNG1;PCDHA1;FAT2;PCDHA9;PCDH10;PCDHB7;ITGAM;DCHS2;CDH6;FAT4;PKD1;LRRC4C
GO:0006352	DNA-templated transcription, initiation	http://amigo.geneontology.org/amigo/term/GO:0006352	231	9	1.6692780441682988	5.391552372860784	4.459559082281572e-5	0.013171091576598865	2068;2099;2959;5241;5431;7157;9572;9968;55290	TP53;POLR2B;PGR;BRF2;ERCC2;NR1D1;MED12;GTF2B;ESR1
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	13	3.5047612615654757	3.7092398111571443	4.648620556446659e-5	0.013171091576598865	71;338;673;2033;2099;2353;3662;3684;3984;9572;9846;64332;94025	ACTG1;IRF4;MUC16;APOB;GAB2;ITGAM;NR1D1;LIMK1;BRAF;ESR1;NFKBIZ;FOS;EP300
GO:0007492	endoderm development	http://amigo.geneontology.org/amigo/term/GO:0007492	74	5	0.5347470790842169	9.35021470068199	1.9447112510928566e-4	0.036534748156207275	1301;4318;6657;9968;55614	SOX2;MMP9;COL11A1;MED12;KIF16B
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	284	9	2.0522725737826706	4.385382387784651	2.149102832718075e-4	0.036534748156207275	2033;2099;5241;8085;8202;9572;9745;9968;29966	NCOA3;PGR;KMT2D;NR1D1;MED12;ZNF536;STRN3;ESR1;EP300
GO:0009755	hormone-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0009755	237	8	1.7126359154453974	4.6711621120706655	3.19635836339649e-4	0.04172528036382739	2033;2099;5241;8085;8202;9572;9968;29966	NCOA3;PGR;KMT2D;NR1D1;MED12;STRN3;ESR1;EP300
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	371	10	2.680961707300601	3.730004786255888	3.507998306875315e-4	0.04172528036382739	659;1301;1956;2068;2737;3572;4318;6261;6657;79633	EGFR;SOX2;GLI3;BMPR2;MMP9;ERCC2;IL6ST;COL11A1;RYR1;FAT4
GO:0150076	neuroinflammatory response	http://amigo.geneontology.org/amigo/term/GO:0150076	48	4	0.34686297021678936	11.531931464174455	3.927085210713166e-4	0.04172528036382739	472;1956;3684;4318	EGFR;ATM;ITGAM;MMP9
GO:0048545	response to steroid hormone	http://amigo.geneontology.org/amigo/term/GO:0048545	388	10	2.8038090092523804	3.5665767414972542	4.987035042358645e-4	0.04709977540005387	1956;2033;2099;2353;5241;8085;8202;9572;9968;29966	EGFR;NCOA3;PGR;KMT2D;NR1D1;MED12;STRN3;ESR1;FOS;EP300
GO:0002521	leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0002521	496	11	3.5842506922401567	3.068981760627073	9.098666121227783e-4	0.06924641282510417	472;673;2033;2353;2737;3662;4318;4831;9846;64332;126014	NME2;IRF4;ATM;GAB2;GLI3;MMP9;BRAF;OSCAR;NFKBIZ;FOS;EP300
