geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	26	3.5047612615654757	7.418479622314289	5.551115123125783e-16	4.718447854656915e-13	60;71;2033;2099;2353;2822;3265;3662;3684;3725;3845;4208;5290;5291;5296;5336;5566;5567;5579;5747;5879;5970;6233;7311;7314;7316	EP300;ESR1;PRKACA;GPLD1;ACTG1;MEF2C;RELA;PIK3CA;HRAS;RAC1;IRF4;PRKCB;PTK2;KRAS;FOS;UBC;RPS27A;JUN;PLCG2;UBB;UBA52;ACTB;PIK3CB;ITGAM;PRKACB;PIK3R2
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	284	19	2.0522725737826706	9.258029485323153	1.5498713423767185e-13	4.860001290296623e-11	367;387;1499;2033;2099;3169;5469;5970;6233;6774;7311;7314;7316;7376;8202;8648;8856;9612;27086	EP300;ESR1;NCOA3;AR;STAT3;CTNNB1;RHOA;FOXP1;FOXA1;NR1H2;RELA;NR1I2;NCOA1;UBC;RPS27A;UBB;UBA52;NCOR2;MED1
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	21	2.6881880191801173	7.811953572505277	1.9828583219805296e-13	4.860001290296623e-11	207;367;405;1499;1956;2099;2735;3265;3280;3725;4208;4609;4831;5291;5469;6469;6657;6667;6772;6774;10765	STAT1;NME2;ESR1;AR;STAT3;SOX2;CTNNB1;HES1;MYC;MEF2C;GLI1;SP1;HRAS;KDM5B;AKT1;EGFR;ARNT;JUN;PIK3CB;SHH;MED1
GO:0033002	muscle cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0033002	182	16	1.315188762071993	12.165554072096127	2.2870594307278225e-13	4.860001290296623e-11	207;1499;1786;1956;2735;2771;3725;4086;4208;6469;6772;6774;27086;55810;147912;196528	STAT1;ARID2;STAT3;CTNNB1;FOXP1;SMAD1;SIX5;MEF2C;GLI1;GNAI2;AKT1;FOXJ2;EGFR;JUN;DNMT1;SHH
GO:0002009	morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0002009	480	22	3.4686297021678936	6.34256230529595	3.230415934751818e-12	5.491707089078091e-10	367;387;389;1499;1956;2099;3169;3280;3845;4089;4208;4609;5469;5566;5567;5879;6469;6772;9355;10481;10765;27086	STAT1;ESR1;AR;CTNNB1;RHOA;FOXP1;HES1;PRKACA;MYC;FOXA1;MEF2C;LHX2;RAC1;KDM5B;EGFR;KRAS;SMAD4;RHOC;SHH;HOXB13;MED1;PRKACB
GO:1903706	regulation of hemopoiesis	http://amigo.geneontology.org/amigo/term/GO:1903706	389	20	2.811035321131897	7.114816327511232	4.458322599987241e-12	6.315957016648591e-10	387;405;1499;2033;2353;3280;3662;3725;4208;4609;4831;5469;5579;6469;6772;6774;6935;6938;27086;84524	STAT1;EP300;NME2;STAT3;CTNNB1;RHOA;FOXP1;HES1;MYC;MEF2C;ZEB1;IRF4;PRKCB;ZC3H8;FOS;ARNT;JUN;TCF12;SHH;MED1
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	434	20	3.136219355710137	6.377104957147164	3.2409852579462495e-11	3.935482098934732e-9	207;367;999;1499;1956;2099;2735;3169;3280;3725;3845;4089;5290;5469;5970;6469;6657;6670;10481;10765	ESR1;AR;SOX2;CTNNB1;HES1;FOXA1;GLI1;RELA;PIK3CA;KDM5B;SP3;AKT1;EGFR;KRAS;JUN;CDH1;SMAD4;SHH;HOXB13;MED1
GO:0048545	response to steroid hormone	http://amigo.geneontology.org/amigo/term/GO:0048545	388	18	2.8038090092523804	6.419838134695058	3.1549385326457013e-10	3.276525840768664e-8	367;387;1499;1956;2033;2099;2353;3169;3845;5469;5970;7376;8202;8648;8856;9612;10499;27086	EP300;ESR1;NCOA3;AR;CTNNB1;RHOA;FOXP1;FOXA1;NCOA2;NR1H2;RELA;NR1I2;NCOA1;EGFR;KRAS;FOS;NCOR2;MED1
GO:0002521	leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0002521	496	20	3.5842506922401567	5.579966837503768	3.4692626549315264e-10	3.276525840768664e-8	387;472;1499;2033;2353;3662;3725;4208;4609;4627;4831;5336;5469;6304;6469;6670;6774;6935;27086;84524	EP300;NME2;STAT3;CTNNB1;RHOA;SATB1;FOXP1;MYC;MEF2C;ZEB1;SP3;IRF4;ZC3H8;FOS;JUN;PLCG2;ATM;SHH;MED1;MYH9
GO:0040029	regulation of gene expression, epigenetic	http://amigo.geneontology.org/amigo/term/GO:0040029	258	15	1.8643884649152427	8.045533579656597	4.983401469260684e-10	4.2358912488715816e-8	60;1499;1786;1956;2033;2099;4086;6774;7157;7703;9355;9612;9869;10664;53615	EP300;CTCF;TP53;ESR1;STAT3;CTNNB1;MBD3;PCGF2;SMAD1;SETDB1;LHX2;EGFR;ACTB;DNMT1;NCOR2
