geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	21	2.882420476801513	7.2855435801312085	5.615508058554042e-13	3.0613289681014066e-10	71;2033;2099;2353;2822;3265;3662;3725;3845;4208;5290;5336;5566;5579;5747;5879;5970;6233;7311;7314;7316	EP300;ESR1;PRKACA;GPLD1;ACTG1;MEF2C;RELA;PIK3CA;HRAS;RAC1;IRF4;PRKCB;PTK2;KRAS;FOS;UBC;RPS27A;JUN;PLCG2;UBB;UBA52
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	284	17	1.6878503410549066	10.071983034571062	7.203126983768016e-13	3.0613289681014066e-10	367;387;1499;2033;2099;3169;5970;6233;6774;7311;7314;7316;7376;8202;8648;8856;27086	EP300;ESR1;NCOA3;AR;STAT3;CTNNB1;RHOA;FOXP1;FOXA1;NR1H2;RELA;NR1I2;NCOA1;UBC;RPS27A;UBB;UBA52
GO:0033002	muscle cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0033002	182	14	1.0816505706760318	12.943181818181817	3.163025397157071e-12	8.961905291945034e-10	207;1499;1956;2735;2771;3725;4086;4208;6772;6774;27086;55810;147912;196528	STAT1;ARID2;STAT3;CTNNB1;FOXP1;SMAD1;SIX5;MEF2C;GLI1;GNAI2;AKT1;FOXJ2;EGFR;JUN
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	18	2.210846221381779	8.141678885630498	5.136779890335674e-12	1.0915657266963308e-9	207;367;405;1499;1956;2099;2735;3265;3280;3725;4208;4609;4831;6657;6667;6772;6774;10765	STAT1;NME2;ESR1;AR;STAT3;SOX2;CTNNB1;HES1;MYC;MEF2C;GLI1;SP1;HRAS;KDM5B;AKT1;EGFR;ARNT;JUN
GO:1903706	regulation of hemopoiesis	http://amigo.geneontology.org/amigo/term/GO:1903706	389	17	2.311879516444925	7.353324374853937	1.0662037919217937e-10	1.6640156845030653e-8	387;405;1499;2033;2353;3280;3662;3725;4208;4609;4831;5579;6772;6774;6935;27086;84524	STAT1;EP300;NME2;STAT3;CTNNB1;RHOA;FOXP1;HES1;MYC;MEF2C;ZEB1;IRF4;PRKCB;ZC3H8;FOS;ARNT;JUN
GO:0071559	response to transforming growth factor beta	http://amigo.geneontology.org/amigo/term/GO:0071559	238	14	1.4144661308840414	9.897727272727272	1.1745993067080462e-10	1.6640156845030653e-8	387;2033;2353;3725;4086;4089;4090;4208;5747;6233;6935;7311;7314;7316	EP300;RHOA;SMAD1;MEF2C;ZEB1;SMAD5;PTK2;FOS;UBC;RPS27A;JUN;SMAD4;UBB;UBA52
GO:0002009	morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0002009	480	18	2.8527048017829406	6.309801136363636	3.3837399548986014e-10	4.108827088091159e-8	367;387;389;1499;1956;2099;3169;3280;3845;4089;4208;4609;5566;5879;6772;9355;10765;27086	STAT1;ESR1;AR;CTNNB1;RHOA;FOXP1;HES1;PRKACA;MYC;FOXA1;MEF2C;LHX2;RAC1;KDM5B;EGFR;KRAS;SMAD4;RHOC
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	434	17	2.5793205916120754	6.590882907415166	5.77657699452061e-10	6.137613056678148e-8	207;367;999;1499;1956;2099;2735;3169;3280;3725;3845;4089;5290;5970;6657;6670;10765	ESR1;AR;SOX2;CTNNB1;HES1;FOXA1;GLI1;RELA;PIK3CA;KDM5B;SP3;AKT1;EGFR;KRAS;JUN;CDH1;SMAD4
GO:0043620	regulation of DNA-templated transcription in response to stress	http://amigo.geneontology.org/amigo/term/GO:0043620	78	9	0.4635645302897279	19.414772727272727	7.944654933922379e-10	6.905494676079371e-8	405;2033;3725;5970;6233;7157;7311;7314;7316	EP300;TP53;RELA;UBC;ARNT;RPS27A;JUN;UBB;UBA52
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007178	328	15	1.9493482812183427	7.6948794345898	8.12411138362279e-10	6.905494676079371e-8	387;2033;2353;3280;3725;4086;4089;4090;5747;6233;6935;7311;7314;7316;60436	EP300;RHOA;HES1;SMAD1;TGIF2;ZEB1;SMAD5;PTK2;FOS;UBC;RPS27A;JUN;SMAD4;UBB;UBA52
