geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	468	9	1.6119402985074627	5.583333333333333	2.7219133737821366e-5	0.02313626367714816	1911;2033;2959;4152;6304;7703;8202;9869;10765	MBD1;GTF2B;SETDB1;PCGF2;KDM5B;SATB1;EP300;PHC1;NCOA3
GO:1903706	regulation of hemopoiesis	http://amigo.geneontology.org/amigo/term/GO:1903706	389	7	1.3398392652123996	5.224507283633248	3.496621062424321e-4	0.104189016611315	405;2033;2353;3280;4831;27086;84524	NME2;FOXP1;HES1;EP300;ARNT;ZC3H8;FOS
GO:0010948	negative regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0010948	278	6	0.95752009184845	6.266187050359712	3.677259409811118e-4	0.104189016611315	1911;2033;7013;7014;7703;7756	TERF1;PCGF2;ZNF207;TERF2;EP300;PHC1
GO:0030856	regulation of epithelial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030856	138	4	0.4753157290470723	8.415458937198068	0.001285487406580521	0.21853520575869478	3280;4831;8202;55810	NME2;FOXJ2;HES1;NCOA3
GO:0018205	peptidyl-lysine modification	http://amigo.geneontology.org/amigo/term/GO:0018205	360	6	1.2399540757749712	4.8388888888888895	0.0014177211204987605	0.21853520575869478	405;2033;2959;7703;8202;9869	GTF2B;SETDB1;PCGF2;EP300;ARNT;NCOA3
GO:0098727	maintenance of cell number	http://amigo.geneontology.org/amigo/term/GO:0098727	146	4	0.5028702640642939	7.954337899543379	0.0015821452864555052	0.21853520575869478	3280;6657;8202;27086	FOXP1;SOX2;HES1;NCOA3
GO:0040029	regulation of gene expression, epigenetic	http://amigo.geneontology.org/amigo/term/GO:0040029	258	5	0.888633754305396	5.626614987080104	0.0018873633112206356	0.21853520575869478	2033;4086;4152;7703;9869	MBD1;SETDB1;PCGF2;SMAD1;EP300
GO:0048545	response to steroid hormone	http://amigo.geneontology.org/amigo/term/GO:0048545	388	6	1.3363949483352469	4.489690721649485	0.0020719829471027573	0.21853520575869478	2033;2353;8202;8856;10499;27086	NCOA2;NR1I2;FOXP1;EP300;NCOA3;FOS
GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	http://amigo.geneontology.org/amigo/term/GO:1901522	21	2	0.07233065442020666	27.650793650793652	0.0023424210534208623	0.21853520575869478	2033;4086	SMAD1;EP300
GO:0032069	regulation of nuclease activity	http://amigo.geneontology.org/amigo/term/GO:0032069	22	2	0.07577497129735936	26.393939393939394	0.002571002420690527	0.21853520575869478	7013;7014	TERF1;TERF2
