geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0009266	response to temperature stimulus	http://amigo.geneontology.org/amigo/term/GO:0009266	201	5	0.12217194570135746	40.925925925925924	5.2877526801609065e-8	4.4945897781367705e-5	472;2033;2353;3312;5566	PRKACA;HSPA8;FOS;EP300;ATM
GO:0043254	regulation of protein complex assembly	http://amigo.geneontology.org/amigo/term/GO:0043254	447	5	0.27169581954480987	18.40293313447676	2.7950365856233006e-6	8.86904558780599e-4	472;2033;2099;3312;7157	HSPA8;TP53;EP300;ATM;ESR1
GO:0061919	process utilizing autophagic mechanism	http://amigo.geneontology.org/amigo/term/GO:0061919	473	5	0.28749915580468693	17.39135541461123	3.690534933875611e-6	8.86904558780599e-4	472;2033;3312;5566;7157	PRKACA;HSPA8;TP53;EP300;ATM
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	5	0.2947930033092456	16.961053837342497	4.173668511908701e-6	8.86904558780599e-4	71;2033;2099;2353;5566	ACTG1;PRKACA;FOS;EP300;ESR1
GO:0007050	cell cycle arrest	http://amigo.geneontology.org/amigo/term/GO:0007050	240	4	0.14587695009117307	27.420370370370375	7.957311555117919e-6	0.0013527429643700462	472;2033;5566;7157	PRKACA;TP53;EP300;ATM
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	374	4	0.22732491389207807	17.595959595959595	4.564419982944212e-5	0.005809822572615253	472;2033;5566;7157	PRKACA;TP53;EP300;ATM
GO:1901987	regulation of cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901987	386	4	0.2346187613966367	17.048934945308005	5.164566146309557e-5	0.005809822572615253	472;2033;5566;7157	PRKACA;TP53;EP300;ATM
GO:0042770	signal transduction in response to DNA damage	http://amigo.geneontology.org/amigo/term/GO:0042770	131	3	0.0796245019247653	37.67684478371502	5.468068303637885e-5	0.005809822572615253	472;2033;7157	TP53;EP300;ATM
GO:0009314	response to radiation	http://amigo.geneontology.org/amigo/term/GO:0009314	443	4	0.26926453704329034	14.855279658891396	8.838082559314842e-5	0.008347077972686238	472;2033;2353;7157	FOS;TP53;EP300;ATM
GO:0044772	mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044772	487	4	0.2960086445600054	13.513118868355008	1.276792641080604e-4	0.010852737449185135	472;2033;5566;7157	PRKACA;TP53;EP300;ATM
