geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006352	DNA-templated transcription, initiation	http://amigo.geneontology.org/amigo/term/GO:0006352	231	4	0.15600729384750456	25.63982683982684	1.1259262367668832e-5	0.00574996917852566	2099;2959;7157;55290	TP53;GTF2B;ESR1;BRF2
GO:0071824	protein-DNA complex subunit organization	http://amigo.geneontology.org/amigo/term/GO:0071824	242	4	0.16343621260214763	24.474380165289254	1.3529339243589789e-5	0.00574996917852566	2099;2959;7157;55290	TP53;GTF2B;ESR1;BRF2
GO:0043254	regulation of protein complex assembly	http://amigo.geneontology.org/amigo/term/GO:0043254	447	4	0.30188424393867763	13.250111856823267	1.4891007370154696e-4	0.04219118754877164	472;2099;2959;7157	TP53;GTF2B;ESR1;ATM
GO:0031050	dsRNA processing	http://amigo.geneontology.org/amigo/term/GO:0031050	48	2	0.032417100020260686	61.69583333333333	4.5545756425369177e-4	0.07886144254905081	2099;7157	TP53;ESR1
GO:0007050	cell cycle arrest	http://amigo.geneontology.org/amigo/term/GO:0007050	240	3	0.16208550010130343	18.50875	4.638908385238283e-4	0.07886144254905081	472;6657;7157	SOX2;TP53;ATM
GO:0048144	fibroblast proliferation	http://amigo.geneontology.org/amigo/term/GO:0048144	84	2	0.0567299250354562	35.25476190476191	0.0013894121577574525	0.1968333890156391	2099;7157	TP53;ESR1
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	3	0.2512325251570203	11.941129032258065	0.0016551215017558407	0.2009790394989235	2099;4831;6657	SOX2;ESR1;NME2
GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	431	3	0.2910785439319241	10.306496519721577	0.0025230019211820442	0.24159861599008559	4831;7157;55290	TP53;NME2;BRF2
GO:0032355	response to estradiol	http://amigo.geneontology.org/amigo/term/GO:0032355	126	2	0.08509488755318431	23.5031746031746	0.0030915674981163432	0.24159861599008559	2099;8202	NCOA3;ESR1
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	468	3	0.3160667251975417	9.491666666666667	0.003189243937909203	0.24159861599008559	472;2959;8202	NCOA3;GTF2B;ATM
