geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-1266738	Developmental Biology	http://reactome.org/PathwayBrowser/#/R-HSA-1266738	1074	11	2.849616222875012	3.860168927906358	4.828311045879108e-5	0.08343321487279098	10974;1281;1956;219699;3673;3852;3866;5295;5493;8515;9353	KRT5;KRT15;ITGA10;ITGA2;COL3A1;UNC5B;ADIRF;PIK3R1;SLIT2;EGFR;PPL
R-HSA-447041	CHL1 interactions	http://reactome.org/PathwayBrowser/#/R-HSA-447041	9	2	0.023879465554818534	83.75396825396825	2.416112969606532e-4	0.16645643121789355	3673;8515	ITGA10;ITGA2
R-HSA-180292	GAB1 signalosome	http://reactome.org/PathwayBrowser/#/R-HSA-180292	11	2	0.029186013455889323	68.52597402597402	3.679177744948525e-4	0.16645643121789355	1956;5295	PIK3R1;EGFR
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	551	7	1.4619539467450016	4.788112522686025	4.611819505465631e-4	0.16645643121789355	1281;1956;219699;3673;5295;8515;9353	ITGA10;ITGA2;COL3A1;UNC5B;PIK3R1;SLIT2;EGFR
R-HSA-5637810	Constitutive Signaling by EGFRvIII	http://reactome.org/PathwayBrowser/#/R-HSA-5637810	15	2	0.039799109258030894	50.252380952380946	6.977907880654222e-4	0.16645643121789355	1956;5295	PIK3R1;EGFR
R-HSA-5637812	Signaling by EGFRvIII in Cancer	http://reactome.org/PathwayBrowser/#/R-HSA-5637812	15	2	0.039799109258030894	50.252380952380946	6.977907880654222e-4	0.16645643121789355	1956;5295	PIK3R1;EGFR
R-HSA-75892	Platelet Adhesion to exposed collagen	http://reactome.org/PathwayBrowser/#/R-HSA-75892	15	2	0.039799109258030894	50.252380952380946	6.977907880654222e-4	0.16645643121789355	3673;8515	ITGA10;ITGA2
R-HSA-1963642	PI3K events in ERBB2 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-1963642	16	2	0.042452383208566286	47.11160714285714	7.961673891403453e-4	0.16645643121789355	1956;5295	PIK3R1;EGFR
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	http://reactome.org/PathwayBrowser/#/R-HSA-1236382	19	2	0.050412205060172466	39.67293233082707	0.001128967533740477	0.16645643121789355	1956;5295	PIK3R1;EGFR
R-HSA-1643713	Signaling by EGFR in Cancer	http://reactome.org/PathwayBrowser/#/R-HSA-1643713	19	2	0.050412205060172466	39.67293233082707	0.001128967533740477	0.16645643121789355	1956;5295	PIK3R1;EGFR
