geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0045023	G0 to G1 transition	http://amigo.geneontology.org/amigo/term/GO:0045023	45	4	0.0273482341819164	146.26172839506174	9.268526723893444e-9	7.878247715309428e-6	1869;1911;6015;7027	TFDP1;RING1;PHC1;E2F1
GO:0010948	negative regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0010948	278	5	0.1689513133905058	29.594324540367705	2.664800049512195e-7	1.1325400210426828e-4	1869;1911;5934;6015;7027	TFDP1;RBL2;RING1;PHC1;E2F1
GO:0042770	signal transduction in response to DNA damage	http://amigo.geneontology.org/amigo/term/GO:0042770	131	4	0.07961374839624552	50.24257845631892	7.120519563974526e-7	2.0174805431261156e-4	1869;5934;7027;23411	TFDP1;RBL2;SIRT1;E2F1
GO:0072331	signal transduction by p53 class mediator	http://amigo.geneontology.org/amigo/term/GO:0072331	218	4	0.13248700114795056	30.191641182466874	5.4327225289529935e-6	0.0011544535374025111	1869;5934;7027;23411	TFDP1;RBL2;SIRT1;E2F1
GO:0019216	regulation of lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019216	382	4	0.23215612127760146	17.22978475858057	4.95582532213934e-5	0.008424903047636878	5934;8841;9572;23411	NR1D1;HDAC3;RBL2;SIRT1
GO:0044321	response to leptin	http://amigo.geneontology.org/amigo/term/GO:0044321	22	2	0.013370247822270242	149.58585858585857	7.536750099834677e-5	0.010677062641432459	9572;23411	NR1D1;SIRT1
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	468	4	0.28442163549193056	14.063627730294398	1.0935047270055342e-4	0.013278271685067202	1911;6015;8841;23411	HDAC3;SIRT1;RING1;PHC1
GO:0043276	anoikis	http://amigo.geneontology.org/amigo/term/GO:0043276	34	2	0.02066311027078128	96.79084967320262	1.8234412317719162e-4	0.01937406308757661	1869;7027	TFDP1;E2F1
GO:0045444	fat cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0045444	210	3	0.12762509284894322	23.506349206349206	2.2171592148478858e-4	0.020478360931221462	1869;9572;23411	NR1D1;SIRT1;E2F1
GO:0000075	cell cycle checkpoint	http://amigo.geneontology.org/amigo/term/GO:0000075	216	3	0.13127152407319873	22.853395061728396	2.409218933084878e-4	0.020478360931221462	1869;5934;7027	TFDP1;RBL2;E2F1
