geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	404	12	0.6547369842663245	18.327970297029704	2.90878432451791e-13	2.4724666758402236e-10	408;1499;2033;2099;3169;4790;6233;6774;7040;7311;7314;7316	UBC;RPS27A;UBB;STAT3;UBA52;ESR1;FOXA1;NFKB1;CTNNB1;EP300;ARRB1;TGFB1
GO:0002764	immune response-regulating signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0002764	485	11	0.7860085083395233	13.99475945017182	7.055867001781735e-11	2.998743475757237e-8	71;2033;2099;4790;5566;5567;5568;6233;7311;7314;7316	UBC;RPS27A;PRKACB;UBB;UBA52;ESR1;NFKB1;EP300;PRKACG;PRKACA;ACTG1
GO:0045088	regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045088	369	10	0.5980147207779053	16.721996386630533	1.1748058081906265e-10	3.328616456540108e-8	2033;2099;4790;5566;5567;5568;6233;7311;7314;7316	UBC;RPS27A;PRKACB;UBB;UBA52;ESR1;NFKB1;EP300;PRKACG;PRKACA
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	284	9	0.46026065230603014	19.55413732394366	3.142310855963615e-10	6.677410568922681e-8	1499;2033;2099;3169;6233;6774;7311;7314;7316	UBC;RPS27A;UBB;STAT3;UBA52;ESR1;FOXA1;CTNNB1;EP300
GO:0031349	positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	427	10	0.6920116145587143	14.450624512099923	4.888244253820062e-10	8.310015231494106e-8	2033;2099;4790;5566;5567;5568;6233;7311;7314;7316	UBC;RPS27A;PRKACB;UBB;UBA52;ESR1;NFKB1;EP300;PRKACG;PRKACA
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	460	9	0.7454926058477953	12.072554347826086	2.1504287017748425e-8	2.9490466259472574e-6	1499;2099;2782;4790;6233;7311;7314;7316;54331	UBC;RPS27A;UBB;UBA52;GNG2;ESR1;NFKB1;CTNNB1;GNB1
GO:0032147	activation of protein kinase activity	http://amigo.geneontology.org/amigo/term/GO:0032147	321	8	0.5202241879937876	15.377985462097612	2.4286266331330353e-8	2.9490466259472574e-6	408;5566;5567;5568;6233;7311;7314;7316	UBC;RPS27A;PRKACB;UBB;UBA52;PRKACG;ARRB1;PRKACA
GO:0090287	regulation of cellular response to growth factor stimulus	http://amigo.geneontology.org/amigo/term/GO:0090287	256	7	0.41488284151529475	16.872233072916668	1.1443795333576645e-7	1.2159032541925185e-5	1499;2033;6233;7040;7311;7314;7316	UBC;RPS27A;UBB;UBA52;CTNNB1;EP300;TGFB1
GO:0043620	regulation of DNA-templated transcription in response to stress	http://amigo.geneontology.org/amigo/term/GO:0043620	78	5	0.12640961577419138	39.55395299145299	1.399030641335841e-7	1.3213067168171833e-5	2033;6233;7311;7314;7316	UBC;RPS27A;UBB;UBA52;EP300
GO:1902579	multi-organism localization	http://amigo.geneontology.org/amigo/term/GO:1902579	33	4	0.053480991289080966	74.79292929292929	2.1036289088449678e-7	1.7880845725182226e-5	6233;7311;7314;7316	UBC;RPS27A;UBB;UBA52
