geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0040029	regulation of gene expression, epigenetic	http://amigo.geneontology.org/amigo/term/GO:0040029	258	6	0.418124113714633	14.349806201550388	2.728649625804991e-6	0.002319352181934242	2033;2099;3481;4152;7157;10664	ESR1;CTCF;EP300;MBD1;TP53;IGF2
GO:0045787	positive regulation of cell cycle	http://amigo.geneontology.org/amigo/term/GO:0045787	374	6	0.606117901276251	9.899064171122994	2.2816798830094243e-5	0.009697139502790053	1869;2033;3169;3481;7027;7157	FOXA1;EP300;TP53;IGF2;TFDP1;E2F1
GO:0061614	pri-miRNA transcription by RNA polymerase II	http://amigo.geneontology.org/amigo/term/GO:0061614	45	3	0.07292862448511041	41.13611111111111	5.0751419503392015e-5	0.01132618094711139	2113;2353;7157	ETS1;FOS;TP53
GO:0042770	signal transduction in response to DNA damage	http://amigo.geneontology.org/amigo/term/GO:0042770	131	4	0.21230332905665475	18.84096692111959	5.417242016148016e-5	0.01132618094711139	1869;2033;7027;7157	EP300;TP53;TFDP1;E2F1
GO:0048511	rhythmic process	http://amigo.geneontology.org/amigo/term/GO:0048511	279	5	0.4521574718076845	11.058094384707289	7.25548366978801e-5	0.01132618094711139	2033;2099;2113;6667;7157	ETS1;ESR1;EP300;TP53;SP1
GO:0016569	covalent chromatin modification	http://amigo.geneontology.org/amigo/term/GO:0016569	468	6	0.7584576946451482	7.910790598290598	7.99495125678451e-5	0.01132618094711139	2033;3481;3662;4152;10664;10782	ZNF274;CTCF;EP300;MBD1;IGF2;IRF4
GO:0010821	regulation of mitochondrion organization	http://amigo.geneontology.org/amigo/term/GO:0010821	176	4	0.2852319535417651	14.023674242424244	1.7011659375310018e-4	0.018735433343430863	1634;1869;7027;7157	DCN;TP53;TFDP1;E2F1
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	337	5	0.5461543655884935	9.154920870425322	1.76333490291114e-4	0.018735433343430863	1869;2033;2113;2782;7157	ETS1;GNB1;EP300;TP53;E2F1
GO:0090559	regulation of membrane permeability	http://amigo.geneontology.org/amigo/term/GO:0090559	79	3	0.1280302518738605	23.431962025316455	2.7278945585917924e-4	0.021826157639844485	1869;7027;7157	TP53;TFDP1;E2F1
GO:0030099	myeloid cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030099	379	5	0.6142210817745966	8.140391380826737	3.041770355959317e-4	0.021826157639844485	2033;2113;2353;3662;6670	ETS1;SP3;FOS;EP300;IRF4
