geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	434	7	0.41029103923289895	17.0610599078341	5.0833979692299636e-8	4.320888273845469e-5	1050;2113;3169;3481;3725;5241;6670	IGF2;SP3;CEBPA;FOXA1;PGR;JUN;ETS1
GO:0030323	respiratory tube development	http://amigo.geneontology.org/amigo/term/GO:0030323	172	5	0.16260382200013507	30.74958471760797	3.667858057276874e-7	1.4488068415530186e-4	1050;2033;3169;5241;6670	SP3;EP300;CEBPA;FOXA1;PGR
GO:0060541	respiratory system development	http://amigo.geneontology.org/amigo/term/GO:0060541	193	5	0.18245661422108178	27.40377498149519	6.496704882952287e-7	1.4488068415530186e-4	1050;2033;3169;5241;6670	SP3;EP300;CEBPA;FOXA1;PGR
GO:0030099	myeloid cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030099	379	6	0.3582956310351813	16.745947983415004	6.817914548484794e-7	1.4488068415530186e-4	1050;2033;2113;2353;3725;6670	FOS;SP3;EP300;CEBPA;JUN;ETS1
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	428	6	0.404618812884057	14.828771695594126	1.3880618728867589e-6	2.35970518390749e-4	1050;1634;3169;3481;5241;6670	IGF2;SP3;DCN;CEBPA;FOXA1;PGR
GO:0048511	rhythmic process	http://amigo.geneontology.org/amigo/term/GO:0048511	279	5	0.2637585252211493	18.95673323092678	3.988777096175511e-6	5.650767552915307e-4	2033;2113;3725;5241;6667	SP1;EP300;PGR;JUN;ETS1
GO:0061614	pri-miRNA transcription by RNA polymerase II	http://amigo.geneontology.org/amigo/term/GO:0061614	45	3	0.042541697616314406	70.51904761904761	9.323432665020448e-6	0.0011321311093239117	2113;2353;3725	FOS;JUN;ETS1
GO:0019080	viral gene expression	http://amigo.geneontology.org/amigo/term/GO:0019080	62	3	0.05861300560469985	51.1831797235023	2.46148127449608e-5	0.002615323854152085	2033;3725;6667	SP1;EP300;JUN
GO:0009612	response to mechanical stimulus	http://amigo.geneontology.org/amigo/term/GO:0009612	207	4	0.19569180903504627	20.44030365769496	3.3259467126622866e-5	0.0031411718952921593	1634;2113;2353;3725	FOS;DCN;JUN;ETS1
GO:0044706	multi-multicellular organism process	http://amigo.geneontology.org/amigo/term/GO:0044706	218	4	0.20609089067458977	19.408912188728703	4.072883927519477e-5	0.0032383908258901894	2113;2353;5241;6670	FOS;SP3;PGR;ETS1
