geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0034340	response to type I interferon	http://amigo.geneontology.org/amigo/term/GO:0034340	89	4	0.08413802417448848	47.54093097913323	1.1652431067821212e-6	9.90456640764803e-4	1958;3662;6772;6773	STAT2;STAT1;EGR1;IRF4
GO:0104004	cellular response to environmental stimulus	http://amigo.geneontology.org/amigo/term/GO:0104004	320	4	0.3025187386049024	13.222321428571428	1.8045375331854352e-4	0.03441229098660419	1958;4609;5978;7157	REST;TP53;MYC;EGR1
GO:0001655	urogenital system development	http://amigo.geneontology.org/amigo/term/GO:0001655	326	4	0.3081909649537444	12.978965819456615	1.938045635088148e-4	0.03441229098660419	1958;3280;4609;6772	MYC;HES1;STAT1;EGR1
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	337	4	0.3185900465932879	12.555320050869012	2.2012315325570242e-4	0.03441229098660419	1958;4609;5978;7157	REST;TP53;MYC;EGR1
GO:0032259	methylation	http://amigo.geneontology.org/amigo/term/GO:0032259	346	4	0.32709838611655073	12.228736581337738	2.4350993958610623e-4	0.03441229098660419	3662;4609;10782;53615	ZNF274;MYC;MBD3;IRF4
GO:0035690	cellular response to drug	http://amigo.geneontology.org/amigo/term/GO:0035690	349	4	0.32993449929097174	12.123618501841996	2.5169056189322525e-4	0.03441229098660419	1958;4609;5978;7157	REST;TP53;MYC;EGR1
GO:0018205	peptidyl-lysine modification	http://amigo.geneontology.org/amigo/term/GO:0018205	360	4	0.34033358093051524	11.753174603174603	2.833953375367404e-4	0.03441229098660419	1958;3662;10782;53615	ZNF274;MBD3;EGR1;IRF4
GO:0097696	STAT cascade	http://amigo.geneontology.org/amigo/term/GO:0097696	148	3	0.13991491660476738	21.441602316602317	3.2840059094174645e-4	0.03489256278756056	3280;6772;6773	STAT2;HES1;STAT1
GO:1903706	regulation of hemopoiesis	http://amigo.geneontology.org/amigo/term/GO:1903706	389	4	0.3677493416165845	10.876973925817113	3.807439483718422e-4	0.035959150679562873	3280;3662;4609;6772	MYC;HES1;STAT1;IRF4
GO:0007219	Notch signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007219	185	3	0.17489364575595923	17.153281853281854	6.308598688031797e-4	0.05309246082838401	3280;4609;6772	MYC;HES1;STAT1
