Gene	Mutations	MutationFreq%	Lenght	Corrected
SPOP	44	12.790697674418604	79279	0.0001613377776513
TTN	31	9.011627906976743	304813	2.956444740538213e-05
TP53	20	5.813953488372093	25759	0.0002257057140561
MUC16	15	4.3604651162790695	132498	3.2909667438595826e-05
RYR2	14	4.069767441860465	791804	5.139867242222147e-06
SPTA1	14	4.069767441860465	76011	5.354182212917163e-05
LRP1B	12	3.488372093023256	1899593	1.8363786837618667e-06
CSMD3	12	3.488372093023256	1214011	2.873427088406329e-06
PCLO	11	3.197674418604651	408918	7.819842654528905e-06
RP1	11	3.197674418604651	362298	8.826089071992258e-06
ATM	10	2.9069767441860463	146058	1.9902892988990997e-05
SYNE1	10	2.9069767441860463	516114	5.632431486427507e-06
CTNNB1	9	2.616279069767442	65355	4.00318119465602e-05
CACNA1E	9	2.616279069767442	495572	5.279311724164081e-06
MACF1	9	2.616279069767442	405861	6.446244082992556e-06
FAT3	9	2.616279069767442	671655	3.895272230188775e-06
HMCN1	9	2.616279069767442	456558	5.730441849157044e-06
SSPO	8	2.3255813953488373	57937	4.013983111567456e-05
KMT2C	8	2.3255813953488373	301722	7.707695810543603e-06
FBN3	8	2.3255813953488373	84190	2.762301217898607e-05
FOXA1	8	2.3255813953488373	6507	0.0003573968641999
MUC17	8	2.3255813953488373	38787	5.9957753766696e-05
OBSCN	8	2.3255813953488373	170832	1.3613265637285971e-05
GRIA1	8	2.3255813953488373	324254	7.172097785528744e-06
KMT2D	8	2.3255813953488373	41819	5.561064098493118e-05
PIK3CA	8	2.3255813953488373	91979	2.528382995410732e-05
RYR3	8	2.3255813953488373	555159	4.189036645985812e-06
RYR1	8	2.3255813953488373	161582	1.4392577114708551e-05
CDK12	7	2.0348837209302326	103421	1.967573046992615e-05
CNTNAP5	7	2.0348837209302326	895932	2.271247952891774e-06
NAV2	7	2.0348837209302326	770877	2.63969961606097e-06
FBN1	7	2.0348837209302326	237408	8.571251688781476e-06
LAMA3	7	2.0348837209302326	266769	7.627886751947312e-06
SALL1	7	2.0348837209302326	16352	0.0001244424976107
PCDH15	7	2.0348837209302326	1825171	1.1149003139597509e-06
MYO15A	6	1.744186046511628	71046	2.4550094959767304e-05
USH2A	6	1.744186046511628	800557	2.178715627383969e-06
ERICH3	6	1.744186046511628	105675	1.6505190882532557e-05
UBR4	6	1.744186046511628	135756	1.284794813129164e-05
MUC5AC	6	1.744186046511628	43185	4.038870085704823e-05
ANK2	6	1.744186046511628	566189	3.0805721172817343e-06
AHNAK2	6	1.744186046511628	41130	4.240666293488033e-05
ADGRL3	6	1.744186046511628	878009	1.986524109105519e-06
MUC5B	6	1.744186046511628	39106	4.460149456634859e-05
COL11A1	6	1.744186046511628	232405	7.504942004309838e-06
MYO9A	6	1.744186046511628	296286	5.88683247440523e-06
APC	6	1.744186046511628	138741	1.2571525695444233e-05
XIRP2	6	1.744186046511628	371273	4.697853187577949e-06
SCN1A	6	1.744186046511628	164573	1.0598251514596125e-05
PIWIL1	6	1.744186046511628	34750	5.019240421616196e-05
COL12A1	6	1.744186046511628	121941	1.4303524216724711e-05
FILIP1	6	1.744186046511628	201941	8.637107108074279e-06
CDH23	6	1.744186046511628	419027	4.16246696874337e-06
COL6A3	5	1.4534883720930232	90325	1.6091761661699676e-05
RAG1	5	1.4534883720930232	82784	1.7557600165406642e-05
GAD2	5	1.4534883720930232	87893	1.653702083320655e-05
MXRA5	5	1.4534883720930232	38087	3.81623223696543e-05
CTNNAL1	5	1.4534883720930232	70953	2.048522785637004e-05
ANO4	5	1.4534883720930232	411115	3.5354788127239905e-06
PCDH11X	5	1.4534883720930232	843969	1.722205877340309e-06
CUL3	5	1.4534883720930232	115247	1.2611941066518205e-05
MED15	5	1.4534883720930232	91719	1.5847189481928753e-05
GPR158	5	1.4534883720930232	427427	3.400553479525213e-06
ABCB1	5	1.4534883720930232	210306	6.911302445451024e-06
PTEN	5	1.4534883720930232	109367	1.3290008614051983e-05
PRKDC	5	1.4534883720930232	187067	7.769881230217105e-06
CSMD1	5	1.4534883720930232	2059619	7.057074012684013e-07
SMARCA1	5	1.4534883720930232	76999	1.8876717517020005e-05
FREM2	5	1.4534883720930232	200054	7.265480180816296e-06
LAMB1	5	1.4534883720930232	79414	1.8302671721522947e-05
PTPRD	5	1.4534883720930232	2298756	6.322934544131796e-07
GRIN2B	5	1.4534883720930232	544060	2.6715589679318886e-06
GRIN2A	5	1.4534883720930232	429524	3.383951472078448e-06
NDST4	5	1.4534883720930232	286113	5.080119994872736e-06
PIK3CG	5	1.4534883720930232	43702	3.32590813256378e-05
ADGRG4	5	1.4534883720930232	115927	1.253796244268396e-05
ADAMTSL1	5	1.4534883720930232	1004387	1.4471397699223738e-06
PCDHB12	5	1.4534883720930232	3874	0.0003751905968231
ASTN1	5	1.4534883720930232	307671	4.724164357684096e-06
CTTNBP2	5	1.4534883720930232	163488	8.890489651185549e-06
CSMD2	5	1.4534883720930232	651844	2.2298101571741446e-06
ZMYM3	5	1.4534883720930232	15522	9.364053421550208e-05
