Gene	Mutations	MutationFreq%	Lenght	Corrected
TP53	17	21.518987341772156	25759	0.0008353968454432
TTN	11	13.924050632911392	304813	4.5680632495698655e-05
SYNE1	6	7.594936708860759	516114	1.4715618465805538e-05
MUC16	6	7.594936708860759	132498	5.732114227279476e-05
SPTA1	5	6.329113924050633	76011	8.32657631665237e-05
NALCN	5	6.329113924050633	362732	1.744845760520338e-05
LRP1B	4	5.063291139240507	1899593	2.665461043097393e-06
SPOP	4	5.063291139240507	79279	6.386673821870238e-05
TAF1L	4	5.063291139240507	6215	0.0008146888397812
KMT2D	4	5.063291139240507	41819	0.0001210763322709
OR52A1	3	3.79746835443038	7933	0.0004786925947851
DCHS2	3	3.79746835443038	260057	1.460244621152432e-05
COL11A1	3	3.79746835443038	232405	1.633987373090243e-05
PHC1	3	3.79746835443038	27571	0.0001377341538003
FLG	3	3.79746835443038	23074	0.0001645778085477
PCDHA1	3	3.79746835443038	226211	1.678728423653306e-05
APOB	3	3.79746835443038	42644	8.90504726205417e-05
CUBN	3	3.79746835443038	305845	1.2416316612762608e-05
PCDHA12	3	3.79746835443038	137045	2.770964540428604e-05
HSPA8	3	3.79746835443038	5741	0.0006614646149504
FAT2	3	3.79746835443038	87239	4.352948055835555e-05
BSN	3	3.79746835443038	117072	3.24370332310918e-05
HSPG2	3	3.79746835443038	115066	3.30025233729371e-05
COL21A1	3	3.79746835443038	337504	1.1251624734611678e-05
SCN7A	3	3.79746835443038	207909	1.8265050355830575e-05
MAP2	3	3.79746835443038	310100	1.2245947611836115e-05
IL6ST	3	3.79746835443038	59927	6.336823726250904e-05
CDK12	3	3.79746835443038	103421	3.671854221512439e-05
ERCC2	3	3.79746835443038	21081	0.0001801370122114
MOGAT2	2	2.5316455696202533	15120	0.0001674368762976
XIRP2	2	2.5316455696202533	371273	6.818824879859977e-06
GNL3	2	2.5316455696202533	13341	0.0001897643032471
DNAH9	2	2.5316455696202533	371278	6.81873305076049e-06
POM121C	2	2.5316455696202533	69513	3.6419742632604735e-05
IRF4	2	2.5316455696202533	19704	0.0001284838393026
EIF4G3	2	2.5316455696202533	370993	6.823971259889682e-06
PCDH10	2	2.5316455696202533	59312	4.268353064506767e-05
ARSF	2	2.5316455696202533	71256	3.552887573846768e-05
PFKP	2	2.5316455696202533	71385	3.5464671424252335e-05
RYR1	2	2.5316455696202533	161582	1.566786875778399e-05
CACNA1E	2	2.5316455696202533	495572	5.108532301300826e-06
PI4KA	2	2.5316455696202533	151726	1.6685641021448223e-05
MYH11	2	2.5316455696202533	153893	1.6450686968349783e-05
PAPPA2	2	2.5316455696202533	382430	6.619892711398827e-06
NABP1	2	2.5316455696202533	63029	4.016636103413116e-05
MUC17	2	2.5316455696202533	38787	6.527046612577032e-05
USP9X	2	2.5316455696202533	151134	1.6750999574022082e-05
ACTG1	2	2.5316455696202533	14434	0.0001753945939878
ATM	2	2.5316455696202533	146058	1.7333152375222535e-05
ADCY2	2	2.5316455696202533	433943	5.834050945908226e-06
PCDHA9	2	2.5316455696202533	164575	1.5382929178916927e-05
SV2A	2	2.5316455696202533	14526	0.0001742837374101
MEFV	2	2.5316455696202533	14606	0.0001733291503231
EPHB1	2	2.5316455696202533	465207	5.441976517163871e-06
PLCB4	2	2.5316455696202533	436768	5.79631651041343e-06
OR5M8	2	2.5316455696202533	935	0.0027076423204494
WNK3	2	2.5316455696202533	165819	1.5267524045014463e-05
DCN	2	2.5316455696202533	42733	5.9243338160678e-05
ITGA7	2	2.5316455696202533	31836	7.95214715925447e-05
COL4A5	2	2.5316455696202533	257707	9.82373614073445e-06
LY9	2	2.5316455696202533	32187	7.865428805481261e-05
NFKBIZ	2	2.5316455696202533	33031	7.66445330029443e-05
