Gene,Number of connections,Connected genes
UBC,293,CDC26 RELB FBXO17 RNF217 PSMB3 TNKS CUL5 ANAPC2 USP1 USP8 FBXO44 POLR2A DERL2 DTX4 DERL1 POU2F2 RAF1 ZNF175 CHMP4C MUS81 HECTD2 GLI2 REPS1 UCHL1 CDC6 TP53BP1 RLIM FBXO21 MFN1 ARPC1A UBE2L6 RNF41 RNF168 FBXO7 MDM2 FBXO10 CDH1 BIRC2 ANAPC1 FBXL17 SIX5 TRIM69 PSMB1 UCHL3 FBXO5 SMURF2 CCNB1 PEX5 AXIN1 ARL13B EPM2A XPC POLH OTULIN RSPO4 RPS27A EPGN PSMC2 SYVN1 CDC37 BTC RNF181 MNAT1 ANAPC11 PTEN CCDC8 DNM2 PSMD13 BORA UBE2V2 UBE2Q2 LRP6 PSMD9 NFKBIB SHPRH APC ZFAND6 ERLEC1 NF1 FBXW2 COMMD1 RPA2 PER2 GAPVD1 SHH KL UBE2A ZNF207 BABAM1 ITCH FBXO15 GYG1 PEX1 DTX1 KDM4B NEK2 RSPO3 FGFR4 UBA3 PSMC4 JAG1 PSMD6 FBXL14 POLK PARD3 LIG1 RXRG WNK2 PAF1 VCP TICAM2 UBE2H NEDD4 VPS37C FGFR3 CDC25A RUNX3 VPS37A VPS33B EPS15L1 NFKB2 FBXL7 KDM4A TGIF2 ARHGEF18 LRIG1 WNK3 SOCS3 STAM2 NOTCH4 FGF1 DYNC1LI2 CDC16 RNF144A RFC3 MTERF3 ANAPC16 ERCC2 TRAF6 ERBB4 TNKS2 NPLOC4 ZNRF1 SYK EPS15 GLI3 HRAS SGK3 AMPH CHMP6 PSMD1 HERC2 POLI AP2M1 PSMB4 RXRB POLR2D DDX41 FGF20 VPS37D CDC42 FBXL20 FANCC FANCE PEX2 TANK FAN1 RCHY1 FBXL5 CHMP4B MFN2 USP15 WNT3A EHMT2 ANAPC15 UBE2S CDC27 SIAH1 UBE2L3 RUNX2 FANCF AP2S1 FGF2 PSME3 HDAC6 GTF2H2 GTF2H4 FBXW4 CHMP2B DLL4 RNF40 UBA7 FZR1 TP53 BUB3 UBA1 POLD4 RNF144B GYG2 FCHO1 UBE2D4 PSMC1 UNKL PEX13 WAC CDC20 RNF103 TLE1 CHMP4A POLD1 HSPB1 TRIM25 NECAP1 LGR5 PSMB5 CDK2 CRY1 AMFR SPRTN VPS36 GSK3B FCHO2 CRY2 TLE2 ELL TLR4 DTL TP73 HERC5 UBE2Z TCEA1 PEX6 HSF1 WNK1 SUFU LAMP2 MAD2L2 HNRNPD ANAPC4 CSF3 CDC73 HMGN3 TNIP2 UBE2T DYNC1LI1 MDC1 XRCC1 FBXO6 FBXO40 RB1 BIRC3 DYRK2 UBE2R2 RAB5A CLTC SQSTM1 SEL1L PDCD6IP UBE2D1 UBE2V1 NBN RNF114 FBXO9 CCNE2 PSMD4 CUL9 TRIM32 AREG FBXW12 CHMP7 KLB SMAD4 SYNJ2 ZSWIM8 POLR2J NGF PEX7 WSB1 UBE2G1 VPS4B MAP3K14 ZHX2 CETN2 EPN2 KRAS CD14 MIB1 KAT5 HLTF POLR2B RSPO1 JAK1 CDC23 
EP300,236,FES CTNNB1 IL6 EPO TCF7 MED7 KRT19 GIPC1 CREBBP HIF1A NEK3 BCL2 LAMA2 UBE2B NLRP2 LOXL3 CRTC2 TNFSF18 TNFRSF19 TMEM214 TMEFF2 TRIM29 USP44 TTC8 TTC28 TSPAN1 SULF1 SS18 SOX8 ZNF608 ZNF300 ZBTB4 PAFAH1B3 PADI2 OPA1 OLFM1 PARP15 PLXND1 PLXNB2 PLOD2 PKD2 PFKL PDLIM7 PDLIM3 MFSD10 NAV2 RTN3 SOD3 RBPMS RAPGEF1 PTP4A1 FLRT3 FIG4 FAM3B F2RL1 GRHL2 GPR65 GFI1 GATM EPB41 EOMES HAVCR2 LCN2 KLK10 KLF7 MBTD1 LYL1 LMCD1 LIMK1 HOXC10 HMOX2 HEXB HES1 HEPACAM HDAC2 ID2 EBF1 ECT2 CAMLG BCL6B BZW2 BRINP3 AFAP1L2 AKIRIN1 AJUBA ANXA3 ANGPTL4 ABL1 ATF4 AUTS2 ATCAY ASS1 ASAH2 ARID5B CTBP1 CXADR CPA4 CRIP1 DRAM2 DCLK1 CYP27B1 DDIAS DDR2 CLDN5 CLIC4 CIITA CITED1 CHFR FOSB FOXA1 RPA1 PRNP PRUNE2 SOAT2 ZBED2 SIX2 GPCPD1 POU4F1 RORA SASH1 A1CF JMY CARD6 DMRT2 DAPK1 JUP ASH2L MTTP TBX2 NUPR1 CDK6 LPIN1 IKZF3 IRF8 CHI3L1 MYOCD CAV1 ARSB CTHRC1 ZNF521 TMC8 LITAF NFAT5 TP53AIP1 MED13 PPP1R13L TWIST1 GLYR1 LAPTM5 ZBTB38 NFIB ZNF827 SMARCE1 NFE2 SOX17 RASSF2 EGR3 BLNK CPT1C DYRK1A EPB41L2 LIG3 EHF SPI1 P2RX5 CPT1B RPS6KB1 HDAC9 CDKN2B LAMP1 CEBPB ALOXE3 DDX21 TLE4 HEYL FLT1 ID1 MYH14 CCNC EPAS1 SIRT1 RBX1 NFATC2 UBB SIK1 EAF2 CCND3 EFNA5 HES6 PML AQR TRAPPC6B POU2AF1 ENO3 LDHA ZNF341 DBP GAPDH EVL ECE1 PDK1 HMOX1 CTSH IL24 WNT7A ZFHX3 SNAI3 MED31 ADD2 SMAD9 SPHK1 RFXANK POLR2I PFN2 BIRC6 HSP90AB1 MYF6 GTF2H5 DDB1 DCN PFKFB3 MED21 MED28 ERCC5 TLK1 TNS4 POLR1E TCF7L2 TRIM37 NRIP1 EGF TGS1 STAT5B SMARCD2 TNFRSF1A ATXN1 
CTCF,234,ZNF175 SIX5 CHD4 ELAVL3 SPDEF ACKR3 PDS5A ZNF354A BMP7 ZNF750 FN1 BCLAF1 TIPARP FOXS1 LRRC32 SCAND1 MED20 MAGEC2 BIRC2 ZNF554 ANKRD2 ACTA1 ADAM19 ADNP ATN1 ATMIN ZNF219 ZFP36 ZBTB39 ZBTB34 ZBTB20 ZNF25 USF2 TOX4 TNFRSF8 TMEM119 TFEC ZNF280B ZNF607 ZNF594 ZNF582 ZNF398 EID2 HIC1 GFI1B FOXL1 FABP3 EID2B HOXC5 HOXC6 RIPK3 RCOR2 RBM4 PTPRU PPM1D RXRA TBX10 TBX1 SULT2B1 STAP1 SPOCD1 SNAI2 SH2B3 SCAI PINK1 ITGAX IRX4 IGFBP3 P3H3 NPPC NFATC4 NCOA6 NCOA4 NAE1 MYRF CLU FOXD2 FOXC2 NFIL3 CCDC85B BAZ2A PSMC5 TWIST2 SFRP4 RPS14 ZNF114 POLR2D SLC2A10 BPTF CEP85 USP2 NF1 ZBTB32 CELSR3 RFX7 CYP1B1 SORBS3 MMRN2 DDX20 RFPL2 KDM3B RERG PDS5B POLR2A ARL8B NSMCE2 MAPT ZBTB45 PEX12 PMPCB FAM220A MRGBP PKNOX1 FBXW7 ABCA2 AC019100.3 LRRFIP1P1 ADAMTS8 FANK1 MAP2K1 ZNF746 MLLT11 CCDC124 KMT2D HOMEZ RP11-4K3__A.3 PPP2CB RNF14 SALL2 CRKL FJX1 GNPNAT1 ZNF595 IRF2BP1 TRAF6 RBL2 PBX1 AAMP PTHLH NFE2L2 RP11-277B15.3 PPARD INHBA TESC PHIP DHRS2 ZNF718 STAT3 MAPK14 ZMYND8 RCC1 HOXB5 MRPS23 RP11-373D23.3 SEPHS2 SAP130 TFAM PCNA ZNF137P EDAR PCBD2 CCND1 PPP4R1-AS1 POLR2I BRMS1L BEX2 NDUFA4 ERLIN2 ZNF212 HCAR1 NBPF8 ZNF639 STAB2 RP4-742J24.2 CDC73 CREB3L2 ZNF786 DKK1 C1QBP RP5-907C10.3 RPL12P4 IRF2 THAP11 ARL8A SMARCC2 GPR56 TBX6 ALDH1A2 NEK8 RUNX3 MST1L WT1 HSPA5 RBM15B POLR2B HSPA8 TERT SUB1 FAM131A AC007879.5 PLK3 EPB41L4B ZNF425 HOXA5 IGHV5-51 CTD-2350C19.2 VRK1 POLR2J ASH2L PAGR1 NT5C3A NME1 TRI-TAT2-2 SOX18 RP4-612B15.2 EBF3 SRSF4 RP11-73M7.6 CUBN LINC00937 BMPR1A FERMT1 MAPK1 SNRNP200 IRF9 APP MYO16 MYC MIF HOXB7 RBBP5 HEYL TOP3B PAF1 
MYC,211,MUC1 MNT PMAIP1 IRF2 PSMB1 SRSF1 UCP3 ANAPC2 TXNRD2 CXCL2 PHF19 MST1 MAGEC2 ACOX1 PDGFRB TOMM20 VEGFB NME1 NFIL3 MCM7 HYAL1 TERT SIRT6 NEFM PDE4A LTA4H INSM1 SCAND1 SLC2A1 GNL3 GALR1 GLS2 GLS HES5 FKBP10 MTHFD2 RSL1D1 TBRG4 SRD5A1 SMOC2 POLE3 PDCD1 PAICS OCA2 ZNF121 ZBED9 UCN3 UBAP2 TRIP13 MLLT10 ILF3 MACROD1 KRT6A ADAMTS16 ARHGDIA DNAJC2 PTRH2 GRHL3 CARD8 HIRA RAMP2 PCK2 PKM PFAS ENO1 TJP2 NCL SUPV3L1 PGR RAD23A EEF1A1 NME2 ZNF331 SRM TP73 APC CEACAM1 MYBL2 AGT ZSCAN9 DHRS2 USPL1 CCT2 UBE2V1 TCF12 SLC2A4RG ZNF805 HBP1 TFAP2C AR CSDE1 CSTB ERBB4 L CDC25A ACTL6A FGFR4 PPID UROD ITGB1BP1 HSPD1 ARF4 CCDC124 RBBP4 CRLF1 NR1D1 PCNA TCF7L1 PTEN APRT MAPK3 MAX SUPT7L NOTCH4 SMAD4 HIGD2A LDHB TAF10 SNX5 EDN1 WDR4 EPHA3 SHMT1 RPL6 GABPB1 ODC1 AEBP2 NFKBIA MFAP1 ZBTB17 BCL2L11 ZFP36L2 CRKL SLC1A5 UBE2L3 SFRP1 FBXW7 UBA1 LAMB2 GSK3B PGF POU2F2 PPRC1 QKI NPM1 HEY1 NFYA TBL1X CDK4 CCND1 YBX1 LAIR1 MAPK13 ADH6 FPGS PAK1IP1 AKR1C3 THBS1 LRRC32 PSMD9 SPAST PBRM1 PPP2R5A PSMC5 HSPA8 CXCR4 TXN TFAP4 BCR SLC2A4 TEAD4 PLCG2 RPS5 TESC MAPK14 DPEP1 SPHK2 TP53 EPHX1 STAT3 GNPNAT1 RBL2 RRP1B PGAM1 USP28 WT1 FOXM1 RCC1 HPN NFE2L2 NAT10 NSUN2 AXIN1 SLC3A2 ERBB2 VEGFA E2F5 ZBTB7A ECD BRD9 PRMT1 FN1 CTCF PPP2CA CCNB1 CYB561 KDM4C RPL21 MAPK1 APEX1 STAT1 
STAT1,205,PTGFR GCK IFITM2 IFIT3 HLA-DOA HLA-DPB1 ELF5 EGF RBAK MUC1 PNPT1 NMI ISG15 IGFBP3 IL24 LY6E ZNF420 ZNF425 ZNF436 ZNF3 ZNF350 ZNF398 ZNF34 ZNF669 ZNF674 ZNF620 ZNF543 ZNF555 ZNF564 TAP1 ZNF184 TYMP TOP1 ZNF676 ZNF83 ZNF792 ZNF793 ZNF808 ZNF816 ZNF823 ZNF829 ZNF860 ZNF879 ZNF888 ZNF90 ZNF84 ZNF727 ZNF730 ZNF736 ZNF746 ZNF749 ZNF761 ZNF763 ZNF726 ZNF682 ZNF684 ZNF688 ZNF689 ZNF699 ZNF7 ZNF707 ZNF708 ZNF773 ZNF778 ZNF783 ZNF786 ZNF79 ZNF790 ZNF764 ZNF765 ZNF766 ZNF77 ZNF93 ZNF98 ZNF91 CD53 VPS33B ZNF713 ELAVL3 MDM4 NUTM2F MYOZ1 RP11-313P13.4 SEC22C FBXL6 DCAKD PPP1R9B OSBPL11 AC083873.4 LRRC37A2 KCNMA1 SCAMP1 ANKRD7 USP39 CTD-2350C19.2 FAM210B CXCL11 DTX3L SIN3A LRRFIP1P1 ZNF841 IFIT5 ZNF222 ZNF154 ZFP90 ARL6IP4 CXCL9 OASL ZNF180 ZNF426 ZNF114 ZNF675 RIPK1 ZNF200 ARL8A LAP3 PPIP5K2 ZNF627 ZNF701 ZNF480 ZNF33A ZNF418 B3GAT3 ZNF777 ZNF354A ZNF157 ZNF649 ZNF641 ZNF282 ZFP1 ZNF700 ZNF320 ZNF195 ZNF471 ZNF433 ZNF671 ZNF140 ZNF780B ZNF12 ZNF85 ZNF311 RP11-390P24.1 ZNF473 ZNF680 ZNF416 ADAR ZNF615 POLR3A ZNF486 BST2 ZNF670 ZFP37 ZNF354C ZNF599 ZNF419 ZNF440 ZNF224 ZNF528 ZNF169 S100A10 EIF2AK1 ZNF155 ZNF850 ZNF568 SRC ZNF189 ZNF443 ZNF404 ZNF721 ZNF547 ZNF554 ZNF431 ZNF461 CD70 ZNF20 ZNF101 ZNF14 SOCS5 ZNF141 SDF2L1 ZNF799 IFNGR1 IFITM3 ZNF395 IFITM1 ZSCAN32 IL27RA ZNF614 ZFP14 TRAF2 ZNF813 ZNF561 ZNF717 OAS1 ZNF853 ZNF235 ZNF30 ZNF275 PIAS3 ZNF442 CD274 PLCG2 MYC ZNF814 ZNF737 
TP53,204,SERPINB5 PSMB1 EXO1 SEC22C SLC7A11 ANKRD54 MCM7 CTH TRAF6 SAT2 ATM MDM4 P2RX4 GTSE1 ATF2 CHMP4C XRCC6 SALL2 UBE2I PCNA RRM2 CASP10 IRF5 CDH13 DDIT4 PLK3 FGF2 USP42 PSMB3 USF1 CCT2 DUSP1 STK11 CSE1L CCT8 GSK3B ING2 MAPK14 PSMD1 RRM2B EHMT1 FAT4 ANTXR1 CCT6A NR3C1 BBC3 SMYD2 ATRIP TERT NFYC FAS CCND1 CHD4 PDGFRB EI24 ING5 WT1 GAMT HMGN2 HIPK4 HIPK3 EPCAM PERP PAX2 PAX8 NUAK1 PPP1R7 PPP1R13L MBD4 L3MBTL1 TK1 VCAN TYRP1 TYMS ZNF263 ZNF274 I3 TG5 TBXAS1 CD82 SSTR2 BANP AQP1 S100B SETD7 SIRT1 CEBPZ E4F1 TFDP2 PHF20 TTC5 SETD9 IFI16 ZMAT3 BCL2L1 CHEK1 CHEK2 RBBP4 COQ7 HDAC1 TRIM28 P2RX1 RK DROSHA SIVA1 BAK1 PEG3 TAF6 RFC3 LRIG1 MAPKAPK5 GADD45B SHISA5 NFATC4 PSMD4 POLK WRN MAPK9 TP63 PSMA5 PSMC5 SCO2 EHMT2 E2F1 PRKAA1 RPRM BID RPA2 PSMD9 DYRK2 UBE2D1 PSMD13 DKK1 NINJ1 JUN CCT5 CX3CL1 NFYA VEGFA MAP4 E2F3 NTHL1 TAF11 COPS5 PSMC2 PMAIP1 SAT1 CCNG2 MAPK1 PRKAG2 ALDH1A3 BCL2L2 PSMD6 CDKN2A TAF3 LITAF CLK1 KAT6A TAF10 UBE2L3 SUMO4 TAF4 HDAC7 STAT3 PSME3 EEF1A1 XPC EEF1A2 CCNB1 MDM2 TP73 CASP8 RBL2 UBC GPNMB MTA1 DNMT1 NME1 TRIM22 MAPK3 PRKAG1 PAX5 RFC4 HMGA1 PTEN CASP1 SESN1 POLD1 PIN1 PRKAB1 MYC NOS2 CABIN1 HTT MAPK8 AIFM2 THBS1 NGFR PSMD10 RUNX3 ETS1 NOC2L CCNG1 MAPK13 
RAC1,199,GRIK3 GNG12 APC PDGFRB GNB3 ARPC1A BRK1 PARD3 PRKCI IGHV2-70 TLR2 ARAP1 GRIN2B GNA11 ARHGAP23 IGKV4-1 EFNB2 CDK4 SRGAP2 PLCG1 IGKV5-2 RALGDS WASF1 SYDE2 PARD6G CYBB CD247 PLXNA4 BMPR1A EXOC8 SWAP70 DOCK9 GNG10 ELMO1 TRAF6 GIT1 IGKV1-17 SH3BP1 HTT PIK3C2G IGLC6 EDN1 EXOC7 GNG5 DOK2 MAPK14 IGHV7-81 MAP2K1 ARHGAP5 RAP1GDS1 FGD5 FGD3 FGD2 PLEKHG2 PKN2 NET1 NISCH NGFR IGLV1-51 MCF2L KLHL20 ALS2 ABR ACVR2A ARAP2 ARHGEF19 ARHGEF16 ARHGEF12 ARHGEF5 ARHGEF3 ARHGEF25 ARHGAP44 ARHGAP15 ARHGAP1 ARHGAP31 ARHGAP27 DOCK11 DOCK7 EXOC6 MAP3K6 MAPK12 ARHGAP9 ARF6 FN1 PLEKHG6 NME1 ACTA2 EXOC2 AKAP13 CHN2 PLXNB2 ARFGAP3 KRAS CALM3 CDH1 CDH2 PAK1 NF2 ACTB RND1 SEMA4D RAB11A ARHGAP17 EXOC5 IGLV3-27 PPP1CB BTK IGKV3-15 CLIP1 FGD4 BAIAP2 ROBO1 DOCK6 GNB4 FCGR1A ILK MAPK1 ARHGAP20 MAP3K9 MAPK13 BCAR1 ARHGEF1 PIK3R3 MAPK8 MAP3K7 PIP5K1A PDGFB NOX1 OBSCN RRAS NTRK2 RHOC EFNA1 MEN1 RASGRF2 IQGAP1 IGHV4-59 ARHGEF9 PLEKHG5 ARHGEF17 PLXNA2 IGLV2-8 IGKV2-29 TIAM2 CRK FCGR2A GNA15 ASAP1 IL1RAP ARHGEF18 FAM13A PAK3 IGHV4-39 TLR4 FGD1 EFNB1 PLXNB3 ARHGEF2 SYK LCP2 PLD1 NGF STAT3 CRKL GAB1 LAMC2 GNAI2 PLCG2 ITGB1 GNG7 PARD6B PREX2 IGLV1-44 LAT ARHGAP22 ECT2 IGLV3-25 CYFIP1 ACTN1 DOCK2 ACVR2B VEGFA SRGAP3 BCR IGHV3-30 KTN1 LCK GNB5 DNM1 CXCR4 IRAK4 S1PR3 ARHGEF11 PIK3CB ARHGAP6 CD3G CIT FYN DOCK1 
STAT2,187,ZNF34 EIF2AK4 KPNA1 SP100 SP110 ZNF490 ZNF506 ZNF514 ZNF441 ZNF45 ZNF468 ZNF470 ZNF530 ZNF534 ZNF540 ZNF544 ZNF549 ZNF517 ZNF519 ZNF529 ZNF439 ZNF33B ZNF343 ZNF347 ZNF37A ZNF382 ZNF337 ZNF334 ZNF333 ZNF284 ZNF285 ZNF286A ZNF304 ZNF316 ZNF317 ZNF44 ZNF429 ZNF43 ZNF430 ZNF432 ZNF383 ZNF41 ZNF417 ZNF623 ZNF613 ZNF616 ZNF619 ZNF621 ZNF665 ZNF667 ZNF662 ZNF658 ZNF607 ZNF566 ZNF567 ZNF569 ZNF57 ZNF573 ZNF556 ZNF557 ZNF558 ZNF560 ZNF562 ZNF563 ZNF565 ZNF597 ZNF600 ZNF605 ZNF606 ZNF589 ZNF578 ZNF582 ZNF583 ZNF585B ZNF283 ZNF225 ZNF226 ZNF227 ZNF211 ZNF212 ZNF214 ZNF221 ZNF223 ZNF208 ZNF230 ZNF26 ZNF268 ZNF273 ZNF248 ZNF25 ZNF250 ZNF251 ZNF254 ZNF256 ZNF257 TXNIP USP18 ZC3HAV1 ZFP30 ZFP57 ZFP69 ZFP69B ZFP82 ZFP92 TRIM34 TRIM22 STAT5B ZNF181 ZNF182 ZNF19 ZNF17 ZNF136 ZNF135 ZNF107 ZNF124 ZNF132 ZNF133 ST13 ZIK1 ZNF229 IFI27 ZNF527 ZNF454 ZNF267 ZNF610 IFIT1 ZNF546 MX1 ZNF577 ZNF492 ZNF160 ZNF324 ZNF233 ZNF714 ZNF10 DDX60 ZNF780A ZNF782 ZNF585A ZNF8 ZNF878 ZNF836 ZNF772 ZNF570 ZNF791 ZNF354B ZNF205 ZNF234 ZNF551 OAS3 ZNF2 ZNF112 ZNF300 IL27RA MCL1 ZNF846 ZNF23 ZNF587 ZNF302 ZNF891 ZNF677 ZNF415 ZNF100 ZNF596 ZNF324B IFNLR1 ZNF550 CISH EIF2AK3 ZNF611 ZNF571 ZNF624 ZNF484 ZNF559 ZNF81 ZNF845 ZNF584 FHL1 ZNF510 ZNF552 IL6ST ZNF548 ZNF253 ZFP28 PPP2R2A ZNF768 ZNF630 
STAT3,162,MUC1 MAPK14 POU2F2 S100A8 PRKCI B3GAT3 IL10RB MECP2 PANX1 REG1A RASAL3 FAP P2RY11 IRF6 MBNL1 LBP LEPR KRBA2 TPK1 TRAF3IP2 TRIM25 VRK3 CASP4 BRD8 CDC7 CD46 ADTRP DICER1 DUSP22 CYP19A1 SEMA4B SERPINB3 SBNO2 SCYL3 SDR16C5 LTB4R2 ASPH PLCG2 LRG1 TNFRSF17 IL15RA ARNTL2 KLF9 BRCA1 NOS2 MIA2 HSH2D PRF1 PRKAG2 ETV6 APP TIMP3 CDH3 GAB3 BCL2L1 NDRG1 MYNN SIGIRR HDAC1 RUNX3 S100A9 TBX21 LCK EIF2AK2 SPIDR SFR1 FAM83A PARP9 LMO4 FANK1 HSPD1 STAP2 VIP JAK1 CCL2 SOCS7 CXCL2 CCT5 CLTC IL10RA PDGFRA PLSCR1 BIRC3 SPIB CTCF PIM2 PRKD2 EBI3 TNFSF11 PRKAA1 RASAL2 CCL22 FN1 BHLHE40 TNIP3 FUT3 TYK2 PDE6A CORO1A CHEK2 PRKAG1 CCND1 NFATC1 TH A2M IL22RA1 IGFALS PRKD3 SOCS1 AGR2 TNIP1 FGR DEAF1 NFIL3 LIPG TP53 MAPK8 SOD2 VEGFA ZC4H2 CYP1B1 PTK6 AGTPBP1 CSF2RA CCT2 RAC1 ZNF595 PIK3R1 IL12RB1 IRF9 FAS NAMPT FAM83B NF1 SHC3 SOCS3 SOCS6 MYC ITGAX CCT8 IL4I1 ERBB4 PLCG1 BTG1 APBB1IP SYK PDGFRB OLR1 SUB1 VEGFB IRF2 CCT6A IL13 IL6R MAP2K1 DUSP1 IL12B PRMT1 FNBP1 NFKBIA C1QTNF1 MITF 
SIX5,161,SOD2 TFAP4 HEXIM1 POLRMT PLEKHA4 ATXN7L2 NME4 FBXL19 GEMIN6 UBXN4 MXI1 CTCF STX4 FUZ MAX RBL2 WDR89 PRKD2 WDR74 DPAGT1 SLC39A13 CC2D1A ZNF131 AHDC1 TMEM69 RCC1 CIAO1 PPP1R12C C2CD2L THAP4 MAP3K10 ZNF354A LYPD5 ZNF580 RPL41 PSMD10 IRF2 KRT7 USP39 FBXW7 LIPC NFYC PEX12 IGHV7-81 DCAKD RPL6 ZNF224 RP11-82L18.2 CCT8 CCND1 KCNMA1 ANKRD54 CNPY4 CSDE1 MDM4 STX1A RP11-399B17.1 IRF2BP1 ANXA4 AAMP KHK DYRK4 GNPNAT1 SYDE1 DNMT1 SALL2 FJX1 ZNF276 ERLIN2 MNT AAK1 UBC SEC22C RP11-312J18.5 KMT2D IPO11 ZNF837 ARL8A NDUFA4 RP11-4K3__A.3 CTD-2350C19.2 PPFIA3 NFE2L2 MIR22HG CMPK1 COPS7B ZNF140 FAM131A HMBOX1 HIRA ENY2 PHB NR6A1 PHF12 NFXL1 PPP1R13L MAMSTR LILRB1 CALCOCO1 BTRC BRCA1 CDK5 EGLN2 TFEB TMUB1 GPR137 TLE4 FADS1 ASXL2 PHKA2 THAP2 LINC01134 SH2B1 TRIP10 RSPH1 CRTC2 SIRT2 WBP2 ZNF227 ZNF226 ZNF223 ZNF169 ZNF133 THAP11 TBX5 STAT5A SMARCAL1 ZNF230 ZNF235 ZSCAN22 ZNF569 ZNF420 ZNF37A ZNF354B ZNF689 ZNF749 DYNC1I2 PPRC1 ZNF112 ZNF565 MACC1 UNC45B ZNF343 PHF23 RUNX3 ZNF155 PRAME MED27 GRHL3 ZNF74 ZNF337 ZNF436 ENTPD1 PTCD3 ING4 ZNF444 ZNF189 TBX6 ZNF605 AKIRIN2 ZNF331 
