Gene,Number of connections,Connected genes
STK25,227,STAC AOX1 ETNK2 LINC00857 ARHGEF38 RP11-284F21.11 GRAMD1A RP11-510J16.5 RNASEL MRVI1 C17orf70 SH3BGR RP11-872J21.3 RP11-66N24.4 CTD-2089N3.1 TP53INP2 ATP1A4 CYTH2 RP11-154H23.3 TPX2 RP11-17E13.2 EDRF1 CTHRC1 RP11-223I10.1 ZNF707 FHL5 RP1-267L14.6 NTRK1 TSPYL2 ALDH18A1 HAUS2 UCKL1 BEGAIN CTD-2194D22.3 MGAT3 RBMS2P1 RECQL RP11-496H1.1 H2AFX KRT6A RFX3 PPP2R3B TNIK THPO RP11-260M2.1 DVL2 LINC00282 CTB-152G17.6 VN1R1 SLC25A38 FOXN3-AS1 NT5C1B MPP4 MTERF2 EMB FOXJ1 RFTN2 SUSD4 NPFFR1 CTD-2015H6.3 SDR16C5 KIAA0556 PSPN RAD51 CFTR AP001062.7 CHI3L1 RP5-965G21.3 MARCH11 B3GNT6 RP11-390K5.6 FAM200A RP11-356B19.11 AC137723.1 CRHR2 POLR2M POFUT2 NCKAP1L RP11-312B8.1 RP11-344P13.6 FYTTD1 BRWD1-AS2 RASSF10 POP1 DNPEP ATP5J2 SLC7A9 ANKRD18CP PICK1 C1orf189 ZNF227 TMPOP2 USP32P3 CALU PABPC5 RPL35 MLK4 HNRNPLL CCDC149 ODF2L OBFC1 TNRC6C-AS1 AC000403.4 SRD5A3 ANKRD28 AMER1 TBC1D20 CPEB2 GCSAM FBXO16 RCAN3 GNRH1 RP5-1136G13.2 AC024560.2 ALOXE3 LMOD2 PCCA C3orf38 EHBP1 MTOR GGT5 HCG15 RP11-85A1.3 DTX3 GIMAP7 ANLN SLC39A6 TLL2 GSPT1 CD33 DNAI1 AFF3 MTMR12 CYP1B1-AS1 STX18-AS1 CHMP2A USP14 DALRD3 STARD7 DHX15 SMOC2 PTK2B ATG101 TUBBP1 EIF2A TOLLIP-AS1 SEZ6 SPCS2 ATP6V1D RP11-755B10.4 SDCBP RP11-350N15.4 GLTSCR1L PTH2R ENO3 BRD4 RP11-616M22.5 CTD-2336O2.1 ARRDC4 RP11-400F19.18 ZNF358 MOGAT2 ZNF28 DNAH6 RP11-53B2.6 WDR78 CDR2 CCAR1 RP11-472N13.3 IDH2 PFDN1 CYP4F60P MILR1 PMF1 ENTPD7 ELP2 RP11-923I11.6 RP11-21L23.3 FAM3D RPS15AP17 IGKV6-21 SLC35G5 CR1L GTPBP1 CTD-2246P4.1 ADPGK-AS1 ERMN RUFY4 ZSCAN12 RP11-402J6.3 CHRM4 LINC01361 CDIPT-AS1 RP11-755E23.2 RP11-373N22.3 PRAM1 SEPT11 RP11-314C16.1 CD97 RP11-9L18.2 CTD-2619J13.3 RP11-275I14.4 NQO2 GFM2 RADIL SMO NTNG1 ZNF800 SOGA1 ZFYVE9 RP11-390E23.6 PRDM4 HAPLN3 CNNM4 C1orf52 TESK2 TUBGCP5 PGC TCIRG1 TBPL1 DEF6 CCDC85C EDC4 PDE4DIP BACH1 DIDO1 GPBP1L1 
TESC,214,MBNL1-AS1 SLC24A3 ANK2 ZNF663P ASXL3 TWIST2 PTGES3P2 FOXO1 NTN1 SLCO4C1 FAM196A IDUA NCLN P4HB RAB11FIP3 CD248 ELP3 AL365181.2 WDFY2 AC010226.4 RP11-399K21.13 TK1 COL4A5 CEP131 PRSS16 CYP27B1 GRIK5 KPNA5 BNIP3P27 FAM66D GSTM1 AC109309.4 PFKP LRRC43 PTS TUBB2A MYO9A SYT14 NFE2L1 SSU72 AC093642.1 FAM189A1 HPR TXNIP HIST1H3B SLC12A5 RP11-326C3.11 CCDC13 CSTF3 P2RX6P RP11-554A11.4 FAM204A RPL23AP82 BTNL2 ZNRF2P1 C5orf17 HNRNPCP2 FLVCR1 MT1X CELF5 AC141928.1 ASB9P1 RP11-514O12.4 RP11-66N24.6 RP13-270P17.1 STX16 ASS1 MRPS26 RP11-399J13.2 A4GALT HECTD4 LA16c-316G12.2 RP4-710M16.2 CTC-490E21.11 AC005154.7 AC015849.2 UNC45B C14orf2 TRABD2B CNTNAP1 RASAL1 PAK1IP1 RP11-227G15.11 SLC16A6 AKAP2 RORC WDR63 APOC2 RP6-74O6.2 RP11-347C18.3 NUDT16 CMSS1 RP11-687F6.5 RP11-111M22.3 SPARC ADPRH CXCL5 CTD-2192J16.21 AC114730.3 EXOC5 LDLRAP1 ALG1L2 ORM2 RAB32 SLC38A11 RP11-235E17.6 KDM3B RCC2P6 TNFSF15 BOD1L1 MT-TY AGBL2 BTBD9 RP11-12J10.4 COQ7 RP11-110I1.5 CD300LF HCN3 OXCT2 TAS2R64P NDUFAF4P3 MYO18A ZHX1 AC068282.3 WDR17 SLC2A14 AP000640.10 GPR174 WFDC21P TP53TG1 C6orf118 RPS3P6 HERC1 MIR27B AD001527.7 AVPR2 LRP10 NUP37 ZNF487 TNFSF4 ZNF141 ABCD1 RP11-430K21.2 GPR82 CTD-2035E11.3 FAM19A4 HOXC11 CTD-2574D22.2 AGT GMPR2 HELLS RP11-350D17.3 HELB BTK TLE1P1 LINC01556 RP11-215P8.3 RP11-162A12.2 CHRND RP11-130C6.1 KRTAP5-10 KRT8P42 ENAM RNU6-415P AC022819.3 CAMTA2 BTBD7P1 RP11-699L21.1 DPP4 BRCA2 HMGB1P41 RP11-473M20.9 UTP15 HLA-DPB2 RP11-33B1.2 C9orf89 RP11-274B21.13 IGKV3-15 IGKV1OR2-108 CTD-2014D20.1 RP11-38L15.8 PHF2 RP11-96H17.3 RP11-552F3.12 CD70 SKAP1 AC092670.1 CST6 RP11-730G20.1 ARF3 STIM1 SPAG8 IPPK DYNLL1-AS1 ZNF568 RALBP1 METTL22 CPT1A FAM195B SWT1 RP11-95D17.1 CMKLR1 MVD SLC30A9 CASP2 WBP5 RRP15 KIAA1324 NOL3 TMEM68 BOD1 IWS1 BCL2L13 EIF3A 
NFE2L2,197,SOX15 SERPINB5 PHF19 C9orf163 CDKL1 TMEM169 GTSE1 ELAVL3 FAT4 VILL ANXA4 RPS2P32 SYDE1 MIR31HG SHMT2 NBPF8 BMPR1A PHLDA1 RP4-616B8.4 PPP4R1L CA3 MAPK14 ITM2A WDR4 RP11-867G23.3 B3GNT5 RP11-277B15.3 AC092066.1 TUFM MYOT KIAA0513 EDRF1-AS1 RP11-1334A24.5 ACRBP LINC00997 AC090945.1 RPS29 CCT8 NMI ABCC6 PTGDR RP11-136C24.3 CBX6 AAMP UQCRH TFB2M ZNF276 ANKFN1 AC080094.1 CTD-2350C19.2 LGR5 RP11-212I21.2 TRAF3IP1 POLDIP2 RP11-95O2.5 SC22CB-109E1.1 AC124789.1 AC019100.3 SEPHS2 ZNF736 MALL PPM1N LINC00937 LIPC SEMA6A-AS1 GNPNAT1 C9orf47 RP11-466A19.1 KCNQ1OT1 DNAAF1 TMEM150C RP5-907C10.3 UCP3 RP11-373D23.3 GDE1 SCARNA9 C8orf44 SYT17 FAM127A SEH1L GMPPB PMM1 ATF7IP RP11-837J7.4 TMEM178B PPP4R1-AS1 RASEF OR4K12P LA16c-325D7.1 SEC22C TPTE2P1 MDM4 RP11-288E14.2 RP11-114F3.4 LDLRAD3 BEX2 NSMCE2 PSRC1 EIF3D ABCB10 RP11-517H2.6 RP11-312J18.5 IGHV7-81 PLCB3 ATP1A1-AS1 ERN1 ANKRD54 RP11-694I15.7 RPS7P1 GOLPH3L TCEANC GRAMD3 RPL12P4 RP11-262H14.11 AC016700.6 CHTF8 TMEM191B SCML2P2 TTC17 RP11-680F8.3 RP11-416N2.4 RP11-374P20.4 ARL6IP4 RP11-4K3__A.3 ARL8A ERLIN2 RP11-106M3.3 HCAR1 RTN4RL1 CYCSP10 DCAKD WT1 CDRT15P1 GPR56 PEX12 POMK TAPT1-AS1 UBAP2L RBM17 RP11-82L18.2 OAS2 RP11-388M20.1 IGHV5-51 STAB2 CTD-2083E4.5 KHK MEF2BNB RP11-439A17.9 GCGR RP4-742J24.2 CCDC30 NDUFA4 BTBD19 HOXA2 FAM131A NAMPT SQRDL RP11-685N10.1 FJX1 RP4-612B15.2 NPY2R AC108488.4 IFI44L TTC8 UNK EXOC8 PRADC1P1 TRI-TAT2-2 RP11-73M7.6 ZNF639 LINC00998 MAPK1IP1L CTD-2651B20.3 HAUS1P2 XXbac-B444P24.10 C1orf162 AF131215.9 DYRK4 MST1L PBX4 ZNF137P LRRFIP1P1 DCTN2 SALL2 PPP2R2C CUBN HLA-G VRK1 DOK2 GCSAML KNTC1 ARMCX5 C1orf27 CCDC66 MRPS23 OAF ACTR1B 
IGKV1OR2-108,192,GNAL AP001046.5 NUDT17 AC009299.5 KRT40 B4GALT3 SLCO4C1 DPYS CHRNA7 TMPRSS11A RHCG AF001548.6 RAB11FIP3 IGDCC4 SP6 IRF7 GAB1 NLRP1 AC010226.4 RP11-399K21.13 PRSS16 DNAJB11 CYP27B1 SCN3B RP11-780O24.2 KCNH1 CTC-461F20.1 RIC1 ALCAM RP11-383C5.5 TUBB2A MYO9A FRMD3 CYP4F12 FAM46A PFN4 AC093642.1 YWHAZP5 TUBB3 SLC12A5 RP11-583F2.1 CCDC13 FAM155A RP11-554A11.4 FAM204A LLNLR-285B5.1 LRRC8A ENTPD1 SH3D19 TDGF1 MRPS10 RP5-892K4.1 FGL1 MIR3653 PRKRA LA16c-316G12.2 CTC-490E21.11 PPP3R2 ARNTL UNC45B NAALADL2-AS2 RNF14 GABRE MMP2 AC024995.1 MRPS35 RASAL1 WHAMMP2 WDR63 UBE2FP1 HMOX2 RP11-192C21.1 AC011525.2 STXBP5 ZFP41 CTD-2650P22.1 CXCL5 PPRC1 EXOC5 KCNJ2-AS1 FUT4 ALMS1 LDLRAP1 NDUFB3 RIMKLBP2 RP11-290H9.4 MYLPF RP5-827C21.4 GLIPR1L1 TSPEAR SH3BGRL3 AF186192.6 HSDL2 AC016700.5 RP11-401L13.4 TBC1D4 CTB-13F3.1 CLEC11A LYPD1 ZNF540 SIGLEC17P EFNA1 NACAP1 MYO18A IFT172 RP11-463J17.2 ZHX1 KCNJ2 RP11-165H4.2 RP11-82K18.2 RP11-50D9.1 MMAA ZNF260 FAM43B SRBD1 EEF1GP5 TWF1 RP11-131L12.3 ABCD1 FAM19A4 SOCS5P4 CTD-2574D22.2 RP11-79H23.3 UBL7 AC053503.4 RNF103 BTK RP11-93B14.9 NUDT4 SMIM13 TFCP2 RP6-24A23.7 BDP1 CHRND HDHD3 IGKV5-2 SLC30A6 ENAM RNU6-415P CXCR4 RP11-757O6.6 KLHL8 ASB9 DHRS9 GTSE1-AS1 CTC-325H20.2 RP11-699L21.1 TMEM31 RP11-169D4.2 IGLV3-25 BTLA RPL5P4 BRCA2 ARAP1-AS2 LOC401913 FLJ43681 UTP15 CRYBB1 IGKV3-15 CTD-2014D20.1 FBXL14 IGHV3-74 RP11-927P21.1 IGSF22 KIAA0125 PTCD1 OSMR-AS1 TPSD1 BCAP31 TSPAN12 ARF3 PEX5L DNAH10OS CD5 RALBP1 CCDC71L CPT1A XXYLT1 CMKLR1 NEK11 INVS GALK1 METTL13 TESC KIAA1324 TRAPPC2L PSEN2 TMED10 RPAP1 FAM208B CMTR1 BCL2L13 
DCAKD,191,TMEM237 JPH4 L3MBTL4 SOX15 RHBDL3 SERPINB5 PHF19 RCC1 NR3C1 ABCG2 NFE2L2 ELAVL3 FAT4 RP11-66N24.3 RPS2P32 SYDE1 SHMT2 ATP13A2 TXN RP4-616B8.4 LINC01082 AC092171.2 TSPAN7 CCDC57 FN3K ZNF652 DLG3-AS1 B3GAT3 LUZP1 RP11-459I19.1 DUSP15 TUFM SLC23A3 RBM6 SLC46A3 SLC35F1 AC090945.1 LYPD5 CCT8 TRAF6 DMBX1 TMEM259 APTX ZNF213-AS1 ZNF562 STK11 RP4-758J18.7 AAMP TFB2M ANKFN1 AC080094.1 STAG3L5P-PVRIG2P-PILRB CTD-2350C19.2 AC016292.3 ECM2 MTFR2 POLDIP2 SC22CB-109E1.1 KLHL3 GOLGA7 AC124789.1 AC019100.3 CLASP1 SEPHS2 MALL LIPC SEMA6A-AS1 COMTD1 GNPNAT1 MATN4 DNAAF1 RP5-907C10.3 USP42 RP11-810P12.7 SCARNA9 TAS2R20 C8orf44 SYT17 THUMPD2 GIT1 GMPPB RWDD2A RP11-837J7.4 SLC47A2 TIGD5 PPP4R1-AS1 RTN1 MXRA5 CACNG8 SRP54 GPR64 SEC22C LAMB2 KDM4E ZNF19 RP11-7F17.1 MDM4 RP11-288E14.2 PABPC3 NSMCE2 ABCB10 SEZ6L ATG2A IGHV7-81 CTXN1 PLCB3 SLC35F6 RP5-882O7.1 ANKRD54 RP11-694I15.7 RP11-1260E13.4 NME2P1 TCEANC ILKAP GNG5 RPL12P4 LYRM4 RP11-262H14.11 GPR143 TTLL10 WI2-87327B8.2 SHD BAI1 IGHV1OR15-2 ARL6IP4 RP11-4K3__A.3 ARL8A HCAR1 CTH PCDHA8 RTN4RL1 LOX ATP9A PEX12 FAM171B ARMCX7P RP11-399B17.1 HINT3 ZNF175 RP11-82L18.2 OAS2 NASP CPSF2 RP11-390P24.1 KHK GCGR ATF4P4 RP4-742J24.2 AC091729.9 NDUFA4 FAM131A MIER3 RP1-127D3.4 LINC01105 MT1DP SQRDL FJX1 ROS1 RP11-324E6.10 CTC-487M23.8 AC108488.4 IFI44L AC100830.3 CCL4L1 RP11-697E2.9 CALM2P2 TRI-TAT2-2 NDUFA11 LINC00998 LINC00426 C1orf162 DYRK4 ZNF137P YY2 C1orf226 LRRFIP1P1 DCTN2 SALL2 RP11-455F5.3 C8orf37 DERL2 USP6NL LPIN2 C1orf27 USF1 GARNL3 SAP130 MRPS23 SLC11A2 HRSP12 ZNF609 
STAC,187,AOX1 ETNK2 NRG2 LINC00857 NLGN3 ARHGEF38 GRAMD1A RP11-510J16.5 RNASEL MRVI1 C17orf70 AC010148.1 RP11-872J21.3 RP11-66N24.4 CTD-2089N3.1 TP53INP2 ATP1A4 CYTH2 RP11-154H23.3 TPX2 DYRK1B CCT3 RP11-17E13.2 EDRF1 ZNF707 RP1-267L14.6 NTRK1 TSPYL2 ALDH18A1 UCKL1 BEGAIN CTD-2194D22.3 CMB9-22P13.1 MGAT3 S100A12 RBMS2P1 RECQL H2AFX KRT6A TNIK TFAP2A-AS1 RP11-260M2.1 DVL2 LINC00282 CTB-152G17.6 GPC1 VN1R1 PTPRD-AS1 FOXN3-AS1 MPP4 MTERF2 EMB FOXJ1 SUSD4 NPFFR1 CTD-2015H6.3 SDR16C5 PSPN CFTR STK25 CHI3L1 RP5-965G21.3 RP11-390K5.6 FAM200A RP11-356B19.11 AC137723.1 CRHR2 AC011330.13 GSR ACSL6 NCKAP1L RP11-312B8.1 RP11-344P13.6 BRWD1-AS2 RASSF10 POP1 DNPEP ATP5J2 ANKRD18CP PICK1 TMPOP2 CALU MLK4 HNRNPLL ODF2L SRD5A3 ANKRD28 AMER1 TBC1D20 FBXO16 RCAN3 RP5-1136G13.2 AC024560.2 ALOXE3 LMOD2 PCCA EHBP1 CRYBB3 MTOR MRPL45 HCG15 RP11-85A1.3 DTX3 GIMAP7 ANLN SLC39A6 TLL2 MAPKAP1 CD33 DNAI1 AFF3 STX18-AS1 CHMP2A USP14 FCGR2C DALRD3 STARD7 DHX15 SMOC2 PTK2B ATG101 TUBBP1 EIF2A TOLLIP-AS1 SEZ6 SPCS2 PRPF40A SLC29A1 SDCBP RP11-350N15.4 GLTSCR1L MT-ND1 PTH2R BRD4 RP11-616M22.5 ARRDC4 RP11-400F19.18 ZNF358 MOGAT2 ZNF28 DNAH6 RP11-53B2.6 WDR78 CDR2 CCAR1 RP11-472N13.3 IDH2 PFDN1 RP11-1081M5.3 ENTPD7 ELP2 RPS15AP17 IGKV6-21 XXbac-BPG13B8.10 SLC35G5 ERMN RUFY4 CDIPT-AS1 RP11-755E23.2 RP11-373N22.3 PRAM1 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 RP11-275I14.4 NQO2 DENND3 RADIL SMO NTNG1 ZNF800 LAMP1 SOGA1 ZFYVE9 RP11-390E23.6 PRDM4 HAPLN3 CNNM4 TESK2 TUBGCP5 TCIRG1 TBPL1 DEF6 CCDC85C BACH1 GPBP1L1 
CD97,186,STAC AOX1 ETNK2 NLGN3 ARHGEF38 RP11-284F21.11 APOBEC3G GRAMD1A RP11-510J16.5 HID1 RNASEL BEX1 AC010148.1 RP11-872J21.3 RP11-66N24.4 CTD-2089N3.1 TP53INP2 ATP1A4 BCHE CYTH2 RP11-154H23.3 TANGO6 DYRK1B TMEM139 RP11-17E13.2 EDRF1 CFD ZNF707 NTRK1 UOX ALDH18A1 BEGAIN CTD-2194D22.3 CMB9-22P13.1 MGAT3 S100A12 RBMS2P1 UBOX5-AS1 MTHFR RECQL BAIAP2L2 RP11-496H1.1 H2AFX KRT6A TNIK ADAMTS15 THPO SOX2-OT RP11-260M2.1 DVL2 ARPC3 GPC1 VN1R1 RPL7AP60 NT5C1B MPP4 LINC00907 MTERF2 EMB FOXJ1 RFTN2 SUSD4 RP11-173M11.2 NPFFR1 CTD-2015H6.3 SDR16C5 PABPC1L2B-AS1 PSPN RAD51 CFTR SLC16A13 STK25 LINC00989 MARCH11 MECR ACYP1 USP37 FAM200A RP11-356B19.11 AC137723.1 CRHR2 AC011330.13 LINC01037 GSR ACSL6 NCKAP1L RP11-312B8.1 FYTTD1 BRWD1-AS2 ATP5J2 PICK1 ZNF227 CTD-2562J17.6 RPL35 HNRNPLL MFGE8 U2AF1 ODF2L EXOC3L1 SRD5A3 USB1 ANKRD28 AMER1 TBC1D20 CPEB2 RCAN3 GNRH1 AC024560.2 LMOD2 AL589822.1 UBTD1 MRPL45 SETD9 DTX3 ANLN SLC39A6 TLL2 DPP6 AC012360.4 NOSTRIN CD33 STX18-AS1 CHMP2A USP14 DALRD3 DHX15 SMOC2 PTK2B ATG101 EIF2A TOLLIP-AS1 SPCS2 PRPF40A SLC29A1 SDCBP GPR171 GLTSCR1L CSMD2 MT-ND1 PTH2R CTD-2369P2.8 RP11-400F19.18 ZNF358 MOGAT2 ZNF28 CDR2 RP11-118H4.1 RASA2 RP11-472N13.3 GUSBP9 PFDN1 RP11-21L23.3 FAM3D MRPL11 CCDC53 SLC35G5 RP11-474D1.4 RP5-1165K10.2 RP11-402J6.3 LPPR3 RP11-563H6.1 TREM1 RP11-373N22.3 SEPT11 CTD-2619J13.3 GFM2 STARD3 RADIL SMO C15orf40 NTNG1 C4orf27 ZNF800 RP11-390E23.6 HAPLN3 BRMS1 ARFGAP2 TESK2 ITPR2 TUBGCP5 PGC DEF6 CCDC85C EDC4 ABHD14B BACH1 
TASP1,185,RP11-629G13.1 LINC00087 PLBD1 C1orf106 GPM6A ASXL3 TWIST2 TACR2 TPRN SYTL4 KLHL14 DOCK3 RP11-420K14.2 TP53AIP1 SLIT3 P4HB CD248 RP11-497E19.1 ANKRD40 XXbac-B135H6.15 SUPT3H AKR1A1 ZNF676 GSDMA WDFY2 CTB-89H12.4 SGSM3 AP001412.1 OSR1 RAB23 RPS15 RP11-91I8.3 DAPK1 CTD-2311B13.1 AC083843.4 RP11-313J2.1 EIF3I MIR7111 RP6-109B7.5 CARD6 C14orf28 AC009506.1 HPR RP1-317E23.3 NADSYN1 RPL13A XPO5 RP11-2B6.3 DNM1L HNRNPCP2 KDR RP11-495P10.1 GRPEL1 RP11-31H5.3 STX16 ANKRD34B GSTZ1 MED28P3 CTD-2639E6.9 MARS2 FN3KRP KDELR1 KB-1572G7.3 HDAC9 CEBPB TRABD2B RP4-635E18.8 RP11-227G15.11 RORC CTD-2536I1.2 APOC2 NOVA1 NGLY1 AD000092.3 LINC01354 CYP24A1 CTD-2035E11.5 RP11-687F6.5 SPARC RP11-712B9.2 ADPRH CTD-2192J16.21 RP11-435J9.2 ZNF404 EFR3B DCAF4 ZBED2 RP11-326I11.5 NME7 NR4A1 C3orf67 RP11-439M11.1 YPEL2 CTD-2008E3.1 DMXL2 TSPAN3 RP11-12J10.4 CCDC17 INSL3 FLI1 CDC20B HCN3 SLC10A6 VPS41 PRPF31 RP11-130L8.2 SLC25A26 BNIP3 RP11-133L19.3 TEX41 IFITM3 AP000640.10 RP11-687E1.2 ZNF20 ZNF354C TP53TG1 ASF1A MCTP1 RP11-603B24.2 DGCR6 FLOT2 SEMA4A RPL13AP3 HERC2P10 ZFP2 DHFRP1 TOMM22 LINC00571 RNF19B MTRNR2L10 AGT SLC22A18 GP1BA RP11-423H2.3 SNAI3 RP11-350D17.3 KLRC4-KLRK1 C5orf46 ATXN3 SNRK-AS1 USP19 CH17-302M23.1 FAM173B CAMTA2 RP11-83N9.6 RP11-554D14.8 UXT-AS1 GOLGA4 RP11-220C2.1 RP11-274B21.13 TMEM251 NEK6 RP11-102L12.2 RP11-127L20.3 CRYM-AS1 BRD3 STAT4 S100A1 PAIP2 RP11-452L6.7 AC092670.1 RP11-46J23.1 TATDN2P2 TMEM98 RPL3P7 CRMP1 SLC41A3 CDHR3 ZNF568 CXCL16 MVD RAB11FIP5 LLPH XPA SLC25A32 PSMD14 CCM2 TMEM68 UNC119 CUX2 NUP155 TRIO RMND5A VMA21 TNFAIP1 
FAM131A,181,TMEM246 CLIP4 CDKL1 PPP2R2B NTRK3 ANKRD53 LINC01187 B3GALT6 TRGC1 NFE2L2 ELAVL3 RPS2P32 PVT1 OXSM RP4-639F20.1 CCDC40 SHMT2 FBRSL1 HMG20A BMPR1A FOLH1 DCAF13 PARK2 NUTM2F RGS12 CECR1 LINC01082 MAPK14 AC092171.2 FN3K SVOP STK35 WDR4 ZNF652 VGLL1 B3GNT5 ZNF837 RP11-277B15.3 MYOZ1 DUSP15 RPS10L TUFM MYOT EDRF1-AS1 SLC46A3 NODAL TRAF6 STK11 PIWIL2 AAMP ZNF276 PIANP CTC-232P5.1 AC080094.1 CTD-2350C19.2 AC006116.17 AC016292.3 TRAF3IP1 RP11-126K1.2 EPHA4 POLDIP2 RP11-95O2.5 SLC25A13 ARHGAP5 SEPHS2 CTD-2013N24.2 LINC00937 LIPC GNPNAT1 TIMM9 TPSG1 MATN4 GS1-166A23.2 SCARNA9 TAS2R20 C8orf44 THUMPD2 GIT1 RP11-680G24.5 REEP6 CISD1 ZNF124 CTD-2292P10.4 TMEM178B CTB-176F20.3 RP11-27I1.6 ADRB2 PPP4R1-AS1 MXRA5 CDO1 SRP54 SEC22C SNX18 LAMB2 ZNF19 RP1-286D6.5 NEK8 PCDHB16 RP11-288E14.2 RPS19BP1 RP11-1220K2.2 PHC3 RP11-517H2.6 RP11-312J18.5 IGHV7-81 METTL16 PLCB3 RP11-505P4.6 ATP1A1-AS1 RP5-882O7.1 ANKRD54 RP11-694I15.7 AC000068.5 AC008746.5 GOLPH3L BZW1 ILKAP GNG5 RPL12P4 LRRC3 GTF3A TTC17 RP11-416N2.4 ARL6IP4 RP11-4K3__A.3 ARL8A HCAR1 DCAKD CSRP2BP WT1 ATP9A MEST CDRT15P1 GPR56 PEX12 UMODL1 RP11-399B17.1 RP11-395I14.2 RP11-82L18.2 C5orf66 WDR38 NASP RN7SKP70 CPSF2 TRADD CTD-2083E4.5 KHK RP11-439A17.9 TMSB4XP8 RP4-742J24.2 NDUFA4 RP13-33H18.1 FUNDC1 HOXA2 RP11-98J23.2 LINC01105 SQRDL FJX1 RP11-166P13.3 RP11-73M18.6 PGCP1 RP11-1017G21.4 TRI-TAT2-2 AC018804.6 RP11-1060J15.4 XXbac-B444P24.10 DYRK4 HOXA3 RAB18 PBX4 ZNF137P C1orf226 SALL2 HLA-G LRRC37A2 DOK2 AIF1 USP6NL FBXO38 PRPF4 MED15 
PTK2B,179,STAC ETNK2 LINC00857 NLGN3 ARHGEF38 APOBEC3G GRAMD1A RNASEL C17orf70 CTD-2089N3.1 TP53INP2 ATP1A4 BCHE RP11-154H23.3 TPX2 TANGO6 RP11-17E13.2 RP11-223I10.1 ZNF707 FHL5 NTRK1 UOX UCKL1 BEGAIN SDC3 MGAT3 S100A12 RBMS2P1 FAM98C MTHFR RECQL BAIAP2L2 RP11-496H1.1 H2AFX RFX3 PPP2R3B ADAMTS15 THPO SOX2-OT RP11-260M2.1 DVL2 RP1-266L20.2 IL4R VN1R1 SLC25A38 CH17-360D5.3 FOXN3-AS1 NT5C1B MPP4 MTERF2 EMB RFTN2 SUSD4 NPFFR1 CTD-2015H6.3 SDR16C5 GNG3 PSPN CFTR SLC16A13 AP000254.8 STK25 MARCH11 RP11-356B19.11 AC137723.1 CRHR2 LINC01037 POFUT2 NCKAP1L RP11-312B8.1 RP11-344P13.6 FYTTD1 BRWD1-AS2 RASSF10 ATP5J2 SLC7A9 PICK1 ZNF227 TMPOP2 USP32P3 CHRNA10 RPL35 HNRNPLL CCDC149 A1CF PPP1R14D DOCK11 LATS2 Z69720.3 TNRC6C-AS1 AC000403.4 SRD5A3 AMER1 FBXO16 RNF222 PCCA C3orf38 MTOR MRPL45 GGT5 ANLN SLC39A6 TLL2 AC004623.3 GSPT1 CD33 MTMR12 CYP1B1-AS1 STX18-AS1 CHMP2A DALRD3 ATG101 EIF2A TOLLIP-AS1 SPCS2 ATP6V1D PRPF40A SDCBP GLTSCR1L PTH2R SERBP1P1 RP11-616M22.5 CTD-2336O2.1 RP11-400F19.18 ZNF358 MOGAT2 ZNF28 RP11-53B2.6 CDR2 CCAR1 RP11-118H4.1 RP11-472N13.3 PFDN1 CYP4F60P PMF1 ELP2 RP11-923I11.6 RP11-21L23.3 FAM3D AC010980.2 IGKV6-21 SLC35G5 CR1L GTPBP1 CTD-2246P4.1 ERMN ZSCAN12 RP11-402J6.3 CHRM4 LINC01361 RP4-669P10.20 RP11-563H6.1 RP11-373N22.3 PRAM1 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 RP11-275I14.4 GFM2 RADIL C15orf40 RPS3AP6 NTNG1 SOGA1 ZFYVE9 HAPLN3 CLCC1 CNNM4 C1orf52 TESK2 TUBGCP5 OSER1 TBPL1 CCDC85C EDC4 PDE4DIP BACH1 DIDO1 
