Gene	alpha_0.2_corrected	alpha_0.2_corrected_aggr	alpha_0.2_corrected_non_aggr	alpha_0.5_corrected	alpha_0.5_corrected_aggr	alpha_0.5_corrected_non_aggr	alpha_0.65_corrected	alpha_0.65_corrected_aggr	alpha_0.65_corrected_non_aggr	alpha_0.8_corrected	alpha_0.8_corrected_aggr	alpha_0.8_corrected_non_aggr	alpha_0.9_corrected	alpha_0.9_corrected_aggr	alpha_0.9_corrected_non_aggr	alpha_0_corrected	alpha_0_corrected_aggr	alpha_0_corrected_non_aggr	alpha_1_corrected	alpha_1_corrected_aggr	alpha_1_corrected_non_aggr	network8_alpha_0.65_corrected	network8_alpha_0.65_corrected_aggr	network8_alpha_0.65_corrected_non_aggr	network8_alpha_0_corrected	network8_alpha_0_corrected_aggr	network8_alpha_0_corrected_non_aggr	network8_alpha_1_corrected	network8_alpha_1_corrected_aggr	network8_alpha_1_corrected_non_aggr
APC	828	False	626	705	2321	599	446	1336	849	1941	1941	614	233	1991	629	744	False	609	830	2035	709	2211	1802	892	495	False	426	931	2346	797
AR	1315	466	770	611	350	242	59	310	58	49	49	39	840	48	37	2196	False	1509	40	49	38	45	57	56	2338	False	1560	58	60	64
ATM	232	369	317	74	611	71	95	542	74	122	122	104	1232	109	119	245	316	326	172	99	123	129	811	101	227	False	282	236	145	179
BRCA1	2327	654	1857	1192	517	725	390	764	73	113	113	56	575	107	51	2240	False	False	62	92	51	746	571	149	2317	False	False	166	247	136
BRCA2	2493	False	1619	1391	5432	1037	619	2886	440	3018	3018	548	1375	2964	510	2102	False	1418	587	2940	535	701	3213	457	1802	False	1033	705	3283	622
CHD1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	4916	5325	5798	False	False	False	5584	1412	3693
ERF	4247	False	3118	6252	False	5679	9263	7867	8918	8987	8987	9258	6211	8953	9309	False	False	False	9569	8950	9353	8505	6900	8130	False	False	False	9248	7637	8794
ERG	False	False	False	False	False	False	9952	8859	9758	9216	9216	9769	6912	9214	9787	False	False	False	9884	9219	9760	3582	4412	3507	False	False	False	3807	3260	4091
ETS2	2417	814	2195	2983	1243	2116	1700	2611	2472	2474	2474	3197	3840	2521	3244	False	False	False	1510	2530	3211	1209	2373	2888	False	False	False	1539	2583	4277
ETVs	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
EZH2	2446	701	1747	2341	653	1900	1336	1157	1438	730	730	1627	2692	365	745	False	False	False	592	216	645	2652	1429	2601	False	False	False	2383	1972	3080
FOXA1	9	5	6	10	4	9	33	26	34	38	38	51	1168	41	55	11	4	11	49	46	57	49	28	77	10	4	9	104	83	155
IDH1	1273	False	791	2947	379	659	1576	4715	1188	695	695	1959	False	734	2160	996	False	612	2721	766	2205	970	303	890	729	False	368	2207	714	1793
