Gene	Mutations	MutationFreq%	Lenght	Corrected
TP53	17	21.518987341772156	25759	0.0008353968454432
TTN	11	13.924050632911392	304813	4.5680632495698655e-05
MUC16	6	7.594936708860759	132498	5.732114227279476e-05
SYNE1	6	7.594936708860759	516114	1.4715618465805538e-05
SPTA1	5	6.329113924050633	76011	8.32657631665237e-05
PYHIN1	5	6.329113924050633	46263	0.0001368072525355
NALCN	5	6.329113924050633	362732	1.744845760520338e-05
USH2A	5	6.329113924050633	800557	7.905887930591617e-06
TAF1L	4	5.063291139240507	6215	0.0008146888397812
KMT2D	4	5.063291139240507	41819	0.0001210763322709
SPOP	4	5.063291139240507	79279	6.386673821870238e-05
LRP1B	4	5.063291139240507	1899593	2.665461043097393e-06
PCDHA12	3	3.79746835443038	137045	2.770964540428604e-05
ERCC2	3	3.79746835443038	21081	0.0001801370122114
FLG	3	3.79746835443038	23074	0.0001645778085477
IL6ST	3	3.79746835443038	59927	6.336823726250904e-05
DCHS2	3	3.79746835443038	260057	1.460244621152432e-05
FAT2	3	3.79746835443038	87239	4.352948055835555e-05
SCN7A	3	3.79746835443038	207909	1.8265050355830575e-05
HSPA8	3	3.79746835443038	5741	0.0006614646149504
CDK12	3	3.79746835443038	103421	3.671854221512439e-05
OR52A1	3	3.79746835443038	7933	0.0004786925947851
CUBN	3	3.79746835443038	305845	1.2416316612762608e-05
FCGBP	3	3.79746835443038	71303	5.325818485099336e-05
KIAA1549L	3	3.79746835443038	297994	1.2743438976725638e-05
HSPG2	3	3.79746835443038	115066	3.30025233729371e-05
APOB	3	3.79746835443038	42644	8.90504726205417e-05
BSN	3	3.79746835443038	117072	3.24370332310918e-05
MAP2	3	3.79746835443038	310100	1.2245947611836115e-05
NYNRIN	3	3.79746835443038	20280	0.0001872518912441
PCDHA1	3	3.79746835443038	226211	1.678728423653306e-05
COL11A1	3	3.79746835443038	232405	1.633987373090243e-05
KIF13A	3	3.79746835443038	228452	1.6622609364025613e-05
PHC1	3	3.79746835443038	27571	0.0001377341538003
COL21A1	3	3.79746835443038	337504	1.1251624734611678e-05
SACS	3	3.79746835443038	145074	2.617607810104071e-05
PKD1	2	2.5316455696202533	47190	5.364792476415031e-05
FAM84A	2	2.5316455696202533	18128	0.0001396538818192
ITGAM	2	2.5316455696202533	72925	3.4715743155574265e-05
BRIP1	2	2.5316455696202533	184420	1.3727608554496543e-05
STRN3	2	2.5316455696202533	132602	1.909206173074504e-05
SORCS1	2	2.5316455696202533	591043	4.28335259806859e-06
MCTP1	2	2.5316455696202533	581404	4.354365586786904e-06
SIPA1L3	2	2.5316455696202533	301161	8.406286237661097e-06
DSEL	2	2.5316455696202533	10133	0.0002498416628461
KIF16B	2	2.5316455696202533	301344	8.401181273296475e-06
CDH6	2	2.5316455696202533	135460	1.8689248262367143e-05
PCDH10	2	2.5316455696202533	59312	4.268353064506767e-05
GLI3	2	2.5316455696202533	303151	8.351104134969877e-06
PFKP	2	2.5316455696202533	71385	3.5464671424252335e-05
ARSF	2	2.5316455696202533	71256	3.552887573846768e-05
MED12	2	2.5316455696202533	25560	9.904716626057328e-05
GGT5	2	2.5316455696202533	25454	9.945963579870562e-05
MYT1L	2	2.5316455696202533	542551	4.666189113318845e-06
CSMD2	2	2.5316455696202533	651844	3.883821235786865e-06
NAT2	2	2.5316455696202533	9936	0.0002547952465398
TTC7B	2	2.5316455696202533	291915	8.672543615847947e-06
RYR1	2	2.5316455696202533	161582	1.566786875778399e-05
HTR1E	2	2.5316455696202533	79151	3.1985010544658353e-05
FAM208B	2	2.5316455696202533	78902	3.2085949274039354e-05
TUBB4A	2	2.5316455696202533	8529	0.0002968279481322
PDILT	2	2.5316455696202533	45562	5.5564847232787255e-05
