Gene	Mutations	MutationFreq%	Lenght	Corrected
Y_RNA	15	3.024193548387097	113	0.026762774764487584
MIR329-1	3	0.6048387096774194	79	0.007656186198448346
AC010203.1	3	0.6048387096774194	82	0.007376081825334383
AC011467.1	3	0.6048387096774194	82	0.007376081825334383
AC004460.1	3	0.6048387096774194	82	0.007376081825334383
AC090825.1	3	0.6048387096774194	82	0.007376081825334383
MIR337	3	0.6048387096774194	92	0.0065743338008415145
AL137008.1	2	0.4032258064516129	63	0.006400409626216077
RNY4P29	3	0.6048387096774194	96	0.006300403225806451
MIR297	2	0.4032258064516129	65	0.00620347394540943
MIR6511A3	2	0.4032258064516129	66	0.006109481915933529
U6	3	0.6048387096774194	103	0.005872220482305042
MIR4444-2	2	0.4032258064516129	73	0.00552364118426867
CT978678.1	3	0.6048387096774194	114	0.0053056027164685915
SNORD113-5	2	0.4032258064516129	77	0.005236698785085881
AC107977.2	2	0.4032258064516129	81	0.004978096375945838
SNORD115-43	2	0.4032258064516129	81	0.004978096375945838
SNORD115-8	2	0.4032258064516129	81	0.004978096375945838
AC091565.1	2	0.4032258064516129	82	0.004917387883556255
AL354732.1	2	0.4032258064516129	82	0.004917387883556255
AC100757.1	2	0.4032258064516129	82	0.004917387883556255
MIR548M	2	0.4032258064516129	85	0.004743833017077799
SNORA15	3	0.6048387096774194	132	0.004582111436950147
AC096922.1	2	0.4032258064516129	93	0.004335761359694762
MIR572	2	0.4032258064516129	94	0.004289636238846946
AC080008.1	2	0.4032258064516129	98	0.004114549045424622
IGHJ2	1	0.20161290322580644	51	0.0039531941808981655
snoU13	2	0.4032258064516129	103	0.0039148136548700285
RNU6-534P	2	0.4032258064516129	105	0.0038402457757296467
TRAJ43	1	0.20161290322580644	53	0.003804017041996348
AC092574.1	2	0.4032258064516129	106	0.003804017041996348
RNU7-115P	1	0.20161290322580644	54	0.0037335722819593787
RP11-733D4.2	2	0.4032258064516129	110	0.003665689149560117
MIR663B	2	0.4032258064516129	114	0.003537068477645727
TRAJ12	1	0.20161290322580644	59	0.003417167851284855
GLUDP5	1	0.20161290322580644	59	0.003417167851284855
SNORA70	2	0.4032258064516129	123	0.0032782585890375033
AC097473.1	1	0.20161290322580644	62	0.0032518210197710717
MIR513A2	2	0.4032258064516129	126	0.0032002048131080387
MIR376C	1	0.20161290322580644	65	0.003101736972704715
AL078621.1	1	0.20161290322580644	67	0.003009147809340395
AC093844.1	1	0.20161290322580644	67	0.003009147809340395
U3	3	0.6048387096774194	203	0.0029795010328936915
Metazoa_SRP	4	0.8064516129032258	272	0.0029648956356736244
SNORD42	1	0.20161290322580644	68	0.0029648956356736244
MIR4520-1	1	0.20161290322580644	69	0.00292192613370734
RNU4-70P	2	0.4032258064516129	138	0.00292192613370734
AC105081.1	1	0.20161290322580644	69	0.00292192613370734
SNORD108	1	0.20161290322580644	70	0.002880184331797235
IGLJ5	1	0.20161290322580644	71	0.0028396183552930484
SNORD114-20	1	0.20161290322580644	71	0.0028396183552930484
MIRLET7A2	1	0.20161290322580644	71	0.0028396183552930484
MIR129-1	1	0.20161290322580644	71	0.0028396183552930484
MIR1208	1	0.20161290322580644	72	0.002800179211469534
AC136932.2	1	0.20161290322580644	72	0.002800179211469534
AL355149.1	1	0.20161290322580644	73	0.002761820592134335
AL021920.1	1	0.20161290322580644	73	0.002761820592134335
RN7SL278P	4	0.8064516129032258	295	0.002733734281027884
MIR509-3	1	0.20161290322580644	74	0.0027244986922406278
MIR920	1	0.20161290322580644	74	0.0027244986922406278
MIR888	1	0.20161290322580644	76	0.0026528013582342957
SNORD113-7	1	0.20161290322580644	76	0.0026528013582342957
AC117481.1	1	0.20161290322580644	76	0.0026528013582342957
MIR1972-2	1	0.20161290322580644	76	0.0026528013582342957
MIR409	1	0.20161290322580644	78	0.0025847808105872623
MIR4788	1	0.20161290322580644	79	0.002552062066149449
MIR876	1	0.20161290322580644	80	0.0025201612903225806
SNORD115-26	1	0.20161290322580644	81	0.002489048187972919
SNORD115-3	1	0.20161290322580644	81	0.002489048187972919
SNORD115-42	1	0.20161290322580644	81	0.002489048187972919
SNORD115-7	1	0.20161290322580644	81	0.002489048187972919
SNORD115-2	1	0.20161290322580644	81	0.002489048187972919
SNORD115-19	1	0.20161290322580644	81	0.002489048187972919
SNORD115-27	1	0.20161290322580644	81	0.002489048187972919
SNORD115-29	1	0.20161290322580644	81	0.002489048187972919
MIR1270	1	0.20161290322580644	82	0.0024586939417781273
AC023310.1	1	0.20161290322580644	82	0.0024586939417781273
AC126323.1	1	0.20161290322580644	82	0.0024586939417781273
MIR515-2	1	0.20161290322580644	82	0.0024586939417781273
AC243562.1	1	0.20161290322580644	83	0.0024290711232024874
AC134882.3	1	0.20161290322580644	83	0.0024290711232024874
AP003385.1	1	0.20161290322580644	87	0.0023173896922506487
MIR758	1	0.20161290322580644	87	0.0023173896922506487
IGKC	6	1.2096774193548387	522	0.0023173896922506487
RP11-790L1.3	1	0.20161290322580644	87	0.0023173896922506487
AF186996.1	1	0.20161290322580644	87	0.0023173896922506487
AL138696.1	1	0.20161290322580644	89	0.002265313519391084
AC061975.1	1	0.20161290322580644	90	0.002240143369175627
AL354873.1	1	0.20161290322580644	90	0.002240143369175627
AL450304.1	1	0.20161290322580644	90	0.002240143369175627
AC118063.1	1	0.20161290322580644	90	0.002240143369175627
AL365214.1	1	0.20161290322580644	91	0.0022155264090747964
SNORD116-11	1	0.20161290322580644	91	0.0022155264090747964
AL158175.1	1	0.20161290322580644	91	0.0022155264090747964
MT2P1	2	0.4032258064516129	182	0.0022155264090747964
AC092017.1	1	0.20161290322580644	93	0.002167880679847381
AC027612.2	1	0.20161290322580644	93	0.002167880679847381
MIR509-1	1	0.20161290322580644	93	0.002167880679847381
RN7SL151P	3	0.6048387096774194	282	0.002144818119423473
SNORD116-6	1	0.20161290322580644	95	0.0021222410865874364
SNORD116-4	1	0.20161290322580644	95	0.0021222410865874364
RNA5SP116	1	0.20161290322580644	97	0.0020784835384103756
MIR325	1	0.20161290322580644	97	0.0020784835384103756
AC005204.1	1	0.20161290322580644	99	0.002036493971977843
AL121753.1	1	0.20161290322580644	100	0.0020161290322580645
SNORD116-10	1	0.20161290322580644	101	0.001996167358671351
AC116618.1	1	0.20161290322580644	101	0.001996167358671351
RNU6-1307P	1	0.20161290322580644	102	0.0019765970904490828
SNRPCP9	2	0.4032258064516129	206	0.0019574068274350142
RNU6-1108P	1	0.20161290322580644	103	0.0019574068274350142
RNU6-1266P	1	0.20161290322580644	104	0.0019385856079404467
AF254983.1	1	0.20161290322580644	104	0.0019385856079404467
RNU6-389P	1	0.20161290322580644	104	0.0019385856079404467
RNU6-1115P	1	0.20161290322580644	105	0.0019201228878648233
AC006988.1	1	0.20161290322580644	106	0.001902008520998174
RNU6-104P	1	0.20161290322580644	106	0.001902008520998174
RNU6-954P	1	0.20161290322580644	106	0.001902008520998174
RNU6-283P	1	0.20161290322580644	106	0.001902008520998174
RNU6-771P	1	0.20161290322580644	106	0.001902008520998174
RNU6-354P	1	0.20161290322580644	106	0.001902008520998174
RNU6-27P	1	0.20161290322580644	106	0.001902008520998174
RNU6-353P	1	0.20161290322580644	107	0.0018842327404280977
AC091178.2	1	0.20161290322580644	108	0.0018667861409796893
MIR222	1	0.20161290322580644	109	0.0018496596626220777
IGHV3OR16-13	4	0.8064516129032258	447	0.0018041423107454716
RNA5SP456	1	0.20161290322580644	113	0.0017841849842991722
AC109351.1	1	0.20161290322580644	114	0.0017685342388228636
RNA5SP488	1	0.20161290322580644	115	0.0017531556802244039
AC110056.1	1	0.20161290322580644	116	0.0017380422691879865
RP11-652G5.2	1	0.20161290322580644	119	0.0016942260775277853
YWHAEP3	1	0.20161290322580644	120	0.0016801075268817205
SPTLC1P2	1	0.20161290322580644	120	0.0016801075268817205
MIR498	1	0.20161290322580644	123	0.0016391292945187516
RP11-589B3.7	1	0.20161290322580644	123	0.0016391292945187516
IGKV1-17	4	0.8064516129032258	502	0.0016064773165402903
RP11-10G12.1	2	0.4032258064516129	254	0.00158750317500635
AC006539.6	1	0.20161290322580644	128	0.0015751008064516128
SNORA31	1	0.20161290322580644	129	0.0015628907226806702
SNORA22	1	0.20161290322580644	133	0.0015158864904195972
SNORA48	1	0.20161290322580644	134	0.0015045739046701974
RP1-73A14.1	1	0.20161290322580644	134	0.0015045739046701974
IGKV1D-35	2	0.4032258064516129	270	0.0014934289127837513
CTC-534B23.1	4	0.8064516129032258	543	0.001485177924315333
RP11-76H14.5	1	0.20161290322580644	136	0.0014824478178368122
CU459211.1	1	0.20161290322580644	138	0.00146096306685367
RNVU1-8	1	0.20161290322580644	140	0.0014400921658986176
TRBV4-2	4	0.8064516129032258	564	0.0014298787462823153
AC132479.4	1	0.20161290322580644	143	0.0014098804421385067
