Gene	Mutations	MutationFreq%	Lenght	Corrected
SPOP	54	10.887096774193548	79279	0.0001373263635287
TTN	48	9.67741935483871	304813	3.17487093885061e-05
TP53	38	7.661290322580645	25759	0.0002974218844901
MUC16	27	5.443548387096774	132498	4.108400418947285e-05
SYNE1	19	3.8306451612903225	516114	7.42209116840528e-06
LRP1B	17	3.427419354838709	1899593	1.8042914218144147e-06
CSMD3	16	3.225806451612903	1214011	2.657147630139186e-06
RYR2	15	3.024193548387097	791804	3.819371395430052e-06
ATM	13	2.620967741935484	146058	1.794470513039672e-05
OBSCN	13	2.620967741935484	170832	1.534236994202189e-05
MUC17	13	2.620967741935484	38787	6.757335555561101e-05
KMT2D	12	2.419354838709677	41819	5.785300554077519e-05
KMT2C	12	2.419354838709677	301722	8.01848999645262e-06
RYR1	12	2.419354838709677	161582	1.497292296610809e-05
MACF1	12	2.419354838709677	405861	5.961042915455482e-06
FAT3	12	2.419354838709677	671655	3.602079696733706e-06
USH2A	12	2.419354838709677	800557	3.022089418629376e-06
CDK12	11	2.217741935483871	103421	2.144382606514993e-05
PCLO	11	2.217741935483871	408918	5.42343926039908e-06
HMCN1	11	2.217741935483871	456558	4.857525080020219e-06
COL11A1	10	2.0161290322580645	232405	8.6750673705732e-06
CTNNB1	10	2.0161290322580645	65355	3.084888734233134e-05
FOXA1	10	2.0161290322580645	6507	0.0003098400233991
PIK3CA	10	2.0161290322580645	91979	2.19194493553753e-05
DCHS2	10	2.0161290322580645	260057	7.75264281391412e-06
FBN3	9	1.814516129032258	84190	2.155263248642663e-05
EPB41L3	9	1.814516129032258	238319	7.613812281153655e-06
RYR3	9	1.814516129032258	555159	3.2684620604768327e-06
GRIA1	9	1.814516129032258	324254	5.595971457660531e-06
MYO15A	9	1.814516129032258	71046	2.554001814362889e-05
XIRP2	9	1.814516129032258	371273	4.887282751593189e-06
MUC5B	9	1.814516129032258	39106	4.63999419278949e-05
MUC5AC	8	1.6129032258064515	43185	3.7348691115119874e-05
DNAH9	8	1.6129032258064515	371278	4.344192830726441e-06
LAMA3	8	1.6129032258064515	266769	6.046066918594183e-06
GRIN2A	8	1.6129032258064515	429524	3.75509453675802e-06
CNTNAP5	8	1.6129032258064515	895932	1.8002518336285027e-06
FLG	8	1.6129032258064515	23074	6.990132728640252e-05
AHNAK2	8	1.6129032258064515	41130	3.9214763574190416e-05
APC	8	1.6129032258064515	138741	1.1625281825894664e-05
CSMD2	8	1.6129032258064515	651844	2.4743699808642124e-06
ZMYM3	8	1.6129032258064515	15522	0.0001039107863552
MED12	8	1.6129032258064515	25560	6.31026301176233e-05
NALCN	8	1.6129032258064515	362732	4.446542421971184e-06
DNAH17	7	1.4112903225806452	153699	9.182169842228283e-06
ANK2	7	1.4112903225806452	566189	2.492613460488715e-06
ANO4	7	1.4112903225806452	411115	3.4328358794513582e-06
CACNA1A	7	1.4112903225806452	426583	3.30836044235388e-06
PLCB4	7	1.4112903225806452	436768	3.2312127321155515e-06
SORCS1	7	1.4112903225806452	591043	2.387796357592671e-06
PRKDC	7	1.4112903225806452	187067	7.544304033210802e-06
NAV2	7	1.4112903225806452	770877	1.83075941113906e-06
COL12A1	7	1.4112903225806452	121941	1.157355050869392e-05
MYO9A	7	1.4112903225806452	296286	4.763270362354769e-06
BRAF	7	1.4112903225806452	205602	6.864185769499543e-06
PCDHA12	7	1.4112903225806452	137045	1.0298006658985336e-05
PKHD1L1	7	1.4112903225806452	174746	8.076238211922707e-06
GRIN2B	7	1.4112903225806452	544060	2.5939975785403176e-06
FAT2	7	1.4112903225806452	87239	1.617728679352864e-05
TP53BP1	7	1.4112903225806452	107667	1.3107919070659023e-05
CDH23	7	1.4112903225806452	419027	3.368017627934823e-06
RNF213	7	1.4112903225806452	137942	1.023104147091274e-05
CTTNBP2	7	1.4112903225806452	163488	8.632378661312422e-06
FBN1	7	1.4112903225806452	237408	5.944577784154895e-06
FAT4	7	1.4112903225806452	178014	7.927973769370077e-06
FILIP1	7	1.4112903225806452	201941	6.988626987984833e-06
CSMD1	7	1.4112903225806452	2059619	6.85219121876738e-07
ABCA13	7	1.4112903225806452	476039	2.9646527334538662e-06
STAB2	6	1.2096774193548387	179446	6.741177955233545e-06
NYNRIN	6	1.2096774193548387	20280	5.9648787936629126e-05
HSPG2	6	1.2096774193548387	115066	1.0512900590572705e-05
BSN	6	1.2096774193548387	117072	1.033276461796876e-05
MYH8	6	1.2096774193548387	31628	3.824704120889208e-05
SCN1A	6	1.2096774193548387	164573	7.350400243994086e-06
ANAPC5	6	1.2096774193548387	91651	1.3198736722510816e-05
KDM6A	6	1.2096774193548387	239591	5.048926793388895e-06
GPR158	6	1.2096774193548387	427427	2.830138057153242e-06
ZFHX4	6	1.2096774193548387	186042	6.502173806747072e-06
KCNB2	6	1.2096774193548387	401124	3.015719376937901e-06
PTPRC	6	1.2096774193548387	119019	1.0163733684158318e-05
RAG1	6	1.2096774193548387	82784	1.4612454331209397e-05
PCDH11Y	6	1.2096774193548387	741998	1.6302974123310823e-06
CFH	6	1.2096774193548387	100722	1.2010061549163429e-05
PCDHB7	6	1.2096774193548387	3739	0.0003235296655134
OTOF	6	1.2096774193548387	101553	1.1911784185152962e-05
ADAMTSL1	6	1.2096774193548387	1004387	1.204393743999911e-06
APOB	6	1.2096774193548387	42644	2.836688442347901e-05
MED13	6	1.2096774193548387	122673	9.86099157397992e-06
SCN7A	6	1.2096774193548387	207909	5.818302331091192e-06
TRIO	6	1.2096774193548387	388786	3.1114222717763468e-06
PKD1	6	1.2096774193548387	47190	2.563418985706376e-05
CHAF1A	6	1.2096774193548387	42378	2.854493886815892e-05
HSPA8	6	1.2096774193548387	5741	0.000210708486214
NRXN3	6	1.2096774193548387	1697918	7.12447491195004e-07
ROBO2	6	1.2096774193548387	1743269	6.939132281677921e-07
LAMB1	6	1.2096774193548387	79414	1.5232546142428774e-05
VPS13D	6	1.2096774193548387	282017	4.289377659342659e-06
TG	6	1.2096774193548387	267945	4.514648227639399e-06
FREM2	6	1.2096774193548387	200054	6.046754473066466e-06
MYCBP2	6	1.2096774193548387	284620	4.250149038559619e-06
CTNNAL1	6	1.2096774193548387	70953	1.7048996086914418e-05
UNC79	6	1.2096774193548387	374657	3.228759690476459e-06
PCDH11X	6	1.2096774193548387	843969	1.4333197301735476e-06
UBR4	6	1.2096774193548387	135756	8.910673703960331e-06
PLEC	6	1.2096774193548387	61581	1.964367937115082e-05
KIF1A	6	1.2096774193548387	110532	1.0944137619466206e-05
ZFHX3	6	1.2096774193548387	1108986	1.090795933722192e-06
TRANK1	6	1.2096774193548387	118238	1.023086841248024e-05
MECOM	5	1.0080645161290325	580276	1.7372155941811004e-06
ACAN	5	1.0080645161290325	71917	1.4017054606407835e-05
EPHB1	5	1.0080645161290325	465207	2.16691605270134e-06
ABCB1	5	1.0080645161290325	210306	4.793322663780549e-06
DHTKD1	5	1.0080645161290325	54267	1.857601334381912e-05
L1CAM	5	1.0080645161290325	24659	4.088018638748661e-05
DGKI	5	1.0080645161290325	466055	2.1629732888372234e-06
COL21A1	5	1.0080645161290325	337504	2.9868224261906e-06
KIF13A	5	1.0080645161290325	228452	4.412587835208412e-06
ACACA	5	1.0080645161290325	321844	3.13215258364e-06
DNAH5	5	1.0080645161290325	321490	3.135601468565219e-06
DNAH3	5	1.0080645161290325	226330	4.453958892453639e-06
DMD	5	1.0080645161290325	2241932	4.496409864924682e-07
PAPPA2	5	1.0080645161290325	382430	2.635945182462234e-06
PTPRD	5	1.0080645161290325	2298756	4.385261054801085e-07
TNS1	5	1.0080645161290325	234394	4.300726623245613e-06
FAM214A	5	1.0080645161290325	128500	7.84486004769675e-06
CUL3	5	1.0080645161290325	115247	8.74699138484327e-06
