Gene	Mutations	MutationFreq%	Lenght	Corrected
IGHJ2	1	0.20161290322580644	51	0.0039531941808981655
TRAJ43	1	0.20161290322580644	53	0.003804017041996348
TRAJ12	1	0.20161290322580644	59	0.003417167851284855
HIST1H2AE	2	0.4032258064516129	392	0.0010286372613561555
IGHV1OR15-9	2	0.4032258064516129	435	0.0009269558769002596
OR6X1	4	0.8064516129032258	938	0.0008597565169543985
OR4D5	4	0.8064516129032258	956	0.00084356863274396
OR4A16	4	0.8064516129032258	986	0.0008179022443237584
IGHV1-18	2	0.4032258064516129	493	0.0008179022443237584
IGHV1-58	2	0.4032258064516129	498	0.0008096903744008291
IGKV1D-16	2	0.4032258064516129	502	0.0008032386582701452
HIST1H2AI	2	0.4032258064516129	502	0.0008032386582701452
POM121L12	5	1.0080645161290323	1292	0.0007802356935983222
OR5L1	4	0.8064516129032258	1109	0.0007271881090200413
IGHV3OR16-9	1	0.20161290322580644	293	0.0006880986458218651
OR2D2	3	0.6048387096774194	926	0.0006531735525674076
HIST1H4K	1	0.20161290322580644	311	0.0006482730007260658
KRTAP6-2	1	0.20161290322580644	312	0.0006461952026468156
LCE1A	2	0.4032258064516129	624	0.0006461952026468156
OR10J3	3	0.6048387096774194	939	0.0006441306812326084
OR5D18	3	0.6048387096774194	941	0.0006427616468410407
OR5D16	3	0.6048387096774194	986	0.0006134266832428189
KRTAP19-6	1	0.20161290322580644	329	0.0006128051769781351
IFNA13	2	0.4032258064516129	685	0.000588650812338121
OR4C13	3	0.6048387096774194	1028	0.0005883645035772562
OR10Q1	3	0.6048387096774194	1036	0.0005838211483372773
ACTL7B	4	0.8064516129032258	1398	0.0005768609534357839
OR52L1	3	0.6048387096774194	1093	0.0005533748487442081
HIST1H4J	1	0.20161290322580644	372	0.0005419701699618453
HIST1H2BF	1	0.20161290322580644	380	0.0005305602716468591
HIST1H2BM	1	0.20161290322580644	380	0.0005305602716468591
HIST1H2BH	1	0.20161290322580644	380	0.0005305602716468591
HIST1H2BO	1	0.20161290322580644	380	0.0005305602716468591
HIST1H2AH	1	0.20161290322580644	386	0.0005223132207922447
HIST1H3F	1	0.20161290322580644	410	0.0004917387883556255
HIST1H3C	1	0.20161290322580644	410	0.0004917387883556255
HIST1H3B	1	0.20161290322580644	410	0.0004917387883556255
HIST2H3PS2	1	0.20161290322580644	411	0.0004905423436151008
GPR32	3	0.6048387096774194	1268	0.0004770021369695736
LCE2D	3	0.6048387096774194	1279	0.0004728996948220636
PRM3	1	0.20161290322580644	430	0.00046886721680420104
FOXB2	3	0.6048387096774194	1298	0.0004659774342661166
RP11-294C11.2	1	0.20161290322580644	435	0.0004634779384501298
IGHV1OR21-1	1	0.20161290322580644	435	0.0004634779384501298
HIST1H4B	1	0.20161290322580644	437	0.00046135675795379056
IGHV3OR16-13	1	0.20161290322580644	447	0.0004510355776863679
IGLC2	1	0.20161290322580644	461	0.00043733818487159753
TRBV7-4	1	0.20161290322580644	461	0.00043733818487159753
OR8K5	2	0.4032258064516129	923	0.0004368643623527767
OR10J5	2	0.4032258064516129	929	0.00043404284871002467
OR4C46	2	0.4032258064516129	929	0.00043404284871002467
OR5W2	2	0.4032258064516129	932	0.0004326457150768379
OR5L2	2	0.4032258064516129	935	0.0004312575470070726
OR2Y1	2	0.4032258064516129	935	0.0004312575470070726
OR5M8	2	0.4032258064516129	935	0.0004312575470070726
OR7G3	2	0.4032258064516129	938	0.00042987825847719925
OR6C76	2	0.4032258064516129	938	0.00042987825847719925
LCE1F	4	0.8064516129032258	1884	0.0004280528730908842
SLC25A2	3	0.6048387096774194	1414	0.00042775014828671804
OR4A15	2	0.4032258064516129	944	0.0004271459814106069
OR5D13	2	0.4032258064516129	944	0.0004271459814106069
IGLV7-46	1	0.20161290322580644	473	0.00042624292436745553
TRBV6-6	1	0.20161290322580644	476	0.0004235565193819463
OR13C5	2	0.4032258064516129	956	0.00042178431637198
OR2T3	2	0.4032258064516129	956	0.00042178431637198
HIST3H3	1	0.20161290322580644	480	0.0004200268817204301
OR11L1	2	0.4032258064516129	968	0.00041655558517728606
OR5P2	2	0.4032258064516129	968	0.00041655558517728606
OR2AE1	2	0.4032258064516129	971	0.0004152685957277167
OR4K15	2	0.4032258064516129	974	0.00041398953434457176
HIST1H2BL	1	0.20161290322580644	487	0.00041398953434457176
OR6K2	2	0.4032258064516129	974	0.00041398953434457176
IGKV1D-42	1	0.20161290322580644	488	0.0004131411951348493
TRBV6-1	1	0.20161290322580644	489	0.0004122963256151461
IFNA17	2	0.4032258064516129	979	0.0004118751853438334
IGLV5-48	1	0.20161290322580644	493	0.0004089511221618792
TRBV7-7	1	0.20161290322580644	501	0.0004024209645225678
IGKV1D-13	1	0.20161290322580644	501	0.0004024209645225678
IGKV1-17	1	0.20161290322580644	502	0.0004016193291350726
TRBV2	1	0.20161290322580644	508	0.0003968757937515875
IGHV4-31	1	0.20161290322580644	509	0.0003960960770644527
FAM47A	5	1.0080645161290323	2562	0.00039346780489033265
TAAR6	2	0.4032258064516129	1037	0.00038883877189162285
IGLV1-47	1	0.20161290322580644	521	0.0003869729428518358
FAM47B	4	0.8064516129032258	2119	0.00038058122364475024
OR52D1	2	0.4032258064516129	1064	0.0003789716226048993
IGKV1-9	1	0.20161290322580644	533	0.0003782606064274042
IGHV3-23	1	0.20161290322580644	534	0.0003775522532318473
OR51Q1	2	0.4032258064516129	1095	0.0003682427456179113
IGLV3-22	1	0.20161290322580644	557	0.000361962124283315
TRBV4-2	1	0.20161290322580644	564	0.00035746968657057883
TRAV18	1	0.20161290322580644	567	0.00035557831256755984
IGHV3-11	1	0.20161290322580644	569	0.0003543284766710131
TRGV1	1	0.20161290322580644	583	0.0003458197310905771
OR6K6	2	0.4032258064516129	1171	0.00034434313104322195
IGKV3-20	1	0.20161290322580644	586	0.00034404932291093256
TCAP	2	0.4032258064516129	1205	0.00033462722527104807
TNP1	1	0.20161290322580644	606	0.0003326945597785585
LCE1C	3	0.6048387096774194	1819	0.00033251166007554665
DPPA5	2	0.4032258064516129	1213	0.00033242028561550937
IGKV3-15	1	0.20161290322580644	610	0.00033051295610787943
IGKV3-7	1	0.20161290322580644	613	0.00032889543756249015
PCDHB7	6	1.2096774193548387	3739	0.00032352966551346316
HIST1H2BG	1	0.20161290322580644	626	0.0003220653406163042
RNF186	2	0.4032258064516129	1254	0.00032155167978597523
IGKV3D-20	1	0.20161290322580644	631	0.00031951331731506566
HIST1H1A	1	0.20161290322580644	647	0.000311611906067707
FOXA1	10	2.0161290322580645	6507	0.00030984002339911855
IGKV1-5	1	0.20161290322580644	656	0.0003073367427222659
