Rank	Gene	#Mut	Length	Net1	Net8
1	HIST1H4J	1	372	False	False
2	HIST1H2BO	1	380	False	False
3	RP11-294C11.2	1	435	False	False
4	OR5M8	2	935	True	False
5	OR5D13	2	944	True	False
6	OR2AE1	2	971	True	False
7	TRBV6-1	1	489	False	False
8	IGLV1-47	1	521	True	True
9	IGKV1-9	1	533	False	False
10	IGLV3-22	1	557	False	False
11	TRAV18	1	567	False	False
12	IGKV3-20	1	586	True	True
13	HIST1H2BG	1	626	False	False
14	POM121L12	2	1292	False	False
15	HSPB3	1	678	False	False
16	RPL10L	1	771	True	False
17	OR5W2	1	932	True	False
18	OR4C16	1	932	True	False
19	OR52J3	1	935	True	False
20	OR4L1	1	938	True	False
21	OR13D1	1	944	True	False
22	OR5D14	1	944	True	False
23	FTMT	1	951	False	False
24	OR5C1	1	962	True	False
