Gene	Mutations	MutationFreq%	Lenght	Corrected
IGKC	5	1.4534883720930232	522	0.0027844604829368263
MT-CO1	8	2.3255813953488373	1541	0.0015091378295579736
IGKV1-17	2	0.5813953488372093	502	0.0011581580654127675
IGKV1D-16	2	0.5813953488372093	502	0.0011581580654127675
FOXA1	24	6.976744186046512	6507	0.0010721905925997405
IGHV4-59	2	0.5813953488372093	576	0.0010093669250645994
IGKV3D-20	2	0.5813953488372093	631	0.0009213872406294917
RPS23P8	1	0.29069767441860467	329	0.0008835795575033576
COX6A1P2	1	0.29069767441860467	329	0.0008835795575033576
RPS15AP38	1	0.29069767441860467	371	0.0007835516830690151
PCDHB6	8	2.3255813953488373	3230	0.0007199942400460796
IGHG1	16	4.651162790697675	6728	0.0006913143267981086
MT-ND4	3	0.872093023255814	1377	0.0006333282667071997
IGLC2	1	0.29069767441860467	461	0.0006305806386520708
OR51S1	2	0.5813953488372093	971	0.0005987593705841497
IGHV1-69	1	0.29069767441860467	497	0.0005849047775022227
IGKV1-16	1	0.29069767441860467	502	0.0005790790327063837
FTLP2	1	0.29069767441860467	527	0.0005516084903578836
IGHV3-23	1	0.29069767441860467	534	0.0005443776674505706
IGKV3-11	1	0.29069767441860467	560	0.0005191029900332226
IGHV3-11	1	0.29069767441860467	569	0.0005108922221768096
TCAP	2	0.5813953488372093	1205	0.00048248576666988323
GPX1P2	1	0.29069767441860467	605	0.00048049202383240437
TRAV3	1	0.29069767441860467	608	0.0004781211750305998
MRPS34	2	0.5813953488372093	1260	0.0004614248800295312
TRAV29DV5	1	0.29069767441860467	632	0.0004599646747129821
FOXB2	2	0.5813953488372093	1298	0.0004479162934030888
CSNK2A3	2	0.5813953488372093	1308	0.0004444918569091814
IGKV1-5	1	0.29069767441860467	656	0.0004431366988088485
NR2C2AP	3	0.872093023255814	2005	0.00043495911384329873
TRAV19	1	0.29069767441860467	669	0.0004345256717766886
IGHV3-53	1	0.29069767441860467	671	0.00043323051329151216
PCDHB5	5	1.4534883720930232	3409	0.00042636795895952575
MT-CO2	1	0.29069767441860467	683	0.00042561884980762027
DDIT4	3	0.872093023255814	2117	0.000411947578297503
ATOH1	3	0.872093023255814	2211	0.0003944337509071976
IGKV2-29	1	0.29069767441860467	738	0.0003938992878300876
AURKAIP1	2	0.5813953488372093	1477	0.00039363259907732517
IGHV1-46	1	0.29069767441860467	739	0.000393366271202442
HOXD9	3	0.872093023255814	2218	0.00039318891941199905
NAT8B	1	0.29069767441860467	764	0.00038049433824424695
