Gene	Mutations	MutationFreq%	Lenght	Corrected
IGKV1D-16	2	0.5813953488372093	502	0.0011581580654127675
IGKV1-17	1	0.29069767441860467	502	0.0005790790327063837
IGHV3-23	1	0.29069767441860467	534	0.0005443776674505706
IGHV3-11	1	0.29069767441860467	569	0.0005108922221768096
TCAP	2	0.5813953488372093	1205	0.00048248576666988323
IGKV3D-20	1	0.29069767441860467	631	0.00046069362031474583
FOXB2	2	0.5813953488372093	1298	0.0004479162934030888
IGKV1-5	1	0.29069767441860467	656	0.0004431366988088485
ATOH1	3	0.872093023255814	2211	0.0003944337509071976
AURKAIP1	2	0.5813953488372093	1477	0.00039363259907732517
PCDHB12	5	1.4534883720930232	3874	0.0003751905968231862
PCDHB6	4	1.1627906976744187	3230	0.0003599971200230398
FOXA1	8	2.3255813953488373	6507	0.0003573968641999135
IGKV2-30	1	0.29069767441860467	815	0.00035668426309031246
HOXD4	2	0.5813953488372093	1676	0.00034689459954487424
CD1B	4	1.1627906976744187	3580	0.00032480187085877615
KCNA5	3	0.872093023255814	2909	0.00029979134522372427
OR51S1	1	0.29069767441860467	971	0.00029937968529207483
TAS2R19	1	0.29069767441860467	1001	0.0002904072671514532
DDIT4	2	0.5813953488372093	2117	0.00027463171886500204
PCDHB5	3	0.872093023255814	3409	0.00025582077537571543
TAS2R5	1	0.29069767441860467	1150	0.0002527805864509606
NDUFB10	2	0.5813953488372093	2437	0.0002385701062114113
HRAS	4	1.1627906976744187	5079	0.0002289408737299505
TP53	20	5.813953488372093	25759	0.00022570571405613934
HOXB13	3	0.872093023255814	3987	0.00021873414177472135
PCDHB2	3	0.872093023255814	4097	0.0002128613676484779
NKX3-1	3	0.872093023255814	4241	0.00020563381826357323
OR2C1	1	0.29069767441860467	1417	0.0002051500878042376
GPHA2	1	0.29069767441860467	1422	0.0002044287443168809
CMA1	2	0.5813953488372093	2912	0.00019965499616662408
HOXD8	2	0.5813953488372093	3001	0.00019373387165518471
RPA4	1	0.29069767441860467	1559	0.00018646419141668034
RRAGA	1	0.29069767441860467	1598	0.0001819134383095148
FZD10	2	0.5813953488372093	3281	0.00017720065493362063
PCDHB3	2	0.5813953488372093	3354	0.00017334387264078988
KRT6C	3	0.872093023255814	5289	0.00016488807397538552
SPOP	44	12.790697674418604	79279	0.00016133777765131504
PSRC1	2	0.5813953488372093	3630	0.0001601640079441348
PCDHB7	2	0.5813953488372093	3739	0.00015549487799871873
KRT81	3	0.872093023255814	5621	0.00015514908793022843
PCDHB4	2	0.5813953488372093	3805	0.00015279772636983161
ALDOC	2	0.5813953488372093	3833	0.00015168154156984328
PCDHB16	2	0.5813953488372093	3839	0.00015144447742568618
JUND	1	0.29069767441860467	1928	0.00015077680208433852
KRT31	2	0.5813953488372093	3887	0.0001495743115094441
FAM50B	1	0.29069767441860467	1947	0.00014930543113436293
RASD1	1	0.29069767441860467	1958	0.00014846663657742831
PYCARD	1	0.29069767441860467	1964	0.00014801307251456448
BBS10	2	0.5813953488372093	3941	0.00014752482842862453
PCDHB15	2	0.5813953488372093	3970	0.0001464471911428739
KLHDC9	1	0.29069767441860467	1985	0.0001464471911428739
SDF2L1	1	0.29069767441860467	1997	0.00014556718799128927
EXOSC4	1	0.29069767441860467	2000	0.00014534883720930232
CCL7	1	0.29069767441860467	2021	0.00014383853261682567
SCX	1	0.29069767441860467	2028	0.00014334204852988397
GPR84	1	0.29069767441860467	2042	0.00014235929207571235
TXNIP	2	0.5813953488372093	4144	0.0001402981054143845
ADORA3	2	0.5813953488372093	4204	0.00013829575376717634
TMEM86B	1	0.29069767441860467	2146	0.0001354602397104402
OLIG3	1	0.29069767441860467	2195	0.00013243629814059437
PCDHB14	2	0.5813953488372093	4416	0.00013165655544320864
HOXD9	1	0.29069767441860467	2218	0.00013106297313733304
IGHG1	3	0.872093023255814	6728	0.00012962143627464535
TMEM102	1	0.29069767441860467	2244	0.00012954441819010903
PTGIR	2	0.5813953488372093	4621	0.00012581591621666508
FZD9	1	0.29069767441860467	2342	0.00012412368677139395
