Gene	Mutations	MutationFreq%	Lenght	Corrected
AC004460.1	3	3.7974683544303796	82	0.04631058968817536
SNORD113-5	2	2.5316455696202533	77	0.03287851389117212
MIR329-1	2	2.5316455696202533	79	0.03204614645088928
SNORD115-43	2	2.5316455696202533	81	0.03125488357555868
AC011467.1	2	2.5316455696202533	82	0.030873726458783574
AC097473.1	1	1.2658227848101267	62	0.02041649652919559
MIR297	1	1.2658227848101267	65	0.019474196689386564
AC093844.1	1	1.2658227848101267	67	0.01889287738522577
SNORD108	1	1.2658227848101267	70	0.018083182640144666
MIR129-1	1	1.2658227848101267	71	0.01782848992690319
AC136932.2	1	1.2658227848101267	72	0.017580872011251757
AC010203.1	1	1.2658227848101267	82	0.015436863229391787
AC090825.1	1	1.2658227848101267	82	0.015436863229391787
AC134882.3	1	1.2658227848101267	83	0.015250876925423214
MIR548M	1	1.2658227848101267	85	0.014892032762472078
AF186996.1	1	1.2658227848101267	87	0.014549687181725592
AL138696.1	1	1.2658227848101267	89	0.014222727919214907
AC061975.1	1	1.2658227848101267	90	0.014064697609001408
AL354873.1	1	1.2658227848101267	90	0.014064697609001408
MIR337	1	1.2658227848101267	92	0.01375894331315355
SNORD116-6	1	1.2658227848101267	95	0.013324450366422384
U6	1	1.2658227848101267	103	0.012289541600098316
RNU6-1115P	1	1.2658227848101267	105	0.012055455093429776
RNU6-771P	1	1.2658227848101267	106	0.011941724385001195
MIR222	1	1.2658227848101267	109	0.011613053071652538
MIR663B	1	1.2658227848101267	114	0.01110370863868532
CT978678.1	1	1.2658227848101267	114	0.01110370863868532
SPTLC1P2	1	1.2658227848101267	120	0.010548523206751056
IGKV1D-35	2	2.5316455696202533	270	0.009376465072667603
CU459211.1	1	1.2658227848101267	138	0.0091726288754357
RP11-140K17.2	2	2.5316455696202533	327	0.007742035381101691
RNU1-119P	1	1.2658227848101267	164	0.007718431614695894
MRPS5P3	1	1.2658227848101267	165	0.007671653241273495
AC008834.2	1	1.2658227848101267	174	0.007274843590862796
PSMC1P5	1	1.2658227848101267	176	0.007192174913693902
CTB-83J4.1	2	2.5316455696202533	358	0.007071635669330316
RPL35P5	2	2.5316455696202533	369	0.006860828101951905
U3	1	1.2658227848101267	203	0.00623558022073954
IGKV1OR22-1	2	2.5316455696202533	482	0.005252376700456957
CTD-2515C13.1	1	1.2658227848101267	243	0.005209147262593114
AC002075.4	1	1.2658227848101267	251	0.0050431186645821776
RP11-10G12.1	1	1.2658227848101267	254	0.004983554270906011
SPTLC1P4	1	1.2658227848101267	259	0.004887346659498558
RP5-836E8.1	2	2.5316455696202533	524	0.0048313846748478115
DYNLL1P3	1	1.2658227848101267	265	0.004776689754000478
RPL7P47	2	2.5316455696202533	555	0.004561523548865321
RN7SL278P	1	1.2658227848101267	295	0.004290924694271616
RN7SKP282	1	1.2658227848101267	298	0.004247727465805794
RP11-170L3.5	1	1.2658227848101267	313	0.004044162251789542
FTMT	3	3.7974683544303796	951	0.003993131813281156
MRPS33P3	1	1.2658227848101267	321	0.003943373161402263
RPL30P3	1	1.2658227848101267	332	0.0038127192313558034
RP11-832N8.1	1	1.2658227848101267	344	0.0036797173977038567
CTD-2315A10.1	1	1.2658227848101267	347	0.0036479042789917195
ENSAP2	1	1.2658227848101267	351	0.0036063327202567707
HIST1H4J	1	1.2658227848101267	372	0.003402749421532598
RP11-509M23.1	1	1.2658227848101267	375	0.0033755274261603376
RP11-536C10.1	1	1.2658227848101267	376	0.0033665499596014004
IGKV2D-29	2	2.5316455696202533	757	0.003344313830409846
HIST1H2BO	1	1.2658227848101267	380	0.003331112591605596
RPL10L	2	2.5316455696202533	771	0.003283586990428344
GPR32P1	2	2.5316455696202533	810	0.0031254883575558678
AC007229.3	1	1.2658227848101267	411	0.003079860790292279
RP11-428J1.2	1	1.2658227848101267	422	0.002999580058791769
CALM2P4	1	1.2658227848101267	425	0.0029784065524944155
IGHV1OR15-9	1	1.2658227848101267	435	0.0029099374363451185
RP11-294C11.2	1	1.2658227848101267	435	0.0029099374363451185
HIST1H4B	1	1.2658227848101267	437	0.0028966196448744316
IGLC7	1	1.2658227848101267	440	0.0028768699654775605
CTB-167G5.3	1	1.2658227848101267	452	0.0028004928867480677
CHCHD2P9	1	1.2658227848101267	455	0.0027820280984837947
IGHV3OR16-6	1	1.2658227848101267	462	0.0027398761575976767
TRBV5-7	1	1.2658227848101267	466	0.0027163579073178684
BTF3P5	1	1.2658227848101267	466	0.0027163579073178684
OR5M8	2	2.5316455696202533	935	0.0027076423204494687
CTD-2201E18.1	1	1.2658227848101267	468	0.002704749540192578
