Gene	Mutations	MutationFreq%	Lenght	Corrected
OR5M8	2	2.5316455696202533	935	0.0027076423204494687
OR5D13	2	2.5316455696202533	944	0.0026818279339197596
OR2AE1	2	2.5316455696202533	971	0.002607255993429715
IGLV1-47	1	1.2658227848101267	521	0.0024296022741077286
IGKV3-20	1	1.2658227848101267	586	0.0021601071413142096
RPL10L	1	1.2658227848101267	771	0.001641793495214172
OR5W2	1	1.2658227848101267	932	0.0013581789536589342
OR4C16	1	1.2658227848101267	932	0.0013581789536589342
OR52J3	1	1.2658227848101267	935	0.0013538211602247344
OR4L1	1	1.2658227848101267	938	0.0013494912418018407
OR5D14	1	1.2658227848101267	944	0.0013409139669598798
OR13D1	1	1.2658227848101267	944	0.0013409139669598798
OR5C1	1	1.2658227848101267	962	0.0013158241006342272
OR5P2	1	1.2658227848101267	968	0.001307668166126164
OR1J1	1	1.2658227848101267	968	0.001307668166126164
OR6K2	1	1.2658227848101267	974	0.0012996127154108075
OR52E2	1	1.2658227848101267	977	0.001295622092947929
OR4A16	1	1.2658227848101267	986	0.001283795927799317
TAS2R43	1	1.2658227848101267	1026	0.001233745404298369
OR10H2	1	1.2658227848101267	1028	0.001231345121410629
S100A8	1	1.2658227848101267	1041	0.0012159680929972397
OR4C12	1	1.2658227848101267	1062	0.00119192352618656
OR52D1	1	1.2658227848101267	1064	0.00118968306843057
OR52L1	1	1.2658227848101267	1093	0.0011581178269077096
OR51Q1	1	1.2658227848101267	1095	0.001156002543205595
OR13C3	1	1.2658227848101267	1107	0.0011434713503253177
GPR32	1	1.2658227848101267	1268	0.000998282953320289
OR11H2	1	1.2658227848101267	1428	0.0008864305215757189
OR10W1	1	1.2658227848101267	1468	0.0008622771013692961
TP53	17	21.518987341772153	25759	0.0008353968454432297
TAF1L	4	5.063291139240507	6215	0.0008146888397812561
CLDN9	1	1.2658227848101267	1582	0.0008001408247851621
GH1	1	1.2658227848101267	1639	0.0007723140846919625
NEUROG3	1	1.2658227848101267	1724	0.0007342359540661987
PCDHB7	2	2.5316455696202533	3739	0.0006770916206526486
HSPA8	3	3.7974683544303796	5741	0.0006614646149504232
CLDN23	1	1.2658227848101267	2159	0.0005863005024595306
MED11	1	1.2658227848101267	2180	0.0005806526535826269
LCN2	2	2.5316455696202533	4382	0.0005777374645413631
KIF2B	1	1.2658227848101267	2266	0.0005586155272771962
DRD5	1	1.2658227848101267	2375	0.0005329780146568954
RPL10A	1	1.2658227848101267	2384	0.0005309659332257242
ZBED2	1	1.2658227848101267	2446	0.0005175072709771572
RAC3	1	1.2658227848101267	2526	0.0005011174920071759
APRT	1	1.2658227848101267	2598	0.0004872297093187554
OR52A1	3	3.7974683544303796	7933	0.00047869259478512286
PCDHB8	1	1.2658227848101267	2749	0.0004604666368898241
ACTBL2	1	1.2658227848101267	2793	0.00045321259749736
KRT27	2	2.5316455696202533	5742	0.0004408996115674422
CMA1	1	1.2658227848101267	2912	0.00043469189038809297
U2AF1L4	1	1.2658227848101267	2981	0.00042463025320701997
HMGB2	1	1.2658227848101267	3056	0.00041420902644310423
SMPD2	1	1.2658227848101267	3195	0.00039618866504229316
PCDHB10	1	1.2658227848101267	3294	0.0003842813554371969
DPH2	1	1.2658227848101267	3369	0.0003757265612377936
APOE	1	1.2658227848101267	3602	0.0003514222056663316
CD3D	1	1.2658227848101267	3630	0.00034871151096697704
ACTA1	1	1.2658227848101267	3739	0.0003385458103263243
MFAP4	1	1.2658227848101267	3748	0.00033773286681166665
FGA	2	2.5316455696202533	7616	0.0003324114455908946
MMP9	2	2.5316455696202533	7653	0.00033080433419838666
OR10G8	1	1.2658227848101267	3836	0.0003299850846741727
PPP1R15A	1	1.2658227848101267	3847	0.00032904153491295206
NR1D1	2	2.5316455696202533	7796	0.0003247364763494424
SSTR4	1	1.2658227848101267	3925	0.0003225026203337902
PCDHB15	1	1.2658227848101267	3970	0.00031884704907056085
OR8H2	1	1.2658227848101267	3971	0.00031876675517756903
RTP1	1	1.2658227848101267	3976	0.00031836589155184275
OSCAR	2	2.5316455696202533	8024	0.0003155091686964423
KRT37	1	1.2658227848101267	4038	0.0003134776584472824
CD79A	1	1.2658227848101267	4093	0.00030926527847792
IRF2BPL	1	1.2658227848101267	4165	0.0003039190359688179
RING1	1	1.2658227848101267	4222	0.0002998159130293999
SPAG8	1	1.2658227848101267	4227	0.00029946126917675104
TUBB4A	2	2.5316455696202533	8529	0.0002968279481322843
MOGS	1	1.2658227848101267	4353	0.0002907931966023723
GPBAR1	1	1.2658227848101267	4365	0.0002899937651340496
UBE2C	1	1.2658227848101267	4381	0.0002889346689819965
OR6K3	1	1.2658227848101267	4393	0.0002881454096995508
