Gene	Mutations	MutationFreq%	Lenght	Corrected
Y_RNA	13	3.7790697674418605	113	0.03344309528709611
AL137008.1	2	0.5813953488372093	63	0.009228497600590623
SNORD115-8	2	0.5813953488372093	81	0.00717772035601493
AC107977.2	2	0.5813953488372093	81	0.00717772035601493
AL354732.1	2	0.5813953488372093	82	0.007090187180941576
AC090825.1	2	0.5813953488372093	82	0.007090187180941576
AC091565.1	2	0.5813953488372093	82	0.007090187180941576
AC010203.1	2	0.5813953488372093	82	0.007090187180941576
SNORA15	3	0.872093023255814	132	0.0066067653276955605
AC096922.1	2	0.5813953488372093	93	0.00625156289072268
MIR572	2	0.5813953488372093	94	0.006185056902523503
RNY4P29	2	0.5813953488372093	96	0.006056201550387597
AC080008.1	2	0.5813953488372093	98	0.005932605600379687
IGHJ2	1	0.29069767441860467	51	0.005699954400364797
U6	2	0.5813953488372093	103	0.0056446150372544595
RNU6-534P	2	0.5813953488372093	105	0.005537098560354374
RNU7-115P	1	0.29069767441860467	54	0.005383290267011198
RP11-733D4.2	2	0.5813953488372093	110	0.005285412262156448
TRAJ12	1	0.29069767441860467	59	0.004927079227433977
GLUDP5	1	0.29069767441860467	59	0.004927079227433977
MIR513A2	2	0.5813953488372093	126	0.004614248800295311
MIR297	1	0.29069767441860467	65	0.00447227191413238
MIR376C	1	0.29069767441860467	65	0.00447227191413238
AL078621.1	1	0.29069767441860467	67	0.004338771259979174
SNORD42	1	0.29069767441860467	68	0.004274965800273598
RNU4-70P	2	0.5813953488372093	138	0.0042130097741826765
MIR4520-1	1	0.29069767441860467	69	0.0042130097741826765
MIRLET7A2	1	0.29069767441860467	71	0.004094333442515558
IGLJ5	1	0.29069767441860467	71	0.004094333442515558
MIR1208	1	0.29069767441860467	72	0.004037467700258398
MIR4444-2	1	0.29069767441860467	73	0.00398215992354253
AL021920.1	1	0.29069767441860467	73	0.00398215992354253
AL355149.1	1	0.29069767441860467	73	0.00398215992354253
MIR509-3	1	0.29069767441860467	74	0.003928346951602765
MIR920	1	0.29069767441860467	74	0.003928346951602765
MIR1972-2	1	0.29069767441860467	76	0.0038249694002447984
SNORD113-7	1	0.29069767441860467	76	0.0038249694002447984
MIR409	1	0.29069767441860467	78	0.003726893261776983
MIR329-1	1	0.29069767441860467	79	0.0036797173977038567
MIR4788	1	0.29069767441860467	79	0.0036797173977038567
MIR876	1	0.29069767441860467	80	0.003633720930232558
SNORD115-42	1	0.29069767441860467	81	0.003588860178007465
SNORD115-3	1	0.29069767441860467	81	0.003588860178007465
SNORD115-26	1	0.29069767441860467	81	0.003588860178007465
SNORD115-7	1	0.29069767441860467	81	0.003588860178007465
SNORD115-29	1	0.29069767441860467	81	0.003588860178007465
SNORD115-2	1	0.29069767441860467	81	0.003588860178007465
SNORD115-27	1	0.29069767441860467	81	0.003588860178007465
AC011467.1	1	0.29069767441860467	82	0.003545093590470788
MIR1270	1	0.29069767441860467	82	0.003545093590470788
AC023310.1	1	0.29069767441860467	82	0.003545093590470788
MIR515-2	1	0.29069767441860467	82	0.003545093590470788
AC100757.1	1	0.29069767441860467	82	0.003545093590470788
AC126323.1	1	0.29069767441860467	82	0.003545093590470788
AP003385.1	1	0.29069767441860467	87	0.0033413525795241913
RP11-790L1.3	1	0.29069767441860467	87	0.0033413525795241913
MIR758	1	0.29069767441860467	87	0.0033413525795241913
AC118063.1	1	0.29069767441860467	90	0.0032299741602067186
Metazoa_SRP	3	0.872093023255814	272	0.0032062243502051987
MT2P1	2	0.5813953488372093	182	0.0031944799386659853
MIR337	1	0.29069767441860467	92	0.003159757330637007
AC092017.1	1	0.29069767441860467	93	0.00312578144536134
AC027612.2	1	0.29069767441860467	93	0.00312578144536134
RN7SL151P	3	0.872093023255814	282	0.0030925284512617517
SNORD116-4	1	0.29069767441860467	95	0.003059975520195838
RNA5SP116	1	0.29069767441860467	97	0.0029968832414289134
AL121753.1	1	0.29069767441860467	100	0.0029069767441860465
AC116618.1	1	0.29069767441860467	101	0.0028781947962238084
SNORD116-10	1	0.29069767441860467	101	0.0028781947962238084
snoU13	1	0.29069767441860467	103	0.0028223075186272297
SNRPCP9	2	0.5813953488372093	206	0.0028223075186272297
RNU6-1108P	1	0.29069767441860467	103	0.0028223075186272297
RNU6-1266P	1	0.29069767441860467	104	0.002795169946332737
AF254983.1	1	0.29069767441860467	104	0.002795169946332737
RNU6-389P	1	0.29069767441860467	104	0.002795169946332737
IGKC	5	1.4534883720930232	522	0.0027844604829368263
RNU6-27P	1	0.29069767441860467	106	0.0027424308907415536
RNU6-354P	1	0.29069767441860467	106	0.0027424308907415536
RNU6-104P	1	0.29069767441860467	106	0.0027424308907415536
IGHV3OR16-13	4	1.1627906976744187	447	0.0026013214713074243
RNA5SP456	1	0.29069767441860467	113	0.0025725457913150854
MIR663B	1	0.29069767441860467	114	0.0025499796001631986
CT978678.1	1	0.29069767441860467	114	0.0025499796001631986
RNA5SP488	1	0.29069767441860467	115	0.0025278058645096056
AC110056.1	1	0.29069767441860467	116	0.0025060144346431435
RP11-652G5.2	1	0.29069767441860467	119	0.0024428376001563415
RP11-589B3.7	1	0.29069767441860467	123	0.0023633957269805256
MIR498	1	0.29069767441860467	123	0.0023633957269805256
AC006539.6	1	0.29069767441860467	128	0.002271075581395349
SNORA31	1	0.29069767441860467	129	0.0022534703443302688
RP1-73A14.1	1	0.29069767441860467	134	0.002169385629989587
SNORA48	1	0.29069767441860467	134	0.002169385629989587
RP11-76H14.5	1	0.29069767441860467	136	0.002137482900136799
RNVU1-8	1	0.29069767441860467	140	0.0020764119601328905
AC132479.4	1	0.29069767441860467	143	0.0020328508700601725
UQCRHP2	2	0.5813953488372093	287	0.002025767765983308
IGHV3OR16-9	2	0.5813953488372093	293	0.0019842844670211923
AC073648.1	1	0.29069767441860467	147	0.0019775352001265623
AC010904.1	2	0.5813953488372093	314	0.0018515775440675454
RP11-3M1.3	2	0.5813953488372093	324	0.0017944300890037324
RP1-52J10.9	2	0.5813953488372093	324	0.0017944300890037324
PPIAP22	3	0.872093023255814	497	0.0017547143325066677
RP11-12K11.1	1	0.29069767441860467	166	0.0017511908097506306
CTD-2593A12.4	2	0.5813953488372093	338	0.0017201045823586074
NDUFAF4P2	3	0.872093023255814	519	0.0016803333781422235
RPL34P34	2	0.5813953488372093	353	0.001647012319652151
CTC-534B23.1	3	0.872093023255814	543	0.001606064499550302
SCARNA16	1	0.29069767441860467	186	0.00156289072268067
HIST1H2BF	2	0.5813953488372093	380	0.001529987760097919
MT-CO1	8	2.3255813953488373	1541	0.0015091378295579736
RP1-142O9.2	1	0.29069767441860467	194	0.0014984416207144567
HIST1H2AE	2	0.5813953488372093	392	0.0014831514000949216
RP11-260A9.1	2	0.5813953488372093	396	0.0014681700728212358
RP11-146F11.2	1	0.29069767441860467	202	0.0014390973981119042
U3	1	0.29069767441860467	203	0.0014320082483675106
SNRPCP14	1	0.29069767441860467	204	0.0014249886000911993
HIST1H3B	2	0.5813953488372093	410	0.0014180374361883153
HIST1H3C	2	0.5813953488372093	410	0.0014180374361883153
HIST1H3D	2	0.5813953488372093	410	0.0014180374361883153
HIST2H3PS2	2	0.5813953488372093	411	0.0014145872234481978
AC097499.2	1	0.29069767441860467	207	0.0014043365913942252
LCE1A	3	0.872093023255814	624	0.0013975849731663686
RPL3P4	2	0.5813953488372093	422	0.001377714096770638
SPRR2C	1	0.29069767441860467	218	0.0013334755707275444
IGHV3-65	2	0.5813953488372093	440	0.001321353065539112
OR5L1	5	1.4534883720930232	1109	0.0013106297313733304
RP11-812E19.9	2	0.5813953488372093	445	0.0013065064018813691
RP11-262M14.2	1	0.29069767441860467	230	0.0012639029322548028
OR2D2	4	1.1627906976744187	926	0.0012557134964086593
IGKV1D-27	2	0.5813953488372093	468	0.001242297753925661
RP11-49E18.1	1	0.29069767441860467	234	0.001242297753925661
RPL23AP28	2	0.5813953488372093	469	0.001239648931422621
RPL21P17	2	0.5813953488372093	474	0.0012265724659012854
OR6K2	4	1.1627906976744187	974	0.001193830285086672
NUFIP1P	6	1.744186046511628	1478	0.0011800988136073261
OR5D16	4	1.1627906976744187	986	0.0011793009104203028
MLLT10P2	1	0.29069767441860467	248	0.0011721680420105026
IGHV1-58	2	0.5813953488372093	498	0.0011674605398337536
AC114755.2	1	0.29069767441860467	250	0.0011627906976744186
HIST1H2AI	2	0.5813953488372093	502	0.0011581580654127675
IGKV1-17	2	0.5813953488372093	502	0.0011581580654127675
IGKV1D-16	2	0.5813953488372093	502	0.0011581580654127675
ZBTB8OSP2	2	0.5813953488372093	503	0.0011558555642886866
IGKV1-27	2	0.5813953488372093	505	0.0011512779184895234
RP11-10G12.1	1	0.29069767441860467	254	0.0011444790331441128
TRBV7-3	2	0.5813953488372093	512	0.0011355377906976745
FTH1P8	2	0.5813953488372093	513	0.0011333242667391993
DYNLL1P7	1	0.29069767441860467	257	0.001131119355714415
RP11-59K5.1	1	0.29069767441860467	258	0.0011267351721651344
CLK2P1	5	1.4534883720930232	1293	0.0011241209374269322
RP11-497K15.1	1	0.29069767441860467	259	0.001122384843315076
OR10Q1	4	1.1627906976744187	1036	0.001122384843315076
TRBV9	2	0.5813953488372093	521	0.0011159219747355264
THAP5P1	1	0.29069767441860467	261	0.0011137841931747306
RP11-157E21.2	1	0.29069767441860467	267	0.0010887553349011412
DYNLL1P1	1	0.29069767441860467	268	0.0010846928149947936
HMGN2P34	1	0.29069767441860467	268	0.0010846928149947936
HMGN2P21	1	0.29069767441860467	269	0.001080660499697415
CTD-2545G14.2	1	0.29069767441860467	270	0.0010766580534022393
RP11-416N13.1	3	0.872093023255814	810	0.0010766580534022393
AC020983.5	2	0.5813953488372093	542	0.0010726851454561058
AC091492.2	1	0.29069767441860467	271	0.0010726851454561058
FOXA1	24	6.976744186046512	6507	0.0010721905925997405
HMGN2P31	1	0.29069767441860467	272	0.0010687414500683994
HMGN2P6	1	0.29069767441860467	272	0.0010687414500683994
TRBV5-2	1	0.29069767441860467	272	0.0010687414500683994
RPS3AP5	3	0.872093023255814	820	0.0010635280771412365
UBE2MP1	2	0.5813953488372093	549	0.0010590079213792518
RP11-34P1.4	1	0.29069767441860467	276	0.0010532524435456691
ST13P3	4	1.1627906976744187	1109	0.0010485037850986644
RP11-468N14.6	2	0.5813953488372093	555	0.0010475591870940707
RP11-129K12.1	2	0.5813953488372093	555	0.0010475591870940707
RP11-388M20.7	1	0.29069767441860467	279	0.00104192714845378
ACTL7B	5	1.4534883720930232	1398	0.0010396912532854242
TRBV4-2	2	0.5813953488372093	564	0.0010308428170872506
RPL37P1	1	0.29069767441860467	283	0.0010272002629632673
LL22NC03-84E4.13	1	0.29069767441860467	284	0.0010235833606288896
RPL37P2	1	0.29069767441860467	286	0.0010164254350300862
IGHV4-59	2	0.5813953488372093	576	0.0010093669250645994
IGKV6D-41	2	0.5813953488372093	576	0.0010093669250645994
RP11-268I9.4	1	0.29069767441860467	291	0.0009989610804763047
TRGV1	2	0.5813953488372093	583	0.000997247596633292
KRT8P32	5	1.4534883720930232	1460	0.0009955399808856324
CTD-2342I9.1	6	1.744186046511628	1753	0.0009949720744504436
RN7SL542P	1	0.29069767441860467	293	0.0009921422335105962
RP11-361F15.5	1	0.29069767441860467	293	0.0009921422335105962
IGHV3-76	1	0.29069767441860467	294	0.0009887676000632812
RN7SL278P	1	0.29069767441860467	295	0.0009854158454867953
RP11-368P15.1	1	0.29069767441860467	296	0.0009820867379006914
SLC25A5P8	3	0.872093023255814	897	0.0009722330248113868
RN7SL98P	1	0.29069767441860467	299	0.0009722330248113868
CYCSP12	1	0.29069767441860467	299	0.0009722330248113868
HMGB3P20	2	0.5813953488372093	599	0.0009706099312808169
RP11-566F5.1	2	0.5813953488372093	599	0.0009706099312808169
TNP1	2	0.5813953488372093	606	0.0009593982654079362
Unknown	92	26.74418604651163	27894	0.0009587791656453584
RP5-1128N12.2	2	0.5813953488372093	612	0.0009499924000607996
RP11-216N21.1	1	0.29069767441860467	307	0.0009468979622755851
OR8K5	3	0.872093023255814	923	0.000944846179042052
OR10J5	3	0.872093023255814	929	0.0009387438355821464
OR8I1P	3	0.872093023255814	930	0.0009377344336084021
S100A11P2	1	0.29069767441860467	311	0.0009347192103492111
HIST1H4K	1	0.29069767441860467	311	0.0009347192103492111
KRTAP6-2	1	0.29069767441860467	312	0.0009317233154442458
CRPP1	2	0.5813953488372093	624	0.0009317233154442458
HIST1H2BG	2	0.5813953488372093	626	0.0009287465636377145
IGKV3D-20	2	0.5813953488372093	631	0.0009213872406294917
RP11-170L3.7	1	0.29069767441860467	318	0.0009141436302471844
RP11-1085N6.1	1	0.29069767441860467	320	0.0009084302325581395
MRPS33P3	1	0.29069767441860467	321	0.0009056002318336593
OR11L1	3	0.872093023255814	968	0.0009009225446857583
POM121L12	4	1.1627906976744187	1292	0.0008999928000575996
RP11-655B23.1	2	0.5813953488372093	646	0.0008999928000575996
OR6T1	3	0.872093023255814	971	0.0008981390558762245
KRTAP19-6	1	0.29069767441860467	329	0.0008835795575033576
RPS23P8	1	0.29069767441860467	329	0.0008835795575033576
COX6A1P2	1	0.29069767441860467	329	0.0008835795575033576
RP11-115A15.2	1	0.29069767441860467	330	0.0008809020436927414
HNRNPUP1	1	0.29069767441860467	332	0.0008755954048753153
RPL30P4	1	0.29069767441860467	332	0.0008755954048753153
TAL2	2	0.5813953488372093	667	0.0008716571946584847
RP11-433O3.1	1	0.29069767441860467	335	0.0008677542519958347
RPL34P3	1	0.29069767441860467	337	0.0008626043751293905
CHCHD3P1	2	0.5813953488372093	675	0.0008613264427217916
RP11-474L11.3	1	0.29069767441860467	339	0.0008575152637716951
UBE2WP1	1	0.29069767441860467	339	0.0008575152637716951
PTMAP8	1	0.29069767441860467	341	0.0008524858487349111
AC080125.1	2	0.5813953488372093	683	0.0008512376996152405
OR4C13	3	0.872093023255814	1028	0.0008483395167858113
RP11-601I15.1	1	0.29069767441860467	346	0.0008401666890711117
GS1-184P14.2	1	0.29069767441860467	347	0.00083774545941961
RPS26P8	1	0.29069767441860467	347	0.00083774545941961
RP11-777J24.1	1	0.29069767441860467	347	0.00083774545941961
RPL34P27	1	0.29069767441860467	348	0.0008353381448810478
RP11-304F15.5	2	0.5813953488372093	697	0.0008341396683460679
RP1-43O17.1	1	0.29069767441860467	350	0.0008305647840531561
RP11-382N13.6	1	0.29069767441860467	351	0.0008281985026171073
TUBB8P8	3	0.872093023255814	1057	0.0008250643550196915
RPL34P18	1	0.29069767441860467	353	0.0008235061598260756
AC097713.5	1	0.29069767441860467	355	0.0008188666885031117
RP11-90H3.1	5	1.4534883720930232	1778	0.0008174850236743664
AC105402.2	1	0.29069767441860467	357	0.0008142792000521139
UBE2HP1	1	0.29069767441860467	359	0.0008097428256785645
CTD-2593A12.2	2	0.5813953488372093	719	0.0008086166186887472
RPL7L1P11	2	0.5813953488372093	720	0.0008074935400516796
YWHAZP2	2	0.5813953488372093	727	0.0007997184990883208
LCE1C	5	1.4534883720930232	1819	0.000799059028088523
YWHAZP5	2	0.5813953488372093	729	0.0007975244840016589
RP11-550I15.1	2	0.5813953488372093	729	0.0007975244840016589
CGB5	4	1.1627906976744187	1463	0.0007947988364145035
RP11-4M23.4	1	0.29069767441860467	367	0.0007920917559090045
RPL23AP19	1	0.29069767441860467	368	0.0007899393326592517
PSAT1P1	3	0.872093023255814	1105	0.0007892244554351256
SLC6A6P1	5	1.4534883720930232	1849	0.0007860943061617216
RPS15AP38	1	0.29069767441860467	371	0.0007835516830690151
RP11-124D9.1	2	0.5813953488372093	746	0.0007793503335619428
TPI1P1	2	0.5813953488372093	749	0.0007762287701431366
RP11-73B8.2	6	1.744186046511628	2269	0.0007687025326186109
HIST1H2BO	1	0.29069767441860467	380	0.0007649938800489595
HIST1H2BH	1	0.29069767441860467	380	0.0007649938800489595
NUTF2P4	1	0.29069767441860467	380	0.0007649938800489595
HIST1H2BM	1	0.29069767441860467	380	0.0007649938800489595
RP5-984P4.1	1	0.29069767441860467	381	0.0007629860220960752
RP11-152C15.1	1	0.29069767441860467	381	0.0007629860220960752
H2AFZP5	1	0.29069767441860467	381	0.0007629860220960752
RP11-775A1.2	1	0.29069767441860467	384	0.0007570251937984497
RP11-7D5.2	2	0.5813953488372093	774	0.0007511567814434228
RPS24P18	1	0.29069767441860467	387	0.0007511567814434228
HAUS6P1	4	1.1627906976744187	1550	0.0007501875468867217
RP11-83M16.4	1	0.29069767441860467	388	0.0007492208103572284
RPS3AP53	2	0.5813953488372093	777	0.0007482565622100506
RP11-453D16.1	1	0.29069767441860467	389	0.0007472947928498834
RP11-663P9.2	1	0.29069767441860467	389	0.0007472947928498834
RP11-142L4.3	2	0.5813953488372093	779	0.0007463354927306923
HIST1H2AB	1	0.29069767441860467	392	0.0007415757000474608
TRAV26-2	2	0.5813953488372093	785	0.0007406310176270182
HNRNPH1P1	3	0.872093023255814	1184	0.0007365650534255186
HIST1H4H	1	0.29069767441860467	396	0.0007340850364106179
RP11-12P19.2	1	0.29069767441860467	398	0.0007303961668809161
RP11-454K7.2	1	0.29069767441860467	398	0.0007303961668809161
RP11-259P15.1	1	0.29069767441860467	398	0.0007303961668809161
RP13-235E23.1	1	0.29069767441860467	399	0.0007285656000466282
BOLA3P4	1	0.29069767441860467	399	0.0007285656000466282
RP11-371E8.2	1	0.29069767441860467	399	0.0007285656000466282
RP1-253B10.1	1	0.29069767441860467	400	0.0007267441860465116
RPS24P8	1	0.29069767441860467	401	0.0007249318564054979
HNRNPA3P4	2	0.5813953488372093	802	0.0007249318564054979
RP11-347H15.6	3	0.872093023255814	1207	0.0007225294310321574
RP11-8J23.1	1	0.29069767441860467	403	0.0007213341796987709
PCDHB6	8	2.3255813953488373	3230	0.0007199942400460796
RP11-77B22.1	1	0.29069767441860467	405	0.0007177720356014929
PPIAP9	2	0.5813953488372093	811	0.0007168869899349066
RP11-321E2.13	1	0.29069767441860467	408	0.0007124943000455996
TUBBP2	1	0.29069767441860467	410	0.0007090187180941577
HIST1H3F	1	0.29069767441860467	410	0.0007090187180941577
IGKV2D-30	2	0.5813953488372093	820	0.0007090187180941577
HMGN2P41	1	0.29069767441860467	411	0.0007072936117240989
LINC00556	1	0.29069767441860467	411	0.0007072936117240989
RP11-288G3.4	3	0.872093023255814	1240	0.0007033008252063016
RP11-325P15.1	4	1.1627906976744187	1664	0.0006987924865831843
UBE2V1P3	1	0.29069767441860467	416	0.0006987924865831843
IGKV2D-24	2	0.5813953488372093	832	0.0006987924865831843
AC124312.1	1	0.29069767441860467	417	0.0006971167252244716
RPL23AP54	1	0.29069767441860467	418	0.0006954489818626905
CTD-3157E16.1	1	0.29069767441860467	418	0.0006954489818626905
RP11-609L3.1	1	0.29069767441860467	420	0.0006921373200442967
IGHG1	16	4.651162790697675	6728	0.0006913143267981086
RPL23AP80	1	0.29069767441860467	423	0.0006872285447248337
EEF1A1P17	3	0.872093023255814	1274	0.0006845314154284253
LCE2D	3	0.872093023255814	1279	0.0006818553739294871
PRM3	1	0.29069767441860467	430	0.0006760411032990806
RP11-889L3.4	2	0.5813953488372093	860	0.0006760411032990806
MAGEB6P1	3	0.872093023255814	1295	0.0006734309059890455
NRBF2P3	2	0.5813953488372093	864	0.0006729112833763997
TRBV6-7	1	0.29069767441860467	432	0.0006729112833763997
PFN1P9	1	0.29069767441860467	432	0.0006729112833763997
IGHV1OR15-4	1	0.29069767441860467	432	0.0006729112833763997
IGHV7-56	1	0.29069767441860467	434	0.0006698103097202872
PPP1R14BP5	1	0.29069767441860467	434	0.0006698103097202872
CTB-47B11.1	1	0.29069767441860467	434	0.0006698103097202872
IGHV1OR15-9	1	0.29069767441860467	435	0.0006682705159048383
RP11-294C11.2	1	0.29069767441860467	435	0.0006682705159048383
RP3-481A17.1	1	0.29069767441860467	435	0.0006682705159048383
NPM1P6	2	0.5813953488372093	870	0.0006682705159048383
SLC25A51P1	2	0.5813953488372093	870	0.0006682705159048383
IGHV1OR15-2	1	0.29069767441860467	436	0.0006667377853637722
CALM2P1	1	0.29069767441860467	437	0.000665212069607791
IGKV1-22	1	0.29069767441860467	437	0.000665212069607791
RP11-1033H12.3	1	0.29069767441860467	439	0.0006621814907029718
OR7E35P	2	0.5813953488372093	880	0.000660676532769556
RP11-677O4.6	1	0.29069767441860467	441	0.0006591784000421875
SLC25A5P3	2	0.5813953488372093	884	0.0006576870461959381
IGHV2OR16-5	1	0.29069767441860467	443	0.000656202425324164
ATP5C1P1	2	0.5813953488372093	894	0.0006503303678268561
OR4C49P	2	0.5813953488372093	899	0.0006467134024885532
OR2A15P	2	0.5813953488372093	899	0.0006467134024885532
AL356585.2	2	0.5813953488372093	899	0.0006467134024885532
IGHV4-55	1	0.29069767441860467	450	0.0006459948320413436
RP11-1046B16.1	1	0.29069767441860467	451	0.0006445624709946889
CTB-167G5.3	1	0.29069767441860467	452	0.0006431364478287713
RP11-471B18.1	1	0.29069767441860467	453	0.0006417167205708712
LOC124685	1	0.29069767441860467	458	0.0006347110795166041
MT-ND4	3	0.872093023255814	1377	0.0006333282667071997
CTBP2P4	2	0.5813953488372093	919	0.0006326391173419035
IGLC2	1	0.29069767441860467	461	0.0006305806386520708
TRBV7-4	1	0.29069767441860467	461	0.0006305806386520708
IGHV3OR15-7	1	0.29069767441860467	461	0.0006305806386520708
RP11-553P9.1	3	0.872093023255814	1386	0.0006292157454948152
RPL23AP26	1	0.29069767441860467	463	0.0006278567482043296
UBE2L5P	1	0.29069767441860467	464	0.0006265036086607859
OR8U1	2	0.5813953488372093	929	0.0006258292237214309
RP11-812E19.7	2	0.5813953488372093	929	0.0006258292237214309
AC005255.6	2	0.5813953488372093	929	0.0006258292237214309
