Rank	Gene	#Mut	Length	Net1	Net8
1	SPOP	44	79279	True	True
2	TTN	31	304813	True	True
3	TP53	20	25759	True	True
4	MUC16	15	132498	True	True
5	RYR2	14	791804	True	True
6	SPTA1	14	76011	True	False
7	LRP1B	12	1899593	True	True
8	CSMD3	12	1214011	False	True
9	PCLO	11	408918	True	True
10	RP1	11	362298	False	False
11	ATM	10	146058	True	True
12	SYNE1	10	516114	True	True
13	CTNNB1	9	65355	True	True
14	CACNA1E	9	495572	True	False
15	MACF1	9	405861	False	True
16	FAT3	9	671655	True	True
17	HMCN1	9	456558	False	True
18	SSPO	8	57937	False	False
19	KMT2C	8	301722	True	True
20	FBN3	8	84190	False	True
21	FOXA1	8	6507	True	True
22	MUC17	8	38787	True	True
23	OBSCN	8	170832	True	True
24	GRIA1	8	324254	True	True
