Rank	Gene	#Mut	Length	Net1	Net8
1	TP53	17	25759	True	True
2	TTN	11	304813	True	True
3	MUC16	6	132498	True	True
4	SYNE1	6	516114	True	True
5	SPTA1	5	76011	True	False
6	PYHIN1	5	46263	False	False
7	NALCN	5	362732	True	True
8	USH2A	5	800557	False	True
9	TAF1L	4	6215	True	False
10	KMT2D	4	41819	True	True
11	SPOP	4	79279	True	True
12	LRP1B	4	1899593	True	True
13	PCDHA12	3	137045	True	True
14	ERCC2	3	21081	True	True
15	FLG	3	23074	True	True
16	IL6ST	3	59927	True	True
17	DCHS2	3	260057	True	True
18	FAT2	3	87239	True	True
19	SCN7A	3	207909	True	True
20	HSPA8	3	5741	True	True
21	CDK12	3	103421	True	True
22	OR52A1	3	7933	True	False
23	CUBN	3	305845	True	True
24	FCGBP	3	71303	False	False
