Gene	Mutations	MutationFreq%	Lenght	Corrected
SPOP	44	12.790697674418604	79279	0.0001613377776513
TTN	31	9.011627906976743	304813	2.956444740538213e-05
TP53	20	5.813953488372093	25759	0.0002257057140561
MUC16	15	4.3604651162790695	132498	3.2909667438595826e-05
RYR2	14	4.069767441860465	791804	5.139867242222147e-06
SPTA1	14	4.069767441860465	76011	5.354182212917163e-05
LRP1B	12	3.488372093023256	1899593	1.8363786837618667e-06
PCLO	11	3.197674418604651	408918	7.819842654528905e-06
ATM	10	2.9069767441860463	146058	1.9902892988990997e-05
SYNE1	10	2.9069767441860463	516114	5.632431486427507e-06
CTNNB1	9	2.616279069767442	65355	4.00318119465602e-05
CACNA1E	9	2.616279069767442	495572	5.279311724164081e-06
FAT3	9	2.616279069767442	671655	3.895272230188775e-06
KMT2C	8	2.3255813953488373	301722	7.707695810543603e-06
KMT2D	8	2.3255813953488373	41819	5.561064098493118e-05
PIK3CA	8	2.3255813953488373	91979	2.528382995410732e-05
OBSCN	8	2.3255813953488373	170832	1.3613265637285971e-05
RYR3	8	2.3255813953488373	555159	4.189036645985812e-06
MUC17	8	2.3255813953488373	38787	5.9957753766696e-05
RYR1	8	2.3255813953488373	161582	1.4392577114708551e-05
FOXA1	8	2.3255813953488373	6507	0.0003573968641999
GRIA1	8	2.3255813953488373	324254	7.172097785528744e-06
FBN1	7	2.0348837209302326	237408	8.571251688781476e-06
CDK12	7	2.0348837209302326	103421	1.967573046992615e-05
LAMA3	7	2.0348837209302326	266769	7.627886751947312e-06
PCDH15	7	2.0348837209302326	1825171	1.1149003139597509e-06
NAV2	7	2.0348837209302326	770877	2.63969961606097e-06
MUC5AC	6	1.744186046511628	43185	4.038870085704823e-05
MYO15A	6	1.744186046511628	71046	2.4550094959767304e-05
MUC5B	6	1.744186046511628	39106	4.460149456634859e-05
APC	6	1.744186046511628	138741	1.2571525695444233e-05
CDH23	6	1.744186046511628	419027	4.16246696874337e-06
PIWIL1	6	1.744186046511628	34750	5.019240421616196e-05
XIRP2	6	1.744186046511628	371273	4.697853187577949e-06
ANK2	6	1.744186046511628	566189	3.0805721172817343e-06
MYO9A	6	1.744186046511628	296286	5.88683247440523e-06
AHNAK2	6	1.744186046511628	41130	4.240666293488033e-05
COL11A1	6	1.744186046511628	232405	7.504942004309838e-06
SCN1A	6	1.744186046511628	164573	1.0598251514596125e-05
COL12A1	6	1.744186046511628	121941	1.4303524216724711e-05
FILIP1	6	1.744186046511628	201941	8.637107108074279e-06
COL6A3	5	1.4534883720930232	90325	1.6091761661699676e-05
MED15	5	1.4534883720930232	91719	1.5847189481928753e-05
KDM6A	5	1.4534883720930232	239591	6.066539945544797e-06
TRIO	5	1.4534883720930232	388786	3.738530636630494e-06
ADAMTSL1	5	1.4534883720930232	1004387	1.4471397699223738e-06
NRXN3	5	1.4534883720930232	1697918	8.560415591877954e-07
PTEN	5	1.4534883720930232	109367	1.3290008614051983e-05
LAMB1	5	1.4534883720930232	79414	1.8302671721522947e-05
CUL3	5	1.4534883720930232	115247	1.2611941066518205e-05
MECOM	5	1.4534883720930232	580276	2.5048224846332147e-06
PTPRD	5	1.4534883720930232	2298756	6.322934544131796e-07
TNS1	5	1.4534883720930232	234394	6.201047689330884e-06
PLEC	5	1.4534883720930232	61581	2.360287056223548e-05
GRIN2B	5	1.4534883720930232	544060	2.6715589679318886e-06
UNC79	5	1.4534883720930232	374657	3.879517457549233e-06
FREM2	5	1.4534883720930232	200054	7.265480180816296e-06
GRIN2A	5	1.4534883720930232	429524	3.383951472078448e-06
PRKDC	5	1.4534883720930232	187067	7.769881230217105e-06
RAG1	5	1.4534883720930232	82784	1.7557600165406642e-05
GAD2	5	1.4534883720930232	87893	1.653702083320655e-05
ANO4	5	1.4534883720930232	411115	3.5354788127239905e-06
CTNNAL1	5	1.4534883720930232	70953	2.048522785637004e-05
ABCB1	5	1.4534883720930232	210306	6.911302445451024e-06
SMARCA1	5	1.4534883720930232	76999	1.8876717517020005e-05
EPB41L3	5	1.4534883720930232	238319	6.0989193983401375e-06
PCDH11X	5	1.4534883720930232	843969	1.722205877340309e-06
PCDHB12	5	1.4534883720930232	3874	0.0003751905968231
PIK3CG	5	1.4534883720930232	43702	3.32590813256378e-05
ROBO2	5	1.4534883720930232	1743269	8.337717082636262e-07
MED12	5	1.4534883720930232	25560	5.686574225716054e-05
ALMS1	4	1.162790697674419	239408	4.856941696494764e-06
IDH1	4	1.162790697674419	29845	3.8960988362352776e-05
RNF213	4	1.162790697674419	137942	8.429562407928105e-06
TG	4	1.162790697674419	267945	4.3396618622270185e-06
AKAP9	4	1.162790697674419	169833	6.846671127957573e-06
FAT2	4	1.162790697674419	87239	1.3328794434535226e-05
DNAH17	4	1.162790697674419	153699	7.56537581685254e-06
PCDHA12	4	1.162790697674419	137045	8.484736383482932e-06
ZNF827	4	1.162790697674419	181196	6.417308868156133e-06
KCNN1	4	1.162790697674419	48792	2.3831585048254196e-05
PROS1	4	1.162790697674419	106952	1.087207997675984e-05
