Gene	Mutations	MutationFreq%	Lenght	Corrected
IGLV1-47	1	1.2658227848101267	521	0.0024296022741077286
IGKV3-20	1	1.2658227848101267	586	0.0021601071413142096
S100A8	1	1.2658227848101267	1041	0.0012159680929972397
TP53	17	21.518987341772153	25759	0.0008353968454432297
CLDN9	1	1.2658227848101267	1582	0.0008001408247851621
GJB5	2	2.5316455696202533	3465	0.0007306336420260471
PCDHB7	2	2.5316455696202533	3739	0.0006770916206526486
HSPA8	3	3.7974683544303796	5741	0.0006614646149504232
CLDN23	1	1.2658227848101267	2159	0.0005863005024595306
MED11	1	1.2658227848101267	2180	0.0005806526535826269
LCN2	2	2.5316455696202533	4382	0.0005777374645413631
TMEM102	1	1.2658227848101267	2244	0.0005640921500936393
DRD5	1	1.2658227848101267	2375	0.0005329780146568954
RPL10A	1	1.2658227848101267	2384	0.0005309659332257242
ZBED2	1	1.2658227848101267	2446	0.0005175072709771572
RAC3	1	1.2658227848101267	2526	0.0005011174920071759
APRT	1	1.2658227848101267	2598	0.0004872297093187554
PCDHB8	1	1.2658227848101267	2749	0.0004604666368898241
CMA1	1	1.2658227848101267	2912	0.00043469189038809297
U2AF1L4	1	1.2658227848101267	2981	0.00042463025320701997
HMGB2	1	1.2658227848101267	3056	0.00041420902644310423
SMPD2	1	1.2658227848101267	3195	0.00039618866504229316
PCDHB10	1	1.2658227848101267	3294	0.0003842813554371969
DPH2	1	1.2658227848101267	3369	0.0003757265612377936
APOE	1	1.2658227848101267	3602	0.0003514222056663316
CD3D	1	1.2658227848101267	3630	0.00034871151096697704
ACTA1	1	1.2658227848101267	3739	0.0003385458103263243
MFAP4	1	1.2658227848101267	3748	0.00033773286681166665
CCDC71	1	1.2658227848101267	3796	0.00033346227207853703
MMP9	2	2.5316455696202533	7653	0.00033080433419838666
PPP1R15A	1	1.2658227848101267	3847	0.00032904153491295206
NR1D1	2	2.5316455696202533	7796	0.0003247364763494424
PCDHB15	1	1.2658227848101267	3970	0.00031884704907056085
OSCAR	2	2.5316455696202533	8024	0.0003155091686964423
CD79A	1	1.2658227848101267	4093	0.00030926527847792
IRF2BPL	1	1.2658227848101267	4165	0.0003039190359688179
RING1	1	1.2658227848101267	4222	0.0002998159130293999
SPAG8	1	1.2658227848101267	4227	0.00029946126917675104
TUBB4A	2	2.5316455696202533	8529	0.0002968279481322843
MOGS	1	1.2658227848101267	4353	0.0002907931966023723
GPBAR1	1	1.2658227848101267	4365	0.0002899937651340496
UBE2C	1	1.2658227848101267	4381	0.0002889346689819965
PNRC1	1	1.2658227848101267	4409	0.00028709974706512284
HOXC11	1	1.2658227848101267	4517	0.0002802352855457442
DLX5	1	1.2658227848101267	4554	0.0002779584507707788
TRAC	1	1.2658227848101267	4650	0.00027221995372260786
IGHA1	1	1.2658227848101267	4670	0.00027105412950966304
MRPS2	1	1.2658227848101267	4689	0.0002699558082341921
